,Keyword_1,frequency,Keyword_2,degreee
0,flexible electronics,16,flexible electronics,44
1,flexible,10,flexible,31
2,graphene,8,graphene,29
3,transistors,5,transistors,17
4,thin-film transistors,5,thin-film transistors,15
5,nanocrystals,5,transistor,15
6,thin film transistors,4,flexible transistor,13
7,transistor,4,organic,11
8,organic,4,nanocrystals,11
9,flexible transistor,4,thin film,11
10,organic semiconductors,3,thin film transistors,8
11,thin film,3,organic semiconductors,8
12,flexible devices,2,gold nanorods,8
13,zinc oxide,2,ctab,8
14,thin-film transistor (tft),2,zinc oxide,7
15,flexible memory,2,self-assembly,7
16,thin-film,2,field-effect transistor,7
17,organic electronics,2,quantum dots,7
18,graphene oxide,2,printing,7
19,thin-film transistor,2,superlattice,7
20,si nanomembrane,2,flexible memory,6
21,self-assembly,2,organic electronics,6
22,upconversion,2,graphene oxide,6
23,nanophosphor,2,flexible devices,5
24,field-effect transistor,2,thin-film transistor (tft),5
25,gold nanorods,2,thin-film,5
26,ctab,2,thin-film transistor,5
27,flexible display,2,demodulators,5
28,quantum dots,2,antenna,5
29,printing,2,am radio receiver,5
30,superlattice,2,circuit,5
31,cut-off frequency,1,si nanomembrane,5
32,spin-on glass (sog),1,upconversion,5
33,thin-film transistors (tfts),1,nanophosphor,5
34,leds,1,leds,4
35,wavy,1,wavy,4
36,oxide semiconductor,1,semiconductors,4
37,dual-gate,1,high-mobility,4
38,igzo,1,layer,4
39,semiconductors,1,hole,4
40,high-mobility,1,fets,4
41,layer,1,tin dioxide,4
42,hole,1,electrolyte gating,4
43,fets,1,ionic liquids,4
44,nonvolatile memory,1,patterning,4
45,vertical,1,flexible 2d nanoelectronics,4
46,tin dioxide,1,cvd mos2,4
47,electrolyte gating,1,black phosphorus,4
48,ionic liquids,1,thz,4
49,patterning,1,complementary circuit,4
50,nanowires,1,inverter,4
51,sol-gel method,1,ring oscillator,4
52,indium zinc oxide (izo),1,tin monoxide,4
53,transparent electronics,1,mos2,4
54,flexible paper electronics,1,polyimide,4
55,nanowire transistors,1,lead selenide,4
56,electric-double-layer,1,lead sulfide,4
57,carbon nanotube (cnt),1,stoichiometry,4
58,contact resistance,1,field-effect,4
59,printed electronics,1,sodium oleate,4
60,tfts,1,surfactant mixture,4
61,bjts,1,tetrahexahedral,4
62,bicmos devices,1,single-layer,4
63,organic thin-film transistor,1,solution-based,4
64,mechanical fatigue,1,high-frequency,4
65,printed,1,monodisperse,4
66,proton gating,1,salicylic acid,4
67,electric double layer (edl),1,nanocubes,4
68,flexible si membrane,1,field-effect transistors,4
69,e-textile,1,inverters,4
70,textile composite,1,circuits,4
71,textile transistor,1,contacts,4
72,organic thin-film transistor (otft),1,dielectrics,4
73,zno,1,pattern formation,4
74,ambipolar,1,polymers,4
75,otft,1,quantum dot,4
76,flexibility,1,nanoparticle,4
77,integrated circuits,1,colloidal crystal,4
78,flexible electronic,1,supercrystal,4
79,zno nanoparticle,1,cut-off frequency,3
80,flexible 2d nanoelectronics,1,dual-gate,3
81,cvd mos2,1,igzo,3
82,black phosphorus,1,nonvolatile memory,3
83,thz,1,vertical,3
84,two-dimensional materials,1,transparent electronics,3
85,ulimately scaled cmos,1,carbon nanotube (cnt),3
86,complementary circuit,1,contact resistance,3
