,Keyword_1,frequency,Keyword_2,degreee
0,nanoimprint lithography,60,nanoimprint lithography,146
1,nanoimprint,28,nanoimprint,98
2,lithography,12,lithography,40
3,nanofabrication,10,nanofabrication,27
4,uv-nil,7,uv-nil,23
5,template,5,template,21
6,uv nanoimprint lithography,5,mold,16
7,uv nanoimprint,5,nil,15
8,uv-nanoimprint lithography,5,uv nanoimprint,15
9,mold,4,nanopatterning,14
10,nanopatterning,4,uv-nanoimprint lithography,14
11,electron beam lithography,4,uv-nanoimprint,14
12,hot embossing,4,uv nanoimprint lithography,13
13,uv-nanoimprint,4,defect,12
14,biomass,3,hot embossing,12
15,defect,3,nanostructures,11
16,nanostructures,3,replica,10
17,nil,3,biomass,9
18,nanoimprint lithography (nil),3,polymers,9
19,polymers,3,working stamps,9
20,working stamps,3,s-fil,9
21,s-fil,3,p-nil,9
22,alignment,3,nanonex,9
23,moire,3,polymer,8
24,polydimethylsiloxane (pdms),2,electron beam lithography,8
25,replica,2,shrinkage,8
26,hot embossing lithography,2,modulus,8
27,dry etching,2,alignment,8
28,polymer,2,moire,8
29,condensable gas,2,wafer scale,8
30,pentafluoropropane,2,dry etching,7
31,hybrid polymer,2,nanolithography,7
32,photonic crystal,2,imprinting,7
33,soft stamp,2,condensable gas,6
34,resist material,2,pentafluoropropane,6
35,nanolithography,2,soft stamp,6
36,glass,2,resist material,6
37,sol-gel,2,glass,6
38,imprinting,2,sol-gel,6
39,pdms,2,ngl,6
40,shrinkage,2,t-nil,6
41,modulus,2,air cushion press,6
42,stamp,2,image,5
43,holographic lithography,2,hot embossing lithography,5
44,arrays,2,image placement,5
45,patterning,2,hybrid polymer,5
46,wafer scale,2,nanoimprint lithography (nil),5
47,p-nil,2,photonic crystal,5
48,nanonex,2,pdms,5
49,soft lithography,1,stamp,5
50,gas permeability,1,arrays,5
51,volatile solvent,1,patterning,5
52,modulus of elasticity,1,replication,5
53,template deformation,1,uv resin,5
54,gas permeable template,1,roll to rolls,5
55,metal nanostructure,1,mems,5
56,structure building,1,polydimethylsiloxane (pdms),4
57,image,1,molding,4
58,low temperature,1,photomask,4
59,bowtie aperture,1,gas-permeable,4
60,near-field scanning optical lithography,1,optical gratings,4
61,manufacturing,1,silicon mold,4
62,molding,1,teflon,4
63,photomask,1,roll-to-roll,4
64,gas-permeable,1,residual layer,4
65,optical gratings,1,roll-to-roll process,4
66,silicon mold,1,adhesion,4
67,teflon,1,releasing energy,4
68,multi-scale,1,surface energy,4
69,computational lithography,1,viscoelastic,4
70,nanobowl array,1,finite element analysis,4
71,self-assembly,1,pmma,4
72,lift-off,1,jet and flash imprint lithography,4
73,injection molding,1,j-fil,4
74,functional surfaces,1,step and,4
75,biocompatible magnetite,1,resist flow,4
76,magnetic properties,1,uv cure,4
77,thermal nanoimprint lithography,1,process simulation,4
78,low,1,uv curable resist,4
79,image placement,1,conversion time,4
80,plant-based materials,1,lcd,4
81,defect less process,1,tft,4
82,roll-to-roll,1,gate,4
83,nano-scale feature,1,large area,4
84,t mold,1,polymer mold,4
85,residual layer,1,plastomer,4
86,roll-to-roll process,1,holographic lithography,4
87,thermal-nanoimprint lithography,1,nanotechnology,4
88,organic lasers,1,nanocasting,4
89,distributed feedback,1,anti-reflection,4
90,replica mold,1,reproduction,4
91,second generation,1,low cost,4
92,thermal roller nanoimprint lithography,1,cd control,4
93,shrink bopp film,1,reproducibility,4
