,Keyword_1,frequency,Keyword_2,degreee
0,distributed storage,27,distributed storage,73
1,distributed storage system,14,distributed storage system,36
2,distributed storage systems,6,cloud computing,15
3,distributed,6,distributed file system,15
4,distributed file system,6,distributed,14
5,erasure coding,5,hdfs,13
6,cloud computing,5,erasure coding,12
7,storage,4,distributed storage systems,12
8,cloud storage,4,hadoop,12
9,hadoop,4,storage,11
10,hdfs,4,cloud storage,11
11,distributed energy storage,3,energy storage,9
12,regenerating codes,3,big data,7
13,energy storage,3,load,7
14,consistency,2,regenerating codes,7
15,distributed computing,2,consistency,6
16,data storage,2,heterogeneous,6
17,distributed heterogeneous environment,2,load balance,6
18,massive data,2,iscsi,6
19,distributed control,2,distributed file systems,6
20,fault tolerance,2,storage system,6
21,energy storage systems,2,distributed computing,5
22,heterogeneous,2,data storage,5
23,big data,2,distributed energy storage,5
24,load,2,distributed heterogeneous environment,5
25,network storage,2,massive data,5
26,distributed system,2,distributed control,5
27,photovoltaic,2,fault tolerance,5
28,distributed generation (dg),2,network storage,5
29,virtualization,2,distributed system,5
30,load balance,2,photovoltaic,5
31,erasure code,2,erasure code,5
32,distributed generation,2,distributed generation,5
33,iscsi,2,distributed hash table,5
34,distributed file systems,2,energy storage systems,4
35,distributed hash table,2,hash distribution,4
36,storage system,2,data backup,4
37,capacity,1,storage overhead,4
38,network coding,1,data,4
39,data deduplication,1,msr,4
40,delta compression,1,hadamard,4
41,similarity,1,repair strategy,4
42,tokamak,1,computation load,4
43,daq,1,distributed generation (dg),4
44,energy internet,1,virtualization,4
45,function orientation,1,file storage,4
46,power distribution networks,1,distributed algorithms,4
47,software-defined data center,1,expanders,4
48,data storage system,1,geo-routing,4
49,distributed data,1,p2p,4
50,distributed file storage system,1,random walk,4
51,distributed metadata,1,pv,4
52,sharing,1,voltage profile,4
53,energy storage system,1,demand management,4
54,power tracking,1,peak,4
55,energy,1,smes,4
56,alternating optimization,1,distributed smes,4
57,efficiency,1,hybrid energy storage,4
58,information dispersal,1,energy management,4
59,independent distributed source coding,1,smart,4
60,exact repair,1,data deduplication,3
61,cognitive storage sinks,1,delta compression,3
62,conventional sensors,1,similarity,3
