,Keyword_1,frequency,Keyword_2,degreee
0,environmetrics,25,environmetrics,81
1,magnetic resonance imaging,14,magnetic resonance imaging,38
2,mrfm,7,mri,29
3,mri,7,mrfm,24
4,magnetic resonance,7,magnetic,21
5,magnetic resonance force microscopy,7,magnetic resonance,17
6,magnetic,6,smoothing,16
7,functional magnetic resonance imaging (fmri),5,magnetic resonance force microscopy,14
8,lorentz force,5,risk,13
9,smoothing,4,environmental,13
10,environmental,4,esr,12
11,cardiac magnetic resonance,3,elastography,12
12,esr,3,lorentz force,12
13,water quality,3,imaging,11
14,imaging,3,sediments,11
15,elastography,3,water,11
16,nuclear magnetic resonance,3,air,10
17,risk,3,modeling,10
18,sediments,3,force detection,10
19,cluster analysis,3,nuclear magnetic resonance,9
20,chemometrics,3,chemometrics,9
21,force detection,3,water quality,8
22,exploratory data analysis,2,kriging,8
23,image analysis,2,functional magnetic resonance imaging (fmri),8
24,time series,2,heavy metals,8
25,force,2,cluster analysis,8
26,microscopy,2,safety,8
27,detection probability,2,nanomagnets,8
28,estimability,2,electrometer,8
29,n-mixture model,2,magnetometer,8
30,occupancy model,2,cardiac magnetic resonance,7
31,kriging,2,image analysis,7
32,cardiovascular imaging,2,time series,7
33,autocorrelation,2,cardiac catheterization,7
34,spatial statistics,2,force sensor,7
35,cardiomyopathy,2,ultrasound,7
36,coil,2,source apportionment,7
37,heavy metals,2,mercury,7
38,bayesian inference,2,death,7
39,magnetic resonance force microscopy (mrfm),2,disease progression,7
40,radionuclides,2,image segmentation,7
41,principal,2,force,6
42,cardiac catheterization,2,microscopy,6
43,force sensor,2,detection probability,6
44,ultrasound,2,estimability,6
45,magnetic force microscopy,2,n-mixture model,6
46,safety,2,occupancy model,6
47,source apportionment,2,autocorrelation,6
48,kalman filter,2,principal,6
49,mercury,2,decision theory,6
50,death,2,uncertainty,6
51,disease progression,2,catastrophes,6
52,cantilever,2,fear,6
53,classification,2,topology,6
54,haptic,2,axioms,6
55,meteor,2,kalman filter,6
56,image segmentation,2,meteor,6
57,air,2,fuzzy logic,6
58,water,2,land,6
59,modeling,2,forecasting,6
60,pollution,2,pollution,6
61,nanomagnets,2,exploratory data analysis,5
62,electrometer,2,silicon-nitride,5
63,magnetometer,2,membrane,5
64,stress-strength parameter,1,cyclic-saturation,5
65,threshold parameter,1,cardiovascular imaging,5
66,interval censored data,1,spatial statistics,5
67,magnetic-resonance-force-detection,1,radionuclides,5
68,liquids,1,mre,5
69,angular median,1,velocity,5
70,axial data,1,single-sided magnet,5
71,directional data,1,stiffness,5
72,functional magnetic resonance imaging,1,cantilever,5
73,magnetic resonance-compatibility,1,classification,5
74,plc,1,mr,5
75,power line network,1,incidents,5
76,impulsive noise,1,heating,5
77,arma models,1,bcf,5
78,arima models,1,dosimetry,5
79,editorials,1,kddm,5
80,aortic stenosis,1,meta analysis,5
81,myocardial,1,pbtk,5
82,cardiovascular magnetic resonance,1,stochastic modeling,5
83,training,1,skewness,5
84,credentialing,1,loess,5
85,environmental science,1,surface,5
86,environmental statistics and data,1,black sea,5
87,mr-compatible hand exoskeleton,1,coastal area,5
