,Keyword_1,frequency,Keyword_2,degreee
0,microfluidic,20,microfluidics,64
1,microfluidics,19,microfluidic,58
2,optical fiber,10,optical fiber,33
3,microfluidic chip,9,microfluidic chip,27
4,optofluidics,7,optofluidics,21
5,biosensor,6,pdms,21
6,photonic crystal fiber,5,biosensor,16
7,surface plasmon resonance,5,optical,15
8,optical,5,lab-on-a-chip,14
9,pdms,5,sensor,13
10,refractive index,4,optical fibre,13
11,sensor,4,photonic crystal fiber,11
12,optical fiber sensor,4,surface plasmon resonance,11
13,lab-on-a-chip,4,refractive index,10
14,fiber,3,microfluidic device,10
15,microfluidic device,3,integrated optics,10
16,optical trapping,3,fiber optics,10
17,integrated optics,3,fabrication,10
18,optical fibre,3,optical fiber sensor,9
19,fiber optics,3,optical trapping,9
20,optical tweezers,3,optical tweezers,9
21,fabrication,3,microfluidic devices,9
22,hollow optical fiber,2,on-line,9
23,whispering gallery mode,2,fiber,8
24,in-fiber integrated,2,mems,8
25,optical waveguide,2,fiber sensor,8
26,fiber optics sensors,2,lactate,8
27,microresonator,2,gratings,8
28,femtosecond laser,2,polymer,7
29,mems,2,sers,7
30,fiber sensor,2,dielectrophoresis,7
31,whispering gallery modes,2,laser micromachining,7
32,single cell analysis,2,in-fiber integrated,6
33,microstructured fiber,2,optical waveguide,6
34,evaporation of acetone,2,femtosecond laser,6
35,polymer,2,optical fibers,6
36,optical fibers,2,biophotonics,6
37,optical fiber sensors,2,flat fibre,6
38,sers,2,optical fibres,6
39,biophotonics,2,fiber optic trap,6
40,flat fibre,2,optical micromanipulation,6
41,femtosecond laser inscription,2,optical manipulation,6
42,optical fibres,2,transfusion,6
43,fiber optic trap,2,poly(dimethylsiloxane) pdms,6
44,optical micromanipulation,2,detector,6
45,pdms microcantilever,2,droplet microfluidics,6
46,optical manipulation,2,polymeric micromachining,6
47,dielectrophoresis,2,lab on chip,6
48,fiber-optic localized plasma resonance,2,hollow optical fiber,5
49,transfusion,2,coagulation,5
50,microfluidic devices,2,optical read out,5
51,on-line,2,aptt,5
52,lactate,2,single cell analysis,5
53,laser micromachining,2,femtosecond laser inscription,5
54,poly(dimethylsiloxane) pdms,2,pdms microcantilever,5
55,detector,2,whispering gallery mode,4
56,droplet microfluidics,2,fiber optics sensors,4
57,polymeric micromachining,2,microresonator,4
58,lab on chip,2,whispering gallery modes,4
59,fluorescence,2,microstructured fiber,4
60,gratings,2,evaporation of acetone,4
61,optofluidic laser,1,raman spectroscopy,4
62,fabry-perot etalon,1,optics,4
63,optical biosensors,1,osteoblast cells,4
64,aligned fibers,1,drug screening,4
65,microfluidic spinning,1,scaffold,4
66,in suit microreactor,1,tissue,4
67,fluorescent,1,optical fiber sensors,4
68,digital microfluidics,1,fiber optic,4
69,electrowetting-on-a-dielectric,1,light induced,4
70,on-chip sensing,1,nano-particle,4
71,hollow core micro-fiber,1,thermofluidic,4
72,microfluidic channel,1,fea,4
73,3d-printed,1,mode analysis,4
74,additive manufacturing,1,pdms chip,4
75,particle analysis,1,liquid waveguides,4
76,microfluidic sensor,1,ray tracing,4
77,helical structure,1,bioluminescence detection,4
78,refractive index measurement,1,atp,4
79,long period fiber grating,1,micro,4
80,mach-zehnder interferometer,1,optical fiber chemical sensor,4
81,doped fibers,1,tripodal,4
82,fiber bragg gratings (fbgs),1,hg(ii),4
83,microstructured optical,1,water,4
84,fluorescence radiation characteristics,1,fluorescence detector,4
85,evanescent,1,led,4
86,photonic crystal fibers,1,thin film,4
87,polydimethylsiloxane (pdms),1,fiber-optic localized plasma resonance,4
88,surface plasmon,1,rbc,4
89,optical-fiber,1,agglutination,4
90,grating,1,cross-matching,4
91,collagen networks,1,scattering,4
92,confocal reflection microscopy,1,optical sensor,4
93,fiber reconstruction,1,ph,4
94,optical readout,1,micropump,4
95,refractive index sensing,1,microvalve,4
96,glass,1,dual-beam,4
97,optical sensing,1,immunoassay,4
98,ultrafast laser,1,proximity optical fibers,4
99,micromachining,1,microspheres,4
100,waveguide,1,bvd,4
101,coagulation,1,optical traps,4
102,optical read out,1,optical stretcher,4
103,aptt,1,cell handling,4
104,point-of-care testing,1,cancer,4
105,microfluidic cytometer,1,fibers,4
106,on-chip microlens,1,lipids,4
107,micro-fluidic-channel,1,liquid crystals,4
108,label-free methods,1,optical microscopy,4
109,impedance spectroscopy,1,su-8,4
110,fabry-perot (f-p),1,online monitoring,4
111,medical optics instrumentation,1,fluorescence,4
112,micro gas sensor,1,particle detection,4
113,micro fabry-perot cavity,1,bioreactor,4
114,fiber optic sensors,1,integrated optical,4
115,optical fiber microstructure,1,dye laser,4
116,femtosecond laser micromachining,1,soft lithography,4
117,microfluidic fiber sensors,1,optical fiber cavity,4
118,microfluidic flowmeter,1,holographic gratings,4
