,Keyword_1,frequency,Keyword_2,degreee
0,translation,14,translation,50
1,explicitation,7,explicitation,24
2,machine translation,6,machine translation,21
3,translation universals,5,translation universals,14
4,universal,3,community,9
5,translation initiation,3,universal,8
6,amazigh language,2,implicitation,8
7,universal networking language,2,translation initiation,8
8,universality,2,universal networking language (unl),7
9,community,2,universality,6
10,hypercyclic operator,2,parallel corpus,6
11,parallel corpus,2,corpus-based,6
12,translation studies,2,semantic,6
13,corpus-based,2,simplification,6
14,semantic,2,leibniz,5
15,biblioteca universal,2,apocatastasis,5
16,classics dissemination,2,borges,5
17,simplification,2,allegory,5
18,interlingual translation,2,concept,5
19,universal networking language (unl),2,universal library,5
20,density,2,amazigh language,5
21,translation universal,2,universal networking language,5
22,bessel convolution,2,translation studies,5
23,delsarte translation operator,2,biblioteca universal,5
24,fourier-bessel,2,classics dissemination,5
25,translation methodology,2,design,5
26,linguistic validation,2,algorithms,5
27,hypercyclic operators,2,performance,5
28,universal functions,2,languages,5
29,implicitation,2,unl,5
30,eminescu,1,interlingual translation,5
31,poetry translation,1,unl system,5
32,exegesis,1,ian,5
33,spanish versions,1,enco,5
34,lambert-van,1,eugene,5
35,self-translation,1,deco,5
36,mythology,1,density,5
37,finnegans wake,1,translation universal,5
38,leibniz,1,hypercyclic operators,5
39,apocatastasis,1,connective,5
40,borges,1,addition,5
41,allegory,1,omission,5
42,concept,1,shift,5
43,universal library,1,platonism,5
44,shakespeare,1,a. berman,5
45,sonnets,1,language,5
46,europe,1,signifier,5
47,corpus-based interpreting studies,1,signified,5
48,simultaneous interpreting,1,edeine,5
49,second language (l2) writing,1,fmet-trna,5
50,mental,1,ge81112,5
51,collocation,1,kasugamycin,5
52,translational business english,1,mrna,5
53,corpus-driven approach,1,orthosomycin,5
54,image,1,conflict,5
55,enlightenment historiography,1,consciousness,5
56,universal history,1,domination,5
57,the italian language,1,enunciation,5
58,the serbian language,1,ideology,5
59,language for specific,1,sign,5
60,manner of motion,1,genotype,5
61,'thinking for translating',1,phenotype,5
62,translation techniques,1,syntax,5
63,anthropological difference,1,semantics,5
64,unity,1,eminescu,4
65,translation operator,1,poetry translation,4
66,thurston geometries,1,exegesis,4
67,<(sl2(r))over tilde> geometry,1,spanish versions,4
68,density of ball,1,lambert-van,4
69,linguistic universals,1,anthropological difference,4
70,comparisons,1,unity,4
71,matchings,1,linguistic universals,4
72,the bible text,1,comparisons,4
73,the,1,matchings,4
74,translation teaching,1,the bible text,4
75,foreign,1,the,4
76,translational hypothesis,1,untranslatables,4
77,statistical,1,sophistics,4
78,design,1,homonymy,4
79,algorithms,1,performativity,4
80,performance,1,bessel convolution,4
81,languages,1,delsarte translation operator,4
82,unl,1,fourier-bessel,4
83,universals,1,translation methodology,4
84,sentence length,1,linguistic validation,4
85,inter-language,1,screw translation,4
86,greek and,1,hyperbolic 4-space,4
87,unl system,1,horoball,4
88,ian,1,cusp,4
89,enco,1,margulis region,4
90,eugene,1,module,4
91,deco,1,program,4
92,untranslatables,1,code-translation,4
93,sophistics,1,nusa,4
94,homonymy,1,form of software,4
95,performativity,1,cohesion,4
96,kernel methods,1,shifts,4
97,universal kernels,1,news translation,4
98,characteristic kernels,1,news story,4
99,psycholinguistic model,1,event structure,4
100,translator's cognitive,1,emic/etic,4
101,corpus,1,anthropological theory,4
102,discourse markers,1,ethnography,4
103,corpus-based approaches,1,multiagent,4
104,state-of-the-art research,1,quality of life,4
105,new types of,1,cross-cultural,4
106,contrastive data,1,validation,4
107,corpus-based translation studies,1,proxy server,4
108,cognitive theory of,1,url web-proxy,4
109,general tendencies,1,security,4
110,bible translation,1,accessibility,4
111,translation history,1,explicitness,4
112,oral-written interfaces,1,interpreting,4
113,neuro-qol,1,genetic code,4
114,screw translation,1,peptidyl-rna,4
115,hyperbolic 4-space,1,peptidyl transfer,4
116,horoball,1,amphiphiles,4
117,cusp,1,variable,4
118,margulis region,1,invariable,4
119,knowledge representation and reasoning,1,template,4
120,semantic data models,1,universal algorithm,4
121,corpora,1,self-translation,3
122,adjective position,1,mythology,3
123,universal word,1,finnegans wake,3
124,verb,1,shakespeare,3
125,discourse connectives,1,sonnets,3
126,causality,1,europe,3
127,module,1,hypercyclic operator,3
128,program,1,translation teaching,3
129,code-translation,1,foreign,3
130,nusa,1,translational hypothesis,3
131,form of software,1,statistical,3
132,cohesion,1,universals,3
133,shifts,1,sentence length,3
134,news translation,1,greek and,3
135,news story,1,kernel methods,3
136,event structure,1,universal kernels,3
137,rational and meromorphic approximation,1,characteristic kernels,3
138,vitushkin's,1,corpus,3
139,natural semantic metalanguage,1,discourse markers,3
140,reductive,1,general tendencies,3
141,universal entire functions,1,corpora,3
142,punctured plane,1,adjective position,3
143,universal sequence of,1,universal word,3
144,knowledge discovery,1,verb,3
145,linguistic data mining,1,discourse connectives,3
146,knowledge representation,1,causality,3
147,network address translation,1,obfuscation,3
148,obfuscation,1,assembly code,3
149,assembly code,1,intermediate representation,3
150,intermediate representation,1,low-level,3
151,low-level,1,interpolation,3
152,mixing operators,1,prescribed values,3
153,disjoint mixing,1,universal taylor series,3
154,interpolation,1,jean laurent (1816-86),3
155,prescribed values,1,universal language,3
156,universal taylor series,1,geometry,3
157,thai asr,1,cultural,3
158,mobile speech,1,multiset rewriting,3
159,speech translation,1,universal computations,3
160,boundedness on every line,1,small register machines,3
161,jean laurent (1816-86),1,p,3
162,universal language,1,universal solution,3
163,geometry,1,nonlinear elasticity,3
164,cultural,1,cosserat shell,3
165,stiffness,1,micropolar,3
166,parallel manipulator,1,tendencies in translation,3
167,constrained forces,1,universal hypotheses,3
168,variant genetic codes,1,web,3
169,translation termination,1,enconverter,3
170,ciliated protozoa,1,deconverter,3
171,multiset rewriting,1,universal networking,3
172,universal computations,1,anaphora,3
173,small register machines,1,zero pronominal anaphora,3
174,p,1,machine learning,3
175,universal solution,1,translationese,3
176,nonlinear elasticity,1,translation theory,3
177,cosserat shell,1,genetic counseling,3
178,micropolar,1,diversity,3
179,tendencies in translation,1,ethics,3
180,universal hypotheses,1,universal approach,3
181,web,1,international,3
182,connective,1,transnational,3
183,addition,1,core competencies,3
184,omission,1,cultural differences,3
185,shift,1,applied translation,3
186,platonism,1,metaphors,3
187,a. berman,1,equivalence,3
188,language,1,close translation,3
189,signifier,1,device conversion,3
190,signified,1,message translation,3
191,enconverter,1,umb,3
192,deconverter,1,universal middleware,3
193,universal networking,1,baire category,3
194,anaphora,1,type,3
195,zero pronominal anaphora,1,subgaussian processes,3
196,machine learning,1,tt expansion factors,3
197,translationese,1,anova-tests,3
198,malay-english translation,1,working language,3
199,comparable corpus,1,archaea,3
200,emic/etic,1,leaderless mrna,3
201,anthropological theory,1,multilingual acoustic modeling,3
202,ethnography,1,data-driven,3
203,multiagent,1,ipa,3
204,quality of life,1,multilingual n-gram,3
205,cross-cultural,1,personal pronouns,3
206,validation,1,inflectional categories,3
207,translation theory,1,syntactic features,3
208,genetic counseling,1,second language (l2) writing,2
209,diversity,1,mental,2
210,ethics,1,collocation,2
211,universal approach,1,translational business english,2
212,international,1,corpus-driven approach,2
213,transnational,1,image,2
214,core competencies,1,enlightenment historiography,2
215,cultural differences,1,universal history,2
216,vector valued reproducing kernel hilbert spaces,1,the italian language,2
217,propositional quantification,1,the serbian language,2
218,ipc(2),1,language for specific,2
219,universal common ancestor,1,manner of motion,2
220,domains of life,1,'thinking for translating',2
221,applied translation,1,translation techniques,2
222,metaphors,1,thurston geometries,2
223,equivalence,1,<(sl2(r))over tilde> geometry,2
224,close translation,1,density of ball,2
225,proxy server,1,inter-language,2
226,url web-proxy,1,psycholinguistic model,2
227,security,1,translator's cognitive,2
228,accessibility,1,corpus-based approaches,2
229,explicitness,1,state-of-the-art research,2
230,interpreting,1,new types of,2
231,eukaryotic release factor,1,contrastive data,2
232,genetic code deviation,1,corpus-based translation studies,2
233,litostome ciliate,1,cognitive theory of,2
234,edeine,1,bible translation,2
235,fmet-trna,1,translation history,2
236,ge81112,1,oral-written interfaces,2
237,kasugamycin,1,neuro-qol,2
238,mrna,1,rational and meromorphic approximation,2
239,orthosomycin,1,vitushkin's,2
240,deformylase,1,natural semantic metalanguage,2
241,binding-site,1,reductive,2
242,holomorphic functions,1,universal entire functions,2
243,translation and dilation,1,punctured plane,2
244,social science,1,universal sequence of,2
245,critique of universalism,1,knowledge discovery,2
246,genetic code,1,linguistic data mining,2
247,peptidyl-rna,1,knowledge representation,2
248,peptidyl transfer,1,mixing operators,2
249,amphiphiles,1,disjoint mixing,2
250,hypercyclic vectors,1,thai asr,2
251,device conversion,1,mobile speech,2
252,message translation,1,speech translation,2
253,umb,1,universal functions,2
254,universal middleware,1,stiffness,2
255,baire category,1,parallel manipulator,2
256,type,1,constrained forces,2
257,subgaussian processes,1,variant genetic codes,2
258,translation invariant kernels,1,translation termination,2
259,radial kernels,1,ciliated protozoa,2
260,tt expansion factors,1,malay-english translation,2
261,anova-tests,1,comparable corpus,2
262,working language,1,universal common ancestor,2
263,universal function,1,domains of life,2
264,arakelian set,1,eukaryotic release factor,2
265,bounded holomorphic function,1,genetic code deviation,2
266,conflict,1,litostome ciliate,2
267,consciousness,1,holomorphic functions,2
268,domination,1,translation and dilation,2
269,enunciation,1,social science,2
270,ideology,1,critique of universalism,2
271,translations,1,translation invariant kernels,2
272,archaea,1,radial kernels,2
273,leaderless mrna,1,universal function,2
274,sign,1,arakelian set,2
275,genotype,1,bounded holomorphic function,2
276,phenotype,1,translations,2
277,syntax,1,spectral set,2
278,semantics,1,tiling,2
279,"hyperholomorphic b-p,b-q-functions",1,orthogonal basis,2
280,harmonic majorants,1,splicing system,2
281,variable,1,dna computer,2
282,invariable,1,post system,2
283,template,1,universal horn class,2
284,universal algorithm,1,quasivariety,2
285,multilingual acoustic modeling,1,essentially equational theory,2
286,data-driven,1,corpus-based interpreting studies,1
287,ipa,1,simultaneous interpreting,1
288,multilingual n-gram,1,translation operator,1
289,personal pronouns,1,knowledge representation and reasoning,1
290,inflectional categories,1,semantic data models,1
291,syntactic features,1,boundedness on every line,1
292,spectral set,1,vector valued reproducing kernel hilbert spaces,1
293,tiling,1,propositional quantification,1
294,orthogonal basis,1,ipc(2),1
295,splicing system,1,deformylase,1
296,dna computer,1,binding-site,1
297,post system,1,hypercyclic vectors,1
298,universal horn class,1,"hyperholomorphic b-p,b-q-functions",1
299,quasivariety,1,harmonic majorants,1
300,essentially equational theory,1,,
