,Keyword_1,frequency,Keyword_2,degreee
0,listeria monocytogenes,5,listeria monocytogenes,13
1,cell factory,3,atrazine,9
2,bacillus subtilis,2,biofilm,9
3,microbial cell factories,2,dairy,9
4,bacterial,2,cell factory,8
5,staphylococcus aureus,2,bacterial,8
6,tilapia-processing facilities,2,escherichia coli,8
7,lactic acid bacteria,2,penicillium,8
8,microbial factory,2,bacillus subtilis,7
9,sugar beet,2,lactic acid bacteria,7
10,atrazine,2,sugar beet,7
11,escherichia coli,2,hygiene,7
12,biofilm,2,disinfection,7
13,dairy,2,microbial factory,6
14,penicillium,2,microbial cell factories,5
15,hygiene,2,tilapia-processing facilities,5
16,activated sludge,2,ribosome,5
17,disinfection,2,translation,5
18,pg10,1,rna helicase,5
19,genome engineering,1,gtpase,5
20,catalytic biofilms,1,rna,5
21,metabolic engineering,1,atz genes,5
22,xylose,1,bacterial community,5
23,isomerase pathway,1,biodegradation,5
24,weimberg pathway,1,diversity,5
25,dahms pathway,1,trz,5
26,single molecule real-time (smrt),1,factory environment,5
27,milk powder,1,cleaning,5
28,bacterial source,1,disinfectant,5
29,dna replication,1,sanitiser,5
30,replication factory,1,sugar cane,5
31,cell biology,1,manitol,5
32,bacteria,1,dextran,5
33,zeolite,1,enzyme,5
34,superphosphate,1,leuconostoc,5
35,ferrous sulfate,1,zeolite,4
36,chicken manure,1,superphosphate,4
37,antibiotic resistance genes,1,ferrous sulfate,4
38,soil bacterial community,1,chicken manure,4
39,nutrients,1,staphylococcus aureus,4
40,berries,1,glycolytic flux,4
41,bioprospecting,1,n-butanol,4
42,polyphenols,1,"2,3-butanediol",4
43,enterotoxin genes,1,butyrate,4
44,plant virus,1,utr engineering,4
45,viral replication factories,1,biocide,4
46,cellular remodeling,1,sugarcane,4
47,cyanobacteria,1,sucrose loss,4
48,small rnas,1,raw sugar factory,4
49,stress responses,1,exopolysaccharide,4
50,biofuels,1,biomarker,4
51,viral factory,1,in silico,4
52,translational regulation,1,listeria,4
53,vaccinia virus,1,detection method,4
54,nucleoporin,1,food contamination,4
55,rapd,1,jinhua ham,4
56,serogroup,1,pyrosequencing,4
57,factory workers,1,microbial communities,4
58,workplace intervention,1,flavor,4
59,regular sexual partner,1,aldehydes,4
60,condom,1,chinese paocai,4
61,occupational outbreak,1,dgge,4
62,human brucellosis,1,qpcr,4
63,epidemiological investigation,1,microbial community,4
64,glycolytic flux,1,degradation,4
65,n-butanol,1,raoultella planticola,4
66,"2,3-butanediol",1,toxic solvents,4
67,butyrate,1,sludge,4
68,utr engineering,1,wood dust,4
69,biocide,1,ergosterol,4
70,sugarcane,1,fungi,4
71,sucrose loss,1,occupational diseases,4
72,raw sugar factory,1,furniture factory,4
73,exopolysaccharide,1,protein secretion,4
74,biomarker,1,proteomics,4
75,in silico,1,systems,4
76,listeria,1,adaptor,4
77,detection method,1,clathrin,4
78,food contamination,1,membrane trafficking,4
