,Keyword_1,frequency,Keyword_2,degreee
0,diffusion tensor imaging,104,diffusion tensor imaging,261
1,dti,45,dti,169
2,diffusion,29,diffusion,106
3,diffusion tensor imaging (dti),24,mri,82
4,mri,22,diffusion tensor,48
5,magnetic resonance imaging,19,magnetic resonance imaging,47
6,diffusion tensor,17,diffusion tensor imaging (dti),43
7,tractography,15,tractography,43
8,brain,9,brain,35
9,fractional anisotropy,7,white matter,24
10,white matter,7,anisotropy,23
11,diffusion-weighted imaging,6,spinal cord,23
12,anisotropy,6,fractional anisotropy,19
13,spinal cord,6,neuroimaging,16
14,diffusion-tensor imaging,5,diffusion-weighted imaging,16
15,neuroimaging,5,image registration,16
16,image registration,5,tensor,16
17,fiber tracking,5,fiber tractography,14
18,peripheral nerves,4,noise,14
19,children,4,reproducibility,13
20,tensor,4,children,12
21,diffusion tensor mri,4,diffusion tensor mri,12
22,reproducibility,4,registration,12
23,diffusion weighted imaging,4,in vivo,12
24,fiber tractography,4,fiber tracking,12
25,noise,4,peripheral nerves,11
26,skeletal muscle,3,diffusion-tensor imaging,11
27,white,3,fa,11
28,spinal,3,brain mapping,10
29,functional magnetic resonance imaging,3,turboprop,10
30,registration,3,white,9
31,magnetic resonance,3,spinal,9
32,diffusion mri,3,magnetic resonance,9
33,brain mapping,3,diffusion mri,9
34,denoising,3,dki,9
35,interpolation,3,denoising,9
36,traumatic brain,3,human,9
37,in vivo,3,eddy current,9
38,anisotropic diffusion,3,skeletal muscle,8
39,eddy current,3,reliability,8
40,complex diffusion,2,interpolation,8
41,traumatic brain injury,2,review,8
42,high-resolution dti,2,anisotropic diffusion,8
43,magnetic,2,motion,8
44,perfusion,2,rhesus monkey,8
45,fa,2,dwi,8
46,joint sparsity,2,diffusion weighted imaging,7
47,cervical spinal cord,2,mouse,7
48,normal brain,2,segmentation,7
49,magnetic resonance imaging (mri),2,high-resolution dti,6
50,dki,2,magnetic,6
51,mean,2,perfusion,6
52,reliability,2,glioma,6
53,glioma,2,traumatic brain,6
54,review,2,brain tumor,6
55,mouse,2,spinal cord injury,6
56,renal diffusion,2,bias,6
57,brain tumor,2,simex,6
58,human,2,parameter estimation,6
59,spinal cord injury,2,bias correction,6
60,motion,2,tensor reorientation,6
61,optimization,2,fast,6
62,tensor reorientation,2,rat,6
63,fast,2,thoracic cord,6
64,rhesus monkey,2,cervical cord,6
65,segmentation,2,phased array,6
66,turboprop,2,template,6
67,diffusion tensor magnetic resonance imaging,2,normalization,6
68,cerebral,2,complex diffusion,5
69,dwi,2,traumatic brain injury,5
70,complex shearlet transform,1,harmonization,5
71,diffusion tractography,1,multi-site,5
72,corpus callosum,1,combat,5
73,adults,1,inter-scanner,5
74,outcomes,1,abdominal organs,5
75,interleaved epi,1,cervical spinal cord,5
76,multi-echo dti,1,normal brain,5
77,muscle microstructure,1,robust estimation,5
78,small-angle x-ray scattering (saxs),1,outliers,5
79,diffusion-tensor imaging scalar,1,linear,5
80,intravoxel incoherent,1,mean,5
81,macaque brain,1,hardi,5
82,atlas,1,gpu,5
83,population-averaged,1,glyphs,5
84,harmonization,1,multifield,5
85,multi-site,1,optimization,5
86,combat,1,simulation,5
87,inter-scanner,1,nerve,5
88,cervical spondylotic myelopathy,1,axon regeneration,5
89,myelopathy,1,axon degeneration,5
