,Keyword_1,frequency,Keyword_2,degreee
0,biomechanics,12,biomechanics,37
1,nanoparticles,9,cell adhesion,28
2,cell adhesion,9,hydroxyapatite,27
3,atomic force microscopy,8,nanoparticles,25
4,hydroxyapatite,8,afm,23
5,afm,6,atomic force microscopy,22
6,mechanical properties,6,nanoparticle,19
7,cell,6,mechanical properties,19
8,nanoparticle,5,cell,19
9,self-assembly,5,chitosan,18
10,carbon nanotubes,5,self-assembly,17
11,bone,5,bone,17
12,chitosan,5,scaffold,15
13,adhesion,4,carbon nanotubes,15
14,cell mechanics,4,adhesion,14
15,scaffold,4,nanostructures,13
16,nanostructures,4,nanocomposites,13
17,nanocomposites,4,titanium,13
18,titanium,4,osteoblast,12
19,osteoblast,3,biosensor,12
20,biomaterials,3,dna,12
21,nanomechanics,3,collagen,11
22,collagen,3,cell mechanics,11
23,cell proliferation,3,biological,11
24,biological,3,biocompatibility,11
25,nanotechnology,3,bioactivity,11
26,elasticity,3,biomaterials,10
27,carbon nanotube,3,nanomechanics,10
28,biosensor,3,elasticity,10
29,electrospinning,3,carbon nanotube,10
30,biocompatibility,3,nanotechnology,9
31,nano-hydroxyapatite,3,electrospinning,9
32,bioactivity,3,nano-hydroxyapatite,9
33,dna,3,virus,8
34,bmp-2,2,viscoelastic,8
35,virus,2,cell proliferation,8
36,viscoelastic,2,polydopamine,8
37,differentiation,2,actin,8
38,nonlocal,2,stiffness,8
39,nano-indentation,2,composite,8
40,nanomaterials,2,nonlocal,7
41,nanofibers,2,confocal microscopy,7
42,polydopamine,2,effective,7
43,confocal microscopy,2,surface,7
44,actin,2,lipid bilayer,7
45,stiffness,2,sodium alginate,7
46,effective,2,tio2 nanotube,7
47,silk fibroin,2,mechanical,7
48,indentation,2,surface modification,7
49,surface,2,nanowire arrays,7
50,cell membrane,2,hydrogels,7
51,lipid bilayer,2,gecko,7
52,bone cement,2,bmp-2,6
53,young's modulus,2,differentiation,6
54,sodium alginate,2,nanomaterials,6
55,composite,2,silk fibroin,6
56,nanostructure,2,indentation,6
57,biomedical materials,2,cell membrane,6
58,tio2 nanotube,2,bone cement,6
59,mechanical,2,young's modulus,6
