,Keyword_1,frequency,Keyword_2,degreee
0,pervasive computing,34,pervasive computing,89
1,pervasive,11,pervasive,33
2,wireless sensor network,8,wireless sensor network,22
3,wireless sensor networks,7,rfid,19
4,pervasive healthcare,6,security,18
5,rfid,6,mobile computing,15
6,mobile computing,5,wireless sensor networks,15
7,security,5,pervasive healthcare,15
8,wireless,5,wireless,15
9,wireless networks,5,wireless networks,14
10,internet of things,3,zigbee,14
11,ubiquitous computing,3,wi-fi,10
12,zigbee,3,internet of things,9
13,wsn,2,bluetooth,9
14,key management,2,context-aware,9
15,pervasive networks,2,design,8
16,sensor network,2,wireless sensor,8
17,design,2,algorithms,7
18,algorithms,2,ubiquitous computing,7
19,wireless sensor,2,sensor,7
20,bluetooth,2,wsn,6
21,sensors,2,key management,6
22,wi-fi,2,sensors,6
23,pervasive grid computing,2,wireless sensor network (wsn),6
24,service composition,2,smart home,6
25,energy,2,gsm,6
26,ambient intelligence,2,smart sensor,6
27,wireless sensor network (wsn),2,and,6
28,body area networks (ban),2,wireless network,6
29,context-aware,2,network,6
30,wireless network,2,context,6
31,authentication,2,modeling,6
32,quality of service,2,performance analysis,6
33,network,2,measurement,6
34,context,2,pervasive networks,5
35,sensor,2,sensor network,5
36,modeling,2,pervasive grid computing,5
37,performance analysis,2,service composition,5
38,measurement,2,energy,5
39,mobile environment,1,authentication,5
40,ubicomp,1,quality of service,5
41,pervasive environment,1,4g,5
42,sensor data management,1,aaa,5
43,continuous query,1,context management,5
44,energy balanced,1,roaming,5
45,energy conservation,1,jini,5
46,progressive decentralized single,1,p2p,5
47,iot applications,1,pervasive multimedia,5
48,location-based services,1,service discovery,5
49,non-flat wireless broadcast,1,media,5
50,spatial air index,1,trajectory privacy,4
51,certificate validation efficiency,1,education,4
52,pkix,1,mobile learning,4
53,trust,1,serious game,4
54,pervasive discovery,1,smartphone,4
55,biomedical engineering,1,e-health,4
56,healthcare,1,ambient intelligence,4
57,social network,1,component,4
58,wireless body area network,1,latino american,4
59,cognitive networks,1,developing countries,4
60,dynamic access,1,nomadic,4
61,channel allocation,1,theory,4
62,technology,1,reliability,4
63,trajectory privacy,1,formal specification,4
64,data-centric networking,1,wireless and,4
65,opportunistic forwarding,1,distributed memory,4
66,pervasive sensing,1,nfc,4
67,human-centric sensing,1,vector clocks,4
68,education,1,pervasive game,4
69,mobile learning,1,fpga,4
70,serious game,1,sensor node,4
71,smartphone,1,active node,4
72,6lowpan,1,ccu,4
73,android,1,smart space,4
74,renewable energy,1,strip-like topology,4
75,energy storage systems,1,protocol,4
76,hardware in the loop,1,pervasive devices,4
77,iot,1,multi-player games,4
78,actuator networks,1,pervasive games,4
79,passive,1,mobile,4
80,aerospace,1,sun spots,4
81,mobile interaction,1,mobile environment,3
82,public display,1,ubicomp,3
83,ad hoc,1,iot applications,3
84,dynamic service composition,1,certificate validation efficiency,3
85,semantic knowledge,1,pkix,3
86,e-health,1,trust,3
87,obstructive sleep apnea,1,cognitive networks,3
88,heart rate variability,1,dynamic access,3
89,anomaly detection,1,channel allocation,3
90,routing algorithms,1,technology,3
91,resource,1,6lowpan,3
92,unified trust model,1,android,3
93,smart spaces,1,iot,3
94,remote attestation,1,actuator networks,3
95,handoff management,1,passive,3
96,wireless sensor and actuator networks (wsans),1,aerospace,3
97,pervasive and mobile computing,1,mobile interaction,3
98,disconnected operation,1,public display,3
99,21st century social sciences,1,ad hoc,3
100,ambient information,1,routing algorithms,3
101,ubiquitous learning,1,resource,3
