,Keyword_1,frequency,Keyword_2,degreee
0,authentication,59,authentication,198
1,security,16,security,63
2,umts,12,umts,44
3,universal hash,8,privacy,21
4,key agreement,7,key agreement,21
5,privacy,6,rfid,19
6,universal hashing,6,universal hash,19
7,message authentication codes,6,universal hashing,18
8,cryptography,5,usability,17
9,usability,5,mac,17
10,user authentication,5,cryptography,16
11,mac,5,authorization,16
12,rfid,5,biometrics,15
13,message authentication,4,user authentication,15
14,biometrics,4,message authentication codes,13
15,authorization,4,identity,13
16,aka,4,aka,13
17,mutual authentication,3,universal,10
18,authentication code,3,web,10
19,universal composability,3,wireless lan,10
20,confidentiality,3,mutual authentication,9
21,identity,3,message authentication,9
22,universal,3,accounting,9
23,smart card,3,smart card,9
24,wireless lan,3,wlan,9
25,3g,3,aaa,9
26,privacy preservation,2,3g,9
27,internet of things,2,authentication code,8
28,two-factor authentication,2,password,8
29,key,2,galois/counter mode,8
30,game theory,2,cycling attacks,8
31,phy-layer authentication,2,weak keys,8
32,password,2,usim,8
33,authentication technologies,2,wireless,8
34,authenticated encryption,2,information,8
35,galois/counter mode,2,protocol,8
36,cycling attacks,2,confidentiality,7
37,weak keys,2,identity management,7
38,cognitive radio,2,mobile,7
39,key exchange,2,identification,7
40,accounting,2,privacy preservation,6
41,quantum key distribution,2,internet of things,6
42,universal hash function,2,game theory,6
43,identity management,2,phy-layer authentication,6
44,mobile,2,authentication technologies,6
45,authentication protocol,2,authenticated encryption,6
46,authenticity,2,universal composability,6
47,message authentication code (mac),2,key exchange,6
48,usim,2,steganography,6
49,message authentication code,2,3gpp aka,6
50,steganography,2,ims aka,6
51,web,2,design,6
52,identification,2,theory,6
53,3gpp aka,2,epcgen2,6
54,ims aka,2,forward,6
55,wireless,2,anonymous,6
56,information,2,3gpp,6
57,mutual,2,gprs,6
58,anonymous,2,anonymous roaming,6
59,wlan,2,ban,6
60,conditional privacy,2,conditional privacy,6
61,universal network,2,universal network,6
62,pervasive service,2,pervasive service,6
63,provably secure,2,provably secure,6
64,random oracle,2,random oracle,6
65,aaa,2,fido,5
66,protocol,2,security analysis,5
67,square hash,2,trusted computing,5
68,universal 2nd factor (u2f),1,tpm,5
69,trust,1,remote,5
70,token,1,consumer storage,5
71,blockchain,1,mass storage device,5
72,distributed data storage,1,usb,5
73,face authentication,1,flash,5
74,android application,1,cognitive radio,5
75,secure,1,universal hash function,5
76,authentication code with secrecy,1,authentication protocol,5
77,restricted linear,1,uid,5
78,machine vision,1,validation,5
79,modelling of light,1,registration,5
80,elliptic curve,1,mutual,5
81,data integrity,1,2fa,5
82,crc,1,emv,5
83,soft biometrics,1,sign-on,5
84,data protection,1,sso,5
85,human rights,1,trust,4
86,gdpr,1,token,4
87,continuous authentication,1,blockchain,4
88,universal feature representations,1,distributed data storage,4
89,fragile watermarking,1,soft biometrics,4
90,image authentication,1,data protection,4
91,perceptual hash,1,human rights,4
92,tamper,1,gdpr,4
93,secret sharing,1,two-factor authentication,4
94,universal construction,1,key,4
95,rushing cheater,1,caesar,4
96,embedded security,1,elmd,4
97,public,1,forgery attack,4
98,security threat,1,key recovery,4
99,computer security,1,physical layer,4
100,device-to-device (d2d) communications,1,primary user,4
101,lte-advanced network,1,man-in-the-middle,4
