,Keyword_1,frequency,Keyword_2,degreee
0,self-healing,8,self-healing,26
1,wound healing,5,wound healing,19
2,al2o3,5,al2o3,19
3,chitosan,4,chitosan,14
4,hydroxyapatite,4,high-temperature oxidation,12
5,microcapsules,3,crack-healing,12
6,rabbits,3,hydroxyapatite,11
7,high-temperature oxidation,3,rabbits,10
8,crack-healing,3,tissue,8
9,self-healing coating,2,ni,8
10,healing index,2,microcapsules,7
11,healing,2,wound dressing,7
12,wound dressing,2,fatigue,7
13,fatigue,2,carbon nanotubes,7
14,carbon nanotubes,2,wound,7
15,wound,2,nanostructures,7
16,tissue,2,nanocomposite,7
17,bone healing,2,healing,6
18,nanostructures,2,bone healing,6
19,crack healing,2,crack healing,6
20,nanocomposite,2,self-healing coating,5
21,ni,2,healing index,5
22,ethyl cellulose microcapsules,1,microencapsulation,4
23,nanocapsules,1,polyurethane,4
24,response surface methodology,1,butyl acetate,4
25,polyvinyl (alcohol),1,nanoclay,4
26,zno,1,skin wound healing,4
27,bio-inspired,1,nano-grooves topography,4
28,bacillus subtilis,1,ecis,4
29,iron oxide particles,1,cell migration,4
30,insulin,1,cell,4
31,protein nanoparticles interactions,1,hydrogel membrane,4
32,diabetes,1,poly vinyl alcohol,4
33,carbon fiber polypropylene/carbon nanotube nano-composite,1,starch,4
34,addressable,1,nano-sized copper,4
35,microencapsulation,1,lysyl oxidise,4
36,polyurethane,1,osteogenesis,4
37,butyl acetate,1,fracture healing,4
38,nanoclay,1,callus,4
39,nano-al2o3,1,bitumen,4
40,epoxy resin coating,1,rejuvenator,4
41,micro-nano capsule,1,nano-composite,4
42,calcium alginate,1,bituminous binders,4
43,polymer matrix composite,1,nanoclays,4
44,jute fiber,1,amyloid hydrogel,4
45,tensile strength,1,nanofibrils,4
46,compressive,1,self-assembly,4
47,nanosilica,1,stem cell,4
48,taguchi doe method,1,gum tragacanth,4
49,ferulic acid,1,polyvinyl alcohol,4
50,diabetic wound healing,1,nano-clay,4
51,central-composite design,1,electrospinning,4
52,bone defects,1,nano dressing,4
53,calvaria healing,1,cytotoxicity,4
54,nano composites,1,in vivo,4
55,chronic ulcer,1,hydroxyapatites,4
56,nano silver particles,1,cartilage,4
57,conventional dressing,1,articular,4
58,bone tissue engineering,1,antibacterial,4
59,scaffold,1,bandage,4
60,steroidal saponins,1,nano zno,4
61,sustained release,1,beta-chitin hydrogel,4
62,skin wound healing,1,in situ gelling system,4
63,nano-grooves topography,1,nano-curcumin,4
64,ecis,1,cross-linking,4
65,cell migration,1,in,4
66,cell,1,nano-silver,4
67,warm mix asphalt (wma),1,nano-zirconium,4
68,nano-scale evaluation,1,antimicrobial,4
69,schiff base,1,cotton gauze,4
70,reversible thermochromism,1,elastase inhibition,4
71,contact angle,1,microspheres,4
72,nano silica,1,proteins,4
73,taguchi method,1,sonochemistry,4
74,hot mix asphalt,1,hybrid materials,4
75,self-healing concrete,1,bending,4
76,high performance concrete,1,nanocomposites,4
77,encapsulated,1,dental implant,4
78,self healing composites,1,bic,4
79,nanoreinforced healing agents,1,surface treatment,4
80,carbon,1,ha,4
81,hydrogel membrane,1,animal study,4
82,poly vinyl alcohol,1,composites,4
83,starch,1,sic,4
84,nano-sized copper,1,strength,4
85,lysyl oxidise,1,multi-layer,4
86,osteogenesis,1,silica,4
87,fracture healing,1,swelling clay,4
88,callus,1,corrosion phenomena,4
89,tooth powder,1,response surface methodology,3
90,bone repair,1,polyvinyl (alcohol),3
91,graft material,1,zno,3
92,histologic analysis,1,bio-inspired,3
93,histomorphometrical analysis,1,bacillus subtilis,3
94,bitumen,1,iron oxide particles,3
95,rejuvenator,1,insulin,3
96,nano-composite,1,protein nanoparticles interactions,3
97,impedance measurement,1,diabetes,3
98,keratinocytes,1,nano-al2o3,3
99,nano-patterned porous silicon,1,epoxy resin coating,3
100,"healing, rheology",1,polymer matrix composite,3
101,bituminous mastics,1,jute fiber,3
102,self-healing core shell fibers,1,tensile strength,3
103,solution blowing nano-/microfibers,1,compressive,3
104,nitrocellulose liquid bandage,1,bone tissue engineering,3
105,nano porous,1,scaffold,3
106,chitosan nano-green tea,1,steroidal saponins,3
107,bio-nano particle,1,sustained release,3
108,hepatocytes,1,schiff base,3
109,transmission,1,reversible thermochromism,3
110,bituminous binders,1,contact angle,3
111,nanoclays,1,nano silica,3
112,silicate-/borate-based bioactive glass fibers,1,taguchi method,3
113,glass conversion,1,hot mix asphalt,3
114,amyloid hydrogel,1,tooth powder,3
115,nanofibrils,1,bone repair,3
116,self-assembly,1,graft material,3
117,stem cell,1,"healing, rheology",3
