,Keyword_1,frequency,Keyword_2,degreee
0,perovskites,9,perovskites,28
1,charge,7,charge,23
2,dye-sensitized solar cell,6,solar cells,19
3,solar cells,5,dye-sensitized solar cell,14
4,solar cell,4,solar cell,12
5,organic solar cell,3,quantum dots,12
6,solar energy,3,cds,10
7,quantum dots,3,graphene,10
8,electron,3,nanoparticles,10
9,polymer solar cells,3,water splitting,9
10,graphene,3,electron,9
11,photovoltaic cells,3,photovoltaic cells,9
12,nanoparticles,3,organic solar cell,8
13,quantum dot sensitized solar cells,2,solar energy,8
14,nanocomposite,2,solar,8
15,nanomaterials,2,ch3nh3pbi3,8
16,water splitting,2,pcbm,8
17,perovskite,2,nanomaterials,7
18,performance,2,performance,7
19,cds,2,polymer solar cells,7
20,charge transfer,2,layers,7
21,organic solar cells,2,efficiency,7
22,layers,2,nanostructures,7
23,counter electrode,2,nanowires,7
24,carbon nanotube,2,nanocomposite,6
25,solar,2,carbon nanotube,6
26,ch3nh3pbi3,2,nanostructure,6
27,films,2,electrodes,6
28,nanostructure,2,electron transport,6
29,electrodes,2,perovskite,5
30,recombination,2,cu2mos4,5
31,efficiency,2,photocatalysis,5
32,dye-sensitized solar cells,2,hydrogen,5
33,pcbm,2,charge transfer,5
34,nanostructures,2,organic solar cells,5
35,nanowires,2,cztsse,5
36,electron transport,2,cztgesse,5
37,zno nano-array interlayer,1,nanocrystals,5
38,organic tandem solar cell,1,selenization,5
39,3d nano-ripple pattern,1,solution processing,5
40,zno sol-gel,1,ge,5
41,nano-particles,1,films,5
42,plasmon resonance,1,recombination,5
43,photovoltaic,1,nano-particles,4
44,core-shell,1,plasmon resonance,4
45,nano-dust,1,photovoltaic,4
46,interplanetary coronal mass ejections,1,core-shell,4
47,interplanetary dust,1,h-2,4
48,thin film,1,band gap,4
49,h-2,1,quantum efficiency,4
50,band gap,1,mppt,4
51,quantum efficiency,1,charge controller,4
52,metallated conjugated polymer,1,arduino nano,4
53,organometallic device,1,battery,4
54,mppt,1,charge transfers,4
55,charge controller,1,stabilities,4
56,arduino nano,1,counter electrode,4
57,battery,1,photoactive layer,4
58,different tio2 nanostructures,1,carminic acid,4
59,al2o3 scaffold,1,porphyrin,4
60,charge transport,1,charge transfer complex,4
61,charge transfers,1,chemisorption,4
62,stabilities,1,dynamics,4
63,halide perovskites,1,hybrids,4
64,collection layer,1,morphology,4
65,stability,1,nanorods,4
66,thermal energy storage system (tess),1,organic,4
67,phase change material (pcm),1,dye sensitized solar cell,4
68,cu2mos4,1,tin oxide,4
