,Keyword_1,frequency,Keyword_2,degreee
0,neuron,13,neuron,37
1,single neuron,11,chaos,33
2,chaos,11,single neuron,29
3,synchronization,10,synchronization,29
4,neural network,9,neural network,23
5,adaptive control,7,adaptive control,20
6,model-free control,7,model-free control,18
7,pid control,6,pid controller,17
8,pid controller,6,pid control,16
9,optimal control,5,fuzzy control,14
10,neuron control,5,neuron control,13
11,hindmarsh-rose neuron,4,optimal control,12
12,control,4,control,12
13,adaptive,4,adaptive,12
14,fuzzy control,4,neural networks,10
15,bursting,3,bursting,9
16,motor control,3,hindmarsh-rose neuron,9
17,brushless dc motor,3,fitzhugh-nagumo neuron,9
18,single neuron pid,3,medulla,9
19,nonlinear control,3,motor control,8
20,neural networks,3,respiration,8
21,fitzhugh-nagumo neuron,3,obesity,7
22,chaos synchronization,3,brushless dc motor,7
23,lyapunov approach,3,single neuron pid,7
24,auto-tuning neuron,3,nonlinear control,7
25,biological neurons,2,serotonin,7
26,h-infinity control,2,adult neurogenesis,7
27,industrial,2,chaos synchronization,7
28,spiking,2,fever,7
29,obesity,2,spiking,6
30,single,2,single,6
31,temperature control,2,temperature control,6
32,intelligent control,2,intelligent control,6
33,chaotic synchronization,2,medulla oblongata,6
34,dendritic neuron,2,single-neuron,6
35,morris-lecar neuron model,2,neuropathic pain,6
36,serotonin,2,motor cortex,6
37,medulla oblongata,2,lyapunov approach,6
38,respiration,2,synchronization control,6
39,single-neuron,2,decoupling,6
40,feedback,2,neuron pid control,6
41,self-tuning pid,2,multivariable system,6
42,neuropathic pain,2,competition,6
43,motor cortex,2,cooperation,6
44,amyotrophic lateral sclerosis,2,auto-tuning neuron,6
45,active disturbance rejection control,2,biological neurons,5
46,simulation,2,h-infinity control,5
47,single neuron pid control,2,industrial,5
48,rbf neural network,2,dendritic neuron,5
49,adult neurogenesis,2,feedback,5
50,external electrical stimulation,2,amyotrophic lateral sclerosis,5
51,chaos control,2,simulation,5
52,semi-active suspension,2,chaos control,5
53,single neuron control,2,semi-active suspension,5
54,variable structure control,2,single neuron control,5
55,ghostburster,2,variable structure control,5
56,synchronization control,2,ghostburster,5
57,pid neural network,2,pid neural network,5
58,decoupling,2,integrated error,5
59,hydraulic turbine,2,gad,5
60,neuron adaptive controller,2,inhibitory,5
61,integrated error,2,limbic,5
62,single neuron controller,2,episodic,5
63,neuron pid control,2,memory,5
64,medulla,2,papez,5
65,multivariable system,2,electrophysiology,5
66,fever,2,raphe,5
67,competition,2,autonomic,5
68,cooperation,2,membrane,5
69,neuron model,2,coupled neuron,4
70,nonlinear optimal control,1,observer-based control,4
71,adaptive correction,1,robustness,4
72,generalized predictive control (gpc),1,bioenergetics,4
73,coupled neuron,1,metabolism,4
74,observer-based control,1,renin-angiotensin system,4
75,robustness,1,leptin,4
76,bioenergetics,1,slow wave sleep,4
77,metabolism,1,paradoxical sleep,4
78,renin-angiotensin system,1,gabaa receptors,4
79,leptin,1,gaba,4
80,conductance-based neuron models,1,glycine,4
81,minimal time affine,1,chaotic synchronization,4
82,abdominal control,1,traumatic brain injury,4
83,chemoreception,1,arousal,4
84,expiratory neurons,1,coma,4
85,inspiratory,1,locus coeruleus,4
86,closed-loop isi clamp,1,raphe nucleus,4
87,computational model,1,morris-lecar neuron model,4
88,firing regularity,1,hysteresis,4
89,artificial neural network,1,creep,4
90,direct power control,1,synchronous,4
91,double fed induction,1,mechanical arm,4
92,cpg,1,hydraulic drive system,4
93,biped robot,1,pid,4
94,human locomotion,1,self-tuning pid,4
95,spiking neurons,1,saccade,4
96,homotopy perturbation method,1,burst firing,4
97,direct torque control,1,circuit model,4
98,three levels inverter,1,time-optimal,4
99,induction motor,1,united simulation,4
100,barrier lyapunov function (blf),1,matlab,4
101,neural network (nn) approximation,1,amesim,4
