,Keyword_1,frequency,Keyword_2,degreee
0,single cell,22,single cell,87
1,single-cell analysis,20,single-cell analysis,50
2,microfluidics,12,microfluidics,40
3,single-cell,11,rna-seq,36
4,rna-seq,9,single-cell,35
5,single-cell sequencing,5,sequencing,20
6,sequencing,5,heterogeneity,18
7,heterogeneity,5,transcriptome,17
8,transcriptome,4,single-cell sequencing,15
9,microfluidic,4,microfluidic,12
10,single cell analysis,4,single cell analysis,11
11,detection,4,genomics,11
12,capillary electrophoresis,4,proteomics,11
13,lab-on-a-chip,3,rna,10
14,single-cell rna-seq,3,lab-on-a-chip,10
15,differential expression,3,transcriptomics,10
16,genomics,3,single cells,9
17,proteomics,3,capillary electrophoresis,9
18,single cells,3,imaging,8
19,droplet microfluidics,3,bioinformatics,8
20,transcriptomics,3,epigenetics,8
21,rna,2,proteins,8
22,manipulation,2,detection,8
23,single-cell genomics,2,exosome,8
24,rna-sequencing,2,single-cell assay,8
25,single-cell trapping,2,droplet microfluidics,8
26,cell,2,genome,8
27,hematopoietic stem cell,2,intracellular,8
28,single cell rna-seq,2,manipulation,7
29,hematopoiesis,2,single-cell rna-seq,7
30,imaging,2,cancer,7
31,bioinformatics,2,living single cell analysis,7
32,epigenetics,2,differential expression,7
33,cancer,2,metabolomics,7
34,living single cell analysis,2,biology,6
35,single-cell transcriptome,2,issue 143,6
36,proteins,2,adult,6
37,rna sequencing,2,single-cell trapping,6
38,mass cytometry,2,cell,6
39,single cell heterogeneity,2,hematopoiesis,6
40,embryonic stem-cells,2,clustering,6
41,exosome,2,k-means,6
42,single-cell assay,2,anova,6
43,single-cell biology,2,pca,6
44,genome,2,signature genes,6
45,fluorescence,2,mass cytometry,6
46,microfluidic techniques,2,embryonic stem-cells,6
47,single-cell separation,2,mass spectrometry,6
48,microarray analysis,2,rt-qpcr,6
49,metabolomics,2,microfluidic chip,6
50,mass spectrometry,2,automation,6
51,intracellular,2,rna-sequencing,5
52,rt-qpcr,2,hematopoietic stem cell,5
53,microfluidic chip,2,single cell rna-seq,5
54,single-cell injection,2,rna sequencing,5
55,automation,2,single cell heterogeneity,5
56,microdroplets,1,single-cell biology,5
57,hydrodynamics,1,fluorescence,5
58,single-cell capture and analysis,1,single-cell separation,5
59,biology,1,cell migration,4
60,issue 143,1,mcpip1,4
61,adult,1,metastasis,4
62,cell migration,1,single-cell anlalysis,4
63,mcpip1,1,rna transport,4
64,metastasis,1,splicing,4
65,single-cell anlalysis,1,systems biology,4
66,microfluidics bio-mems,1,early embryo,4
67,cell isolation,1,genetics,4
68,single-cell study,1,environment,4
69,polymeric,1,mass,4
70,manufacturing,1,single-cell transcriptome,4
71,dielectrophoresis,1,biosensing,4
72,loop-mediated isothermal amplification,1,cell secretomics,4
73,rna transport,1,cell microarray chip,4
74,splicing,1,cell chip,4
75,glioma,1,microchip,4
76,intratumor genetic heterogeneity,1,elisa,4
