,Keyword_1,frequency,Keyword_2,degreee
0,atomic magnetometer,32,atomic magnetometer,81
1,magnetometer,8,magnetometer,21
2,coherent population trapping,7,optical pumping,16
3,optical pumping,6,coherent population trapping,15
4,atomic magnetometers,5,mri,14
5,sensitivity,4,atomic magnetometers,12
6,mri,4,squid,11
7,magnetometers,4,nmr,11
8,atomic clocks,4,atomic clocks,11
9,spin-exchange,3,sensitivity,10
10,optical,3,magnetometers,10
11,optically pumped magnetometer,3,atomic,9
12,squid,3,atomic spin magnetometer,9
13,nmr,3,magnetic,9
14,atomic spin magnetometer,3,biomagnetics,8
15,biomagnetics,3,ultra-low field,8
16,noise,3,optical,7
17,atomic magnetometry,3,optically pumped magnetometer,7
18,optical magnetometer,3,noise,7
19,magnetic,3,atomic magnetometry,7
20,light shift,2,optical magnetometer,7
21,harmonic detection,2,spin-exchange,6
22,magnetic resonance,2,serf,6
23,linewidth,2,optically pumping,6
24,serf,2,spin,6
25,spin-exchange relaxation-free,2,antirelaxation coating,6
26,field,2,magnetic sensing,6
27,atomic,2,heading error,6
28,nonlinear magneto-optical rotation,2,light shift,5
29,optically pumping,2,linewidth,5
30,spin,2,field,5
31,antirelaxation coating,2,magnetic particles,5
32,polarization,2,spintronic sensors,5
33,atomic magnetic resonance,2,gmr,5
34,magnetic sensing,2,polarization,5
35,remote detection,2,atomic magnetic resonance,5
36,serf atomic magnetometer,2,remote detection,5
37,laser spectroscopy,2,serf atomic magnetometer,5
38,heading error,2,laser spectroscopy,5
39,optical atomic magnetometers,2,alkali metal vapor cell,5
40,magnetic induction tomography,2,anatomical,5
41,optically pumped atomic magnetometer,2,imaging,5
42,alkali metal vapor cell,2,low-cost,5
43,digital servo system,2,diode laser,5
44,ultra-low field,2,microfluidics,5
45,diode laser,2,atomic force microscopy,5
46,microfluidics,2,harmonic detection,4
47,atomic force microscopy,2,magnetic resonance,4
48,electromagnetically induced transparency,2,spin-exchange relaxation-free,4
49,high-density atomic magnetometer,1,nonlinear magneto-optical rotation,4
50,alkali-metal density ratio,1,scalar,4
51,hybrid optical ptunping,1,chip-scale,4
52,serf atomic,1,compensation,4
53,double resonance atomic magnetometers,1,geomagnetic,4
54,transverse,1,nqr,4
55,spin precession of hyperpolarized noble gas,1,polarization enhancement,4
56,electron spin resonance,1,ammonium nitrate,4
57,atomic magnetometer array,1,petn,4
58,rf magnetic field,1,chip-scale atomic magnetometer,4
59,geometry design of microfabricated alkali vapor cells,1,mcg,4
60,microfabricated,1,meg,4
61,alkali density measurement,1,mrx,4
62,spin-exchange relaxation free (serf) magnetometer,1,ferrites,4
63,frequency tracking,1,magnetic flux,4
64,vibration stabilization,1,magnetic noise,4
65,field-programmable gate,1,magnetic permeability,4
66,transfer function,1,transfer function,3
67,frequency-response,1,frequency-response,3
68,dynamics,1,dynamics,3
69,resonance frequency,1,resonance frequency,3
70,chip-scale spin-exchange-relaxation-free (serf) magnetometer,1,3d measurements,3
71,micro,1,multifactorial design,3
72,3d measurements,1,biomagnetism,3
73,multifactorial design,1,magnetron sputtering,3
74,axion dark matter,1,polysilicon-aluminum,3
75,biomagnetism,1,heater,3
76,magnetron sputtering,1,serf magnetometer,3
77,polysilicon-aluminum,1,atomic spin polarization,3
78,heater,1,pump-beam modulation,3
79,serf magnetometer,1,polarized atoms,3
80,atomic spin polarization,1,magnetic field standard,3
81,optically pumped magnetometers,1,fabrication,3
82,multi-axis field measurements,1,nv centres,3
83,m-x optically pumped magnetometers,1,solid spin manipulation,3
84,square wave duty,1,low field,3
85,magnetic particles,1,opam,3
86,spintronic sensors,1,non-orthogonal angle,3
87,gmr,1,saddle coil system,3
88,nanoparticles,1,magnetic field measurement,3
89,induced remnant magnetization,1,magnetometry,3
90,optical atomic,1,all optical,3
91,modulation,1,ultra low field nmr,3
92,electro-optic modulator,1,j-coupling,3
93,nonlinear zeeman effect,1,dead zone,3
94,large dynamic,1,liquid crystal,3
95,pump-beam modulation,1,polarization rotator,3
96,polarized atoms,1,dead-zone,3
97,magnetic field standard,1,buried explosive hazards,3
98,ft sensitivity,1,unexploded,3
99,coherent population trapping (cpt) resonance,1,optical atomic magnetometers,3
100,mems atomic vapor cells,1,magnetic induction tomography,3
101,chip-scale atomic clock (csac),1,magnetic moment,3
102,buffer gas,1,m-x-m-r magnetometer,3
103,atomic vapor magnetometer,1,rb,3
104,vapor cell,1,3d imaging,3
105,scalar,1,hybrid pumping,3
106,chip-scale,1,pump power,3
107,compensation,1,molar ratio,3
108,geomagnetic,1,optically pumped atomic magnetometer,3
109,photon absorption cross-section,1,system integration,3
110,alkali atoms,1,rb vapor cell,3
111,broadening,1,weak,3
112,ots-coated micro alkali vapor cell,1,silicon heater,3
113,chip-scale atomic magnetometers,1,wafer level,3
114,fabrication,1,ac electronic heating,3
115,nv centres,1,optical absorption,3
116,solid spin manipulation,1,digital servo system,3
117,low field,1,semiconductor laser,3
118,opam,1,collimation,3
119,low-frequency,1,lens,3
120,high sensitivity,1,anamorphic prisms,3
121,non-orthogonal angle,1,rubidium magnetometer,3
122,saddle coil system,1,faraday rotation effect,3
123,magneto-optic,1,spin relaxation,3
124,magnetic field measurement,1,buffer,3
125,magnetometry,1,cesium,3
126,all optical,1,distributed feedback laser,3
127,spin exchange relaxation free,1,temperature,3
128,atomic co-magentometer,1,ots,3
129,atomic spin,1,ultralow field nmr,3
130,ultra low field nmr,1,near room temperature,3
131,j-coupling,1,fast,3
132,optically driven,1,zeeman effect,3
133,spin-exchange collisions,1,odmr,3
134,slowing-down,1,faraday effect,3
135,optical atomic magnetometer,1,lock-in amplifier,3
136,geomagnetics,1,verdet constant,3
137,dead zone,1,convergence criterion,3
138,liquid crystal,1,laser pumping,3
139,polarization rotator,1,self-test,3
140,dead-zone,1,atomic clock,3
141,nqr,1,microwave,3
142,polarization enhancement,1,laser,3
143,ammonium nitrate,1,spin exchange,3
144,petn,1,coherence,3
145,buried explosive hazards,1,biomagnetic field,3
146,unexploded,1,phantom,3
147,medical,1,ground states,3
148,vapor cells quantum magnetometer,1,hyperfine structure,3
149,allan variance,1,light coherence,3
150,atomic devices,1,zero-field nmr,3
151,chemical foaming process (cfp),1,scalar coupling,3
152,hot forming process,1,atom-photon collisions,3
153,magnetic moment,1,indeterminancy,3
154,m-x-m-r magnetometer,1,kalman filters,3
155,rb,1,x-ray diffraction,3
156,3d imaging,1,nanomaterial,3
157,magnetic field,1,mems,3
158,magic frequency,1,micro mirrors,3
159,hybrid pumping,1,csac,3
160,pump power,1,coupling constants,3
161,molar ratio,1,functional imaging,3
