,Keyword_1,frequency,Keyword_2,degreee
0,cellulolytic enzymes,16,cellulolytic enzymes,43
1,cellulase,13,cellulase,41
2,cellulases,7,cellulases,23
3,beta-glucosidase,5,beta-glucosidase,16
4,xylanase,4,xylanase,14
5,endoglucanase,4,endoglucanase,12
6,exoglucanase,3,exoglucanase,9
7,cellulolytic enzyme,3,biomass,8
8,cellulolytic bacteria,3,cellulolytic enzyme,8
9,aspergillus tubingensis,2,cellulolytic bacteria,8
10,biomass,2,cellulose,7
11,cellulose,2,penicillium oxalicum,7
12,cellulose hydrolysis,2,cellulolytic,7
13,penicillium oxalicum,2,aspergillus tubingensis,6
14,enzymatic hydrolysis,2,bioethanol,6
15,lignocellulosic,2,cellulolytic enzyme genes,6
16,bioethanol,2,rt-pcr,6
17,cellulolytic activity,2,insect,6
18,cellulolytic enzyme genes,2,digestive fluids,6
19,rt-pcr,2,fermentation conditions,6
20,immobilization,2,tween 80,6
21,cellulolytic,2,cellulose hydrolysis,5
22,insect,2,lignocellulosic,5
23,digestive fluids,2,cellulolytic activity,5
24,fermentation conditions,2,cellulose degradation,5
25,cellulose degradation,2,trichoderma,5
26,trichoderma,2,cellulolytic microorganisms,5
27,tween 80,2,total sugars,4
28,soybean hull meal,2,bagasse,4
29,broilers and laying hens,2,enzymatic hydrolysis,4
30,cellulolytic microorganisms,2,hp1,4
31,cellulolytic microbes,1,chart-pcr,4
32,hydrolysis capacity,1,chromatin,4
33,total cellulase,1,immobilization,4
34,vetiver grass,1,achromobacter,4
35,enzyme,1,cytophagales,4
36,cellulase enzyme,1,isolation,4
37,rice bran,1,endophytes,4
38,16s rdna method,1,antimicrobial activity,4
39,bacillus subtillis,1,opefb,4
40,total sugars,1,penicillium,4
41,bagasse,1,termite,4
42,cellulase stabilization,1,midgut,4
43,cross-linked,1,crystalline cellulose,4
44,pampa biome,1,immunohistochemistry,4
45,lignocellulosic wastes,1,enzyme assay,4
46,solid state,1,enzyme production,4
47,centrifugal partition,1,miniaturization,4
48,inonotus obliquus,1,cellulosomes,4
49,ligninolytic enzyme,1,hemicellulases,4
50,solid,1,clostridia,4
51,transcriptional regulation,1,mesophiles,4
52,rational,1,umm licking block,4
53,monooxygenases,1,ruminal fermentation,4
54,cellulolytic cocktail improvement,1,gas production,4
55,biomass pretreatment,1,degradation,4
56,hydrolysis,1,in,4
57,hp1,1,soybean hull meal,4
58,chart-pcr,1,broilers and laying hens,4
59,chromatin,1,transgenic plant,4
60,eupenicillium parvum,1,transgenic animal,4
61,feruloyl esterases,1,cellulolytic microbes,3
62,thermophilic,1,hydrolysis capacity,3
63,trichoderma viride,1,total cellulase,3
64,lignocellulosic waste,1,vetiver grass,3
65,aspergillus spp,1,enzyme,3
66,fermentation,1,cellulase enzyme,3
67,hydrolysis of cellulose,1,rice bran,3
68,poly(ethylene terephthalate),1,16s rdna method,3
69,achromobacter,1,bacillus subtillis,3
70,cytophagales,1,cellulase stabilization,3
71,isolation,1,cross-linked,3
72,horizontal gene transfer,1,pampa biome,3
73,lateral gene transfer,1,lignocellulosic wastes,3
74,bursaphelenchus-xylophilus,1,solid state,3
75,xylanolytic enzymes,1,centrifugal partition,3
76,lignocellulose biomass,1,inonotus obliquus,3
77,lytic polysaccharide monooxygenase,1,ligninolytic enzyme,3
78,lpmo,1,solid,3
79,chitinase,1,transcriptional regulation,3
80,hydrolase family,1,rational,3
81,binding,1,biomass pretreatment,3
82,lignocellulosis,1,hydrolysis,3
83,mycoparasitism,1,eupenicillium parvum,3
84,plant-trichoderma,1,feruloyl esterases,3
85,aspergillus niger,1,thermophilic,3
86,mutagenesis,1,aspergillus spp,3
87,cellobionic acid phosphorylase,1,fermentation,3
88,glycoside hydrolase family 94,1,lytic polysaccharide monooxygenase,3
89,cryptococcus sp s-2,1,lpmo,3
90,carboxymethyl cellulase,1,chitinase,3
91,carbohydrate binding,1,lignocellulosis,3
92,xyloglucanase,1,mycoparasitism,3
93,purification,1,plant-trichoderma,3
94,trichoderma reesei,1,aspergillus niger,3
95,bio-drying,1,mutagenesis,3
96,water content,1,xyloglucanase,3
97,dominant thermophilic cellulolytic bacteria,1,purification,3
98,streptomyces,1,trichoderma reesei,3
99,recombinant expression,1,streptomyces sp mds,3
