,Keyword_1,frequency,Keyword_2,degreee
0,graphene,125,graphene,386
1,transistor,20,transistor,71
2,field effect transistor,13,field effect transistors,36
3,field-effect transistor,13,field effect transistor,35
4,field effect transistors,12,field-effect transistor,34
5,field-effect transistors,9,transistors,30
6,transistors,8,field-effect transistors,25
7,graphene transistors,6,mobility,21
8,mobility,6,gfet,18
9,gfet,5,graphene transistors,17
10,graphene transistor,5,doping,17
11,doping,5,field-effect transistor (fet),15
12,field-effect transistor (fet),5,graphene transistor,14
13,graphene field effect transistor,4,nanoribbon,14
14,contact,4,fet,14
15,contact resistance,4,contact,13
16,nanoribbon,4,contact resistance,13
17,fet,4,high,10
18,dirac point,3,graphene fet,10
19,bilayer graphene,3,biosensors,10
20,high,3,simulation,10
21,thin film transistor,3,sensors,10
22,graphene fet,3,field effect,10
23,flexible electronics,3,current saturation,10
24,bioelectronics,3,graphene oxide,10
25,biosensors,3,dirac point,9
26,simulation,3,bilayer graphene,9
27,sensors,3,thin film transistor,9
28,nanoelectronics,3,flexible electronics,9
29,epitaxial graphene,3,bandgap,9
30,field effect,3,rf transistor,9
31,current saturation,3,interface,8
32,graphene oxide,3,bioelectronics,8
33,thermal,2,carbon,8
34,graphene field-effect transistors,2,epitaxial graphene,8
35,field-effect,2,etching,8
36,graphene field effect transistors,2,electronic structure,8
37,transconductance,2,multilayers,8
38,ambipolar transistor,2,transconductance,7
39,chemical and biological sensors,2,raman spectroscopy,7
40,device modeling,2,carbon nanotubes,7
41,raman spectroscopy,2,modelling,7
42,frequency,2,graphene transfer,7
43,cutoff frequency,2,graphene devices,7
44,modeling,2,ballistic transport,7
45,carbon nanotubes,2,graphene nanoribbon,7
46,modelling,2,nanoelectronics,7
47,interface,2,carbon nanotube (cnt),7
48,generation rate,2,ambipolar,7
49,graphene transfer,2,transition metal dichalcogenides,7
50,graphene field-effect transistor,2,optoelectronic device,7
51,reduced graphene oxide,2,tunneling,7
52,graphene devices,2,logic gates,7
53,ballistic transport,2,field-effect,6
54,carbon,2,frequency,6
55,graphene nanoribbon,2,modeling,6
56,cut-off frequency,2,generation rate,6
57,access resistance,2,access resistance,6
58,thin-film transistors,2,power gain,6
59,fluorination,2,silicon,6
60,cvd,2,thermal,5
61,bandgap,2,graphene field-effect transistors,5
62,carbon nanotube (cnt),2,graphene field effect transistor,5
63,ambipolar,2,cutoff frequency,5
64,transition metal dichalcogenides,2,graphene field-effect transistor,5
65,etching,2,demodulators,5
66,power gain,2,antenna,5
67,optoelectronic device,2,am radio receiver,5
68,hot-electron transistor (het),2,speaker,5
69,graphene field-effect transistors (gfets),2,niobium,5
70,tunneling,2,transfer characteristic,5
71,rf transistor,2,thin-film transistors,5
72,radio frequency (rf),2,fluorination,5
73,silicon,2,cvd,5
74,sheets,2,wafer scale,5
75,vapor,2,more than,5
76,electronic structure,2,radio frequency (rf),5
77,multilayers,2,carrier transport,5
78,carbon transistors,2,mosfet,5
79,logic gates,2,carbon transistors,5
80,algan/gan,1,graphene field effect transistors,4
81,high-electron-mobility transistors (hemts),1,ambipolar transistor,4
82,polar organic dielectrics,1,chemical and biological sensors,4
83,flexible,1,device modeling,4
84,hysteresis effect,1,thermal anneal,4
85,amorphous silicon,1,boron nitride,4
86,electrochemically exfoliated graphene,1,photoresist,4
87,ferroelectric,1,thermal stability,4
88,mems,1,raman spectrum,4
89,acousto-electric effect,1,biosensor,4
90,lithium niobate film,1,gnr,4
91,defect states,1,chemfet,4
92,gas adsorption,1,isfet,4
93,label free sensing,1,neural probes,4
94,graphene nanomesh,1,crumpling,4
95,electron-hole puddles,1,carrier generation,4
96,graphene antidot lattice,1,monte,4
97,fermi velocity,1,polydimethylsiloxane,4
98,graphene receiver,1,hydrophobizer,4
99,w-band,1,side gate,4
100,infrared detectors,1,back gate,4
101,ambipolar transistors,1,two dimensional,4
102,frequency doublers,1,reduced graphene oxide,4
103,graphene/mote2,1,model,4
104,air stability,1,verilog-a,4
105,charge carrier mobility,1,boltzmann,4
106,graphdiyne,1,nanoribbons,4
107,heterojunction,1,cut-off frequency,4
108,resonant tunneling transistor,1,quantum transport,4
109,double-gate,1,bandgap modulation,4
110,high-pressure annealing,1,power,4
111,oxygen,1,electrostatic gating,4
112,graphene scaffold,1,polyallylamine,4
113,high-k dielectrics,1,single-electron transistor,4
114,artificially stacked bilayer graphene,1,benzene,4
115,chemical vapor deposited,1,orientation,4
116,ws2,1,ab initio,4
117,al2o3 gating substrate,1,interlayer capacitance,4
118,carbon nanotubes (cnts),1,off-current,4
119,cnt field-effect transistor (cntfet),1,quantum,4
120,thermal anneal,1,barrier height,4
121,boron nitride,1,spice,4
122,photoresist,1,on/off,4
123,detectors,1,zigzag edge,4
124,field effect transistor (fet),1,nickel,4
125,submillimeter wave,1,high frequency,4
126,parasitism,1,high power,4
127,electronic properties,1,large scale,4
128,junction transistor,1,nanodevices,4
129,optical lithography,1,patterning,4
130,graphene-based transistors,1,rotaxane,4
131,ps,1,logic computation,4
