,Keyword_1,frequency,Keyword_2,degreee
0,surprise,51,surprise,195
1,attention,14,attention,59
2,bayesian surprise,6,uncertainty,24
3,uncertainty,6,learning,23
4,learning,6,information theory,17
5,information theory,5,saliency,17
6,prediction,5,prediction,17
7,monetary policy surprises,4,creativity,15
8,automation surprise,4,information,15
9,monetary policy,4,bayesian surprise,14
10,creativity,4,automation surprise,14
11,automation surprises,4,monetary policy,13
12,information,4,training,12
13,acoustic saliency,3,automation surprises,12
14,training,3,hindsight bias,12
15,saliency,3,emotion,11
16,jumps,3,joy,11
17,curiosity,3,customer delight,11
18,emotion,3,emotions,11
19,customer delight,3,forecast,11
20,formal methods,3,fmri,10
21,news,3,memory,10
22,emotions,3,news,10
23,model checking,3,model checking,10
24,forecast,3,acoustic saliency,9
25,hindsight bias,3,monetary policy surprises,9
26,human-machine systems,3,jumps,9
27,echoic memory,2,curiosity,9
28,multi-scale,2,delight,9
29,statistical divergence,2,novelty,9
30,mental models,2,formal methods,9
31,optimization,2,expectation,9
32,computational models,2,human-machine systems,9
33,simulation,2,category,9
34,model,2,unsupervised,9
35,event,2,supervised,9
36,resilience,2,psychology,9
37,cognition,2,mental models,8
38,factor model,2,models,8
39,explanation,2,topic modeling,8
40,models,2,reward,8
41,comprehension,2,probability,8
42,topic modeling,2,explain,8
43,recommender systems,2,generative model,8
44,anomaly detection,2,e52,8
45,delight,2,judgment,8
46,joy,2,foreseeability,8
47,novelty,2,eye movements,8
48,reward,2,optimization,7
49,fmri,2,simulation,7
50,memory,2,resilience,7
51,forecasting,2,cognition,7
52,human-machine interaction,2,comprehension,7
53,situation awareness,2,anomaly detection,7
54,probability,2,surprises,7
55,bayesian inference,2,capm,7
56,foreign exchange markets,2,mental model,7
57,surprises,2,echoic memory,6
58,event-related potentials,2,multi-scale,6
59,single-trial eeg,2,statistical divergence,6
60,capm,2,dnn,6
61,affective computing,2,bottom-up,6
62,adaptive management,2,top-down,6
63,expectation,2,object detection,6
64,mental model,2,face,6
65,stock returns,2,model,6
66,explain,2,event,6
67,generative model,2,factor model,6
68,e52,2,explanation,6
69,interest rates,2,recommender systems,6
70,macroeconomic surprises,2,interest,6
71,surprise metric,2,captivation,6
72,bayesian probabilistic framework,2,loyalty,6
73,online learning,2,sem,6
74,relative entropy,2,punishment,6
75,satisfaction,2,motivation,6
76,judgment,2,connectivity,6
77,foreseeability,2,forecasting,6
78,eye movements,2,human-machine interaction,6
79,earnings management,2,situation awareness,6
80,category,2,bayesian inference,6
81,unsupervised,2,event-related potentials,6
82,supervised,2,single-trial eeg,6
83,psychology,2,adaptive management,6
84,reference-model based learning,1,rost,6
85,approximately bayesian,1,summarization,6
86,patents,1,exploration,6
87,litigation,1,lda,6
88,intellectual property rights (iprs),1,aqua,6
89,information-theoretic surprise,1,stock returns,6
90,aberrant salience,1,interest rates,6
91,lung cancer screening guidelines,1,relative entropy,6
92,lung cancer screening,1,satisfaction,6
93,individualized,1,rsvp,6
94,superstrings and heterotic strings,1,detection,6
95,conformal field models in string,1,modeling,6
96,flight simulation,1,natural image,6
97,startle,1,computational models,5
98,beta oscillations,1,expertise,5
99,computational model,1,effort,5
100,coxtex,1,tangibles,5
101,temporal surprise,1,climate change,5
102,complex networks,1,unknown,5
103,community detection,1,adaptability,5
104,phase,1,ignorance,5
105,product discovery,1,info-gap,5
106,text surprisingness,1,robustness,5
107,recommender,1,foreign exchange markets,5
108,dnn,1,emotion concepts,5
109,bottom-up,1,metaphor,5
110,top-down,1,metonymy,5
111,object detection,1,loss of control,5
112,face,1,lexical,5
113,evaluation,1,affective computing,5
114,fuzzy logic,1,singleton,5
115,business strategy,1,oil price,5
116,surprise level,1,global real activity,5
117,experiment,1,demand,5
118,stock return predictability,1,shocks,5
119,panel predictive,1,salience,5
120,love,1,learn,5
121,embarrassment,1,predict,5
122,additive,1,e44,5
123,antagonistic,1,g12,5
124,community biomass,1,monetary policy shocks,5
125,ecological surprises,1,term structure,5
126,change detection,1,latent factor,5
127,motor inhibition,1,macroeconomic surprises,5
128,stop-signal task,1,scene analysis,5
129,working,1,scene understanding,5
130,discovery,1,fast,5
131,ecosystem,1,earnings management,5
132,expectations,1,connectionist,5
133,social systems,1,flight simulation,4
134,social-ecological,1,startle,4
135,aviation,1,complex networks,4
136,pilot performance,1,community detection,4
137,hospital readmission,1,phase,4
138,readmission risk,1,change detection,4
139,implicit knowledge,1,motor inhibition,4
140,3d shape design,1,stop-signal task,4
141,human computer interaction,1,working,4
142,collaborative creativity,1,discovery,4
143,"""surprise"" question",1,ecosystem,4
144,medical intensive care unit,1,expectations,4
145,prognosis,1,social systems,4
146,6-month,1,social-ecological,4
147,aviation automation,1,aviation,4
148,complacency,1,pilot performance,4
149,bias,1,aviation automation,4
150,active learning,1,complacency,4
151,surprise-based learning,1,bias,4
152,international,1,surprise valley,4
153,financial markets,1,geothermal,4
154,expectations hypothesis,1,evaporation,4
155,time-varying coefficient model,1,geochemical modeling,4
156,sentiment,1,fluid,4
157,percolation,1,amusement,4
158,poisson process,1,humor,4
159,gilbert model,1,event-related potential (erp),4
160,cognitive networks,1,stock market,4
161,surprise valley,1,anticipated,4
162,geothermal,1,unanticipated,4
163,evaporation,1,epistemic emotion,4
164,geochemical modeling,1,confusion,4
165,fluid,1,value appraisal,4
166,causation,1,diversity,4
167,amusement,1,agent,4
168,humor,1,alternative futures,4
169,event-related potential (erp),1,willamette,4
170,quantum information,1,oregon,4
171,stochastic process,1,sensemaking,4
172,hidden,1,cockpit operations,4
173,stock market,1,re-framing,4
174,anticipated,1,aesthetics,4
175,unanticipated,1,bayesian,4
176,event-related potentials (erps),1,semantics,4
177,electroencephalography (eeg),1,price momentum,4
178,cognitive search,1,earnings momentum,4
179,information foraging,1,revenue momentum,4
180,case-based reasoning,1,fama-french,4
181,surprise in games,1,lexical semantics,4
182,procedural generation of emotion,1,lexical typology,4
183,event-related potentials (erp),1,nsm,4
184,fear and surprise,1,anglocentrism,4
185,blur,1,grid,4
186,information surprise,1,cross-cultural semantic profile,4
187,early warning signal,1,english,4
188,time,1,french,4
189,epistemic emotion,1,economic methodology,4
190,confusion,1,evolutionary,4
191,value appraisal,1,belief,4
192,thematic maps,1,ambient media,4
193,event visualization,1,advertising efficacy,4
194,spatio-temporal,1,guerrilla,4
195,interest,1,svd plus,4
196,captivation,1,rmse,4
197,loyalty,1,e-commerce,4
198,sem,1,brands preference,4
199,customer loyalty,1,eye movement,4
200,anger,1,bayes,4
201,disconfirmation of,1,p3b,4
202,diversity,1,p3a,4
203,investment growth,1,task-switching,4
204,variance decomposition,1,formal,4
205,q-theory,1,vision,4
206,earnings shocks,1,face perception,4
207,agent,1,computational modeling,4
208,alternative futures,1,categorical,4
209,willamette,1,internet video avoidance,4
210,oregon,1,eye tracking,4
211,grammatical evidentiality,1,facial,4
212,mirativity,1,anxiety,4
213,deixis,1,surprise metric,4
214,sensemaking,1,bayesian probabilistic framework,4
215,cockpit operations,1,online learning,4
216,re-framing,1,animations,4
217,punishment,1,probability judgments,4
218,motivation,1,representation,4
219,connectivity,1,reasoning,4
220,image saliency,1,inevitability,4
221,visual surprise,1,hindsight,4
222,intrinsic context,1,sense making,4
223,extrinsic context,1,bayes theorem,4
224,business cycle,1,p300,4
225,dynamic factor model,1,story generation,4
226,state space model,1,narrative,4
227,narrative processing,1,flashback,4
228,surprise structure,1,foreshadowing,4
229,orienting response,1,prolepsis,4
230,embodied,1,csm design model,4
231,economic surprises,1,cognitive framework,4
232,unconventional monetary policy,1,interactive,4
233,rates structure,1,time series,4
234,adept toolset,1,suffix tree,4
235,human factors,1,novelty detection,4
236,alert,1,markov,4
237,bisimulation relation,1,conceptual modeling,4
238,human-machine,1,system modeling,4
239,confusions,1,database,4
240,paradox of the undiscoverable position,1,additive effects,4
241,paradox of the surprise,1,amides,4
242,technology-mediated communication,1,kinetics,4
243,web interface design,1,nitriles,4
244,online,1,zirconium,4
245,cognitive model,1,temporal trend,4
246,intelligent agents,1,earnings,4
247,luminance contrast,1,analysts,4
248,painting analysis,1,small negative surprises,4
249,graph-based statistical learning,1,frequency,4
250,values,1,intrusive,4
251,brand evaluation,1,withdrawn,4
252,logo design,1,depressed mothers,4
253,expertise,1,infants,4
254,effort,1,eeg,4
255,tangibles,1,relevance,4
256,cross-market index,1,bayesian probabilities,4
