,Keyword_1,frequency,Keyword_2,degreee
0,graphene,7,graphene,22
1,nanotechnology,7,nanotechnology,21
2,rf magnetron sputtering,6,rf magnetron sputtering,21
3,zno,6,zno,20
4,thin films,5,nano-satellite,16
5,nano-satellite,4,thin films,14
6,magnetron sputtering,4,magnetron sputtering,12
7,internet of things,3,rfid,11
8,nanoparticles,3,nano-communication,11
9,radiotherapy,3,afm,11
10,rfid,3,ais,10
11,nano communication,3,radiotherapy,10
12,terahertz,3,terahertz,10
13,radio frequency plasma,3,communication,10
14,nano-communication,3,rf thermal plasma,10
15,terahertz band,3,powder,10
16,carbon nanotube,3,internet of things,9
17,afm,3,nano communication,9
18,ais,2,terahertz band,9
19,bidirectional,2,hydroxyapatite,9
20,cmos integrated circuits,2,transmitter,8
21,on-chip,2,nanoparticles,8
22,transmitter,2,nano-wireless,8
23,radio frequency identification,2,radio frequency,8
24,wireless sensor,2,orthogonality,8
25,body area network,2,plasma,8
26,channel modeling,2,body area network,7
27,multi-scale,2,radio frequency plasma,7
28,sputtering,2,swarm,7
29,cep,2,cluster,7
30,average bit error rate,2,carbon nanotube,7
31,awggn,2,nano-polysilicon,7
32,x-ray diffraction,2,nanostructure,7
33,transmission electron,2,bidirectional,6
34,nano-antenna,2,cmos integrated circuits,6
35,network,2,on-chip,6
36,nano-wireless,2,radio frequency identification,6
37,swarm,2,wireless sensor,6
38,cluster,2,channel modeling,6
39,communication,2,sputtering,6
40,radio frequency,2,cep,6
41,nano-polysilicon,2,average bit error rate,6
42,software defined radio,2,awggn,6
43,rf thermal plasma,2,x-ray diffraction,6
44,orthogonality,2,transmission electron,6
45,zinc oxide,2,software defined radio,6
46,powder,2,nanoelectronics,6
47,nanostructure,2,cubesat,5
48,nanoelectronics,2,gnss-r,5
49,nanostructures,2,radiometry,5
50,photoluminescence,2,rfi,5
51,hydroxyapatite,2,i-125,5
52,plasma,2,cs-134,5
53,znse,1,cs-137,5
54,cds,1,nano-titania,5
55,nano-heterojunction,1,natural xenon,5
56,atomic layer deposition,1,neutron activation,5
57,photodetector,1,network,5
58,isotope production,1,subsystem,5
59,argon-37,1,tnc,5
60,thermal neutrons,1,receiver,5
61,slowpoke-2,1,demodulators,5
62,nanoparticle,1,antenna,5
63,radio-absorber,1,am radio receiver,5
64,mnzn-ferrite,1,circuit,5
65,polyaniline,1,transistor,5
66,cubesat,1,tco,5
67,gnss-r,1,ito,5
68,radiometry,1,izto,5
69,rfi,1,indium,5
70,nano-structure,1,nano powder,5
71,insulation pressboard,1,zinc oxide,5
72,space,1,gnu radio,5
73,x structure,1,sdr,5
74,fem,1,intelligent transport,5
75,absorber,1,marine,5
76,radio-enhancement,1,glass,5
77,radiation physics,1,spherical,5
78,local dose enhancement,1,nano,5
79,nano-printing,1,calcination,5
