,Keyword_1,frequency,Keyword_2,degreee
0,probabilistic,10,probabilistic,30
1,reliability,8,reliability,27
2,performance,5,performance,15
3,network-on-chip (noc),3,fpga,11
4,fpga,3,network-on-chip,10
5,chip-seq,3,scheduling,9
6,scheduling,3,network-on-chip (noc),8
7,data,3,real-time,8
8,network-on-chip,3,chip-seq,8
9,surface roughness,3,mpsoc,8
10,degradation,2,data,8
11,real-time,2,surface roughness,8
12,system-on-chip,2,energy,7
13,motif,2,failure,7
14,dna,2,design,7
15,mpsoc,2,degradation,6
16,stt-mram,2,dna,6
17,fairness,2,stt-mram,6
18,bayesian network,2,real-time systems,6
19,real-time systems,2,genome,6
20,energy,2,task,6
21,genome,2,solder joint,6
22,task,2,failure probability,6
23,failure,2,cte,6
24,design space exploration,2,dnp,6
25,probabilistic design,2,form,6
26,grinding,2,sorm,6
27,noise,2,in vitro,5
28,design,2,in vivo,5
29,transcription factor binding sites,2,extrapolation,5
30,wormhole switching,1,pbpk,5
31,power-gating (pg),1,benchmark dose,5
32,shift-add multiplier,1,computational,5
33,bz-fad,1,fairness,5
34,switching activity,1,embedded system,5
35,parallel prefix adder,1,reconfiguration,5
36,embedded factor graph,1,co-design,5
37,hardware accelerator,1,probabilistic design,5
38,gene regulatory networks,1,grinding,5
39,maximal information coefficient,1,noise,5
40,conditional,1,transcription factor binding sites,5
41,mechanochemistry,1,system-on-chip,4
42,depolymerization,1,motif,4
43,wear-induced,1,bayesian learning,4
44,arbiter physical unclonable function (puf),1,incremental learning,4
45,delay fault,1,fuzzy artmap,4
46,diagnostic,1,opencl,4
47,long-range (lora),1,parallel,4
48,low-power wide-area (lpwa),1,trng,4
49,fingerprint algorithm,1,thermal noise,4
50,embedded image processing,1,pvt variations,4
51,line segment detector,1,probabilistic switches,4
52,ink drop spread (ids) operator,1,pcmos,4
53,radial basis function (rbf),1,bayesian network,4
54,multivariate gaussian mixture model (mvgmm),1,fifo buffers,4
55,multivariate linear,1,in-field test,4
56,association,1,noc,4
57,cancer-cell-line,1,permanent fault,4
58,drug-sensitivity,1,transparent test,4
59,complex,1,proteins,4
60,discrete factor graph,1,microarrays,4
61,population coding,1,multi-core,4
62,in vitro,1,task partitions,4
63,in vivo,1,harmonic,4
64,extrapolation,1,many-core,4
65,pbpk,1,mapping,4
66,benchmark dose,1,memory constraint,4
67,computational,1,design space exploration,4
68,active vision,1,hitting time,4
69,dynamic reconfiguration,1,random walk,4
70,embedded vision systems,1,reliable,4
71,anomaly detection,1,embedded systems,4
72,general purpose graphics processing unit (gpgpu),1,displacement,4
73,efficient high-quality object proposal,1,finite element,4
74,object detection,1,interconnects,4
75,sequential,1,shift-add multiplier,3
76,bayesian learning,1,bz-fad,3
77,incremental learning,1,switching activity,3
78,fuzzy artmap,1,parallel prefix adder,3
79,opencl,1,embedded factor graph,3
80,parallel,1,hardware accelerator,3
81,analog circuit,1,mechanochemistry,3
82,interval arithmetic,1,depolymerization,3
83,process variations,1,wear-induced,3
84,satisfiability,1,embedded image processing,3
85,digital microfluidics,1,line segment detector,3
86,error recovery,1,association,3
87,micro-electrode-dot-array(meda),1,cancer-cell-line,3
88,formal verification,1,drug-sensitivity,3
89,data dynamics,1,complex,3
90,hybrid automata,1,analog circuit,3
91,hypertension,1,interval arithmetic,3
92,cost-effectiveness analysis,1,process variations,3
93,health disparities,1,satisfiability,3
94,primary,1,formal verification,3
95,deep learning,1,data dynamics,3
96,neural network applications,1,hybrid automata,3
97,discrete state transition,1,hypertension,3
98,dielectrophoresis,1,cost-effectiveness analysis,3
99,cytometry,1,health disparities,3
100,microfluidics,1,primary,3
101,lab-on-chip,1,dielectrophoresis,3
102,trng,1,cytometry,3
103,thermal noise,1,microfluidics,3
104,pvt variations,1,lab-on-chip,3
105,probabilistic switches,1,bank conflicts,3
106,pcmos,1,bank group conflicts,3
107,bank conflicts,1,duplication,3
108,bank group conflicts,1,set-associative,3
109,duplication,1,iot security,3
110,set-associative,1,puf,3
111,flexible transmission systems,1,hardware security,3
112,coherent systems,1,cracking models,3
113,iot security,1,crack initiation,3
114,puf,1,crack progression,3
115,hardware security,1,multilevel models,3
116,online learning,1,hybrid main memory,3
117,probabilistic spiking neural network,1,flat migrating organization,3
118,crossbar architecture,1,uncertain reasoning,3
119,convolutional neural networks,1,conditionals,3
120,neural network,1,conditional events,3
121,cracking models,1,coherent,3
122,crack initiation,1,dram,3
123,crack progression,1,row-hammering,3
124,multilevel models,1,refresh,3
125,hybrid main memory,1,copper (cu),3
126,flat migrating organization,1,electromigration (em),3
127,probabilistic graphical model,1,lognormal,3
128,causal effects,1,power grid,3
129,uncertain reasoning,1,markov random field (mrf),3
130,conditionals,1,ultra-low voltage,3
131,conditional events,1,noise immunity,3
132,coherent,1,alignment and coupling,3
133,embedded system,1,hough transform,3
134,reconfiguration,1,least squares algorithm,3
135,co-design,1,line,3
136,dram,1,markov chain,3
137,row-hammering,1,logistic regression,3
138,refresh,1,pavement surface distress,3
139,mixed criticality systems,1,asphalt,3
140,semiconductor device reliability,1,bioinformatics,3
141,reliability engineering,1,classification,3
142,copper (cu),1,expectation maximization,3
143,electromigration (em),1,networks-on-chip,3
144,lognormal,1,routing algorithm,3
