,Keyword_1,frequency,Keyword_2,degreee
0,connectomics,23,connectomics,77
1,connectome,17,connectome,53
2,connectivity,12,connectivity,42
3,functional connectivity,11,dti,41
4,network,11,graph theory,31
5,dti,9,brain connectivity,31
6,graph theory,9,functional connectivity,26
7,brain connectivity,8,fmri,25
8,tractography,7,tractography,23
9,fmri,7,network,18
10,diffusion mri,4,adhd,16
11,diffusion tensor imaging,4,human,15
12,brain mapping,4,neuroimaging,15
13,neuroimaging,4,hardi,14
14,brain,3,diffusion mri,13
15,human,3,neuroanatomy,12
16,functional,3,brain mapping,12
17,human connectome,3,development,12
18,functional mri,3,rs-fmri,12
19,neuroanatomy,3,autism,12
20,hardi,3,diffusion tensor imaging,11
21,adhd,3,brain,10
22,rat,2,functional mri,10
23,structural,2,structural,9
24,functional magnetic resonance,2,functional,9
25,cortex,2,cortex,9
26,brain networks,2,psychosis,9
27,diffusion-weighted imaging,2,resting state,9
28,cortex parcellation,2,human connectome,8
29,functional magnetic resonance imaging,2,brain network,8
30,diffusion,2,cerebral cortex,8
31,machine learning,2,schizophrenia,8
32,brain network,2,mri,8
33,cerebral cortex,2,rat,7
34,diffusion tractography,2,brain networks,7
35,macaque,2,macaque,7
36,structural connectivity,2,magnetic resonance imaging,7
37,effective,2,anatomy,5
38,psychosis,2,cerebrum,5
39,schizophrenia,2,connectome organization,5
40,alzheimer's disease,2,cytoarchitecture,5
41,development,2,mouse,5
42,rs-fmri,2,coil,5
43,autism,2,connectivity matrix,5
44,diffusion-tensor,2,mouse brain,5
45,sex-differences,2,throughput,5
46,magnetic resonance imaging,2,diffusion-weighted imaging,5
47,resting state,2,cortex parcellation,5
48,mri,2,diffusion,5
49,functional connectomes,2,machine learning,5
50,meta-analysis,1,diffusion tractography,5
51,obsessive-compulsive disorder,1,effective,5
52,precuneus,1,graph analysis,5
53,seizures,1,complex network,5
54,kinetopsia,1,dementia,5
55,nihilism,1,alzheimer's disease,5
56,resting state fmri,1,complex,5
57,diffuse low-grade glioma,1,small world,5
58,awake mapping,1,surfaces,5
59,quality of life,1,atlases,5
60,anatomy,1,visualization,5
61,cerebrum,1,precuneus,4
62,fiber dissection,1,seizures,4
63,connectome organization,1,kinetopsia,4
64,cytoarchitecture,1,nihilism,4
65,mouse,1,resting state fmri,4
66,brain tumor,1,growth and shape,4
67,high-grade glioma,1,morphome,4
68,molecular biomarker,1,kinetcome,4
69,global fiber tracking,1,functional magnetic resonance imaging,4
70,neurocircuitry,1,motor learning,4
71,graph theory method,1,dynamic networks,4
72,mental disorder,1,microvesicles,4
73,coil,1,volume transmission,4
74,connectivity matrix,1,wiring,4
75,mouse brain,1,centrality,4
76,throughput,1,regional homogeneity,4
77,brain connectome,1,local,4
78,diffusion mri imaging,1,structural connectivity,4
79,streamline variation,1,tract-tracing,4
80,epilepsy,1,ferrets,4
81,electrical source localization,1,databases as,4
82,neural networks,1,interactive,4
83,white matter hyperintensities,1,api,4
84,ageing,1,diffusion imaging,4
85,growth and shape,1,tract tracing,4
86,morphome,1,brain graphs,4
87,kinetcome,1,open data,4
88,structural/functional patterns,1,open science,4
89,spatial normalization,1,life span,4
90,cell-specific connectivity,1,big data,4
91,effective connectivity,1,normative charts,4
92,autism spectrum disorder,1,discovery science,4
