,Keyword_1,frequency,Keyword_2,degreee
0,machine learning,10,machine learning,28
1,molecular machines,4,deep learning,14
2,biological,4,biological,13
3,support vector machine,4,molecular machines,10
4,deep learning,3,support vector machine,10
5,neural networks,2,molecular,8
6,qsar,2,neural networks,7
7,thermodynamics with finite speed,2,qsar,7
8,quantum biological thermodynamics with,2,bioinformatics,7
9,bioinformatics,2,classification,7
10,physarum machines,2,metaplasticity,7
11,slime mould,2,plasticity,7
12,support,2,mlp,7
13,classification,2,mmlp,7
14,rough sets,2,amp,7
15,biomimetic,2,wbcd,7
16,finite state machine,2,feature,7
17,gene mutation,2,biomimetic,7
18,parallel biological computers,2,physarum machines,6
19,amorphous computers,2,support,6
20,human-machine interaction,2,rough sets,6
21,molecular,2,cybernetics,6
22,cybernetics,2,slime mould,5
23,object recognition,1,finite state machine,5
24,machine-like systems,1,gene mutation,5
25,macroscopic machines,1,human-machine interaction,5
26,multi-task learning,1,biomems,5
27,biomarker discovery,1,computer vision,5
28,psychiatry,1,drops,5
29,automated synthesis,1,lab-on-a-chip,5
30,auto-updating learning systems,1,microfluidics,5
31,bacteria,1,big data,4
32,biomedical machines,1,biosensors,4
33,biosystems,1,glucose-oxidase,4
34,micro/nanomachines,1,kurzweil,4
35,biohybrid robots,1,transhumanism,4
36,biological machines,1,androids,4
37,pegda scaffolds,1,cyborgs,4
38,skeletal,1,biological ontology,4
39,machine pedestal structure,1,biohybrid,4
40,adaptive growth method,1,living machines,4
41,stiffener layout,1,mammalian robots,4
42,deep learning technology,1,social,4
43,psychosis,1,parallel biological computers,4
44,neuroimaging,1,amorphous computers,4
45,human machine interaction,1,co-evolution,4
46,flexible/stretchable electronics,1,co-development,4
47,tactile,1,cladistics,4
48,artificial intelligence,1,planar graphs,4
49,quantum chemistry,1,tanglegrams,4
50,big data,1,svm,4
51,petri nets,1,ann,4
52,boolean functions,1,cross-validation,4
53,natural computing,1,object recognition,3
54,machine reading,1,multi-task learning,3
55,big data in literature,1,biomarker discovery,3
56,text mining cell signaling,1,psychiatry,3
57,child stress monitoring,1,bacteria,3
58,wearable device,1,biomedical machines,3
59,audio signal,1,biosystems,3
60,heart rate,1,micro/nanomachines,3
61,brain-machine interfaces,1,biohybrid robots,3
62,prosthetic models,1,biological machines,3
63,bionic experiments in,1,pegda scaffolds,3
64,hydrogel,1,skeletal,3
65,biological machine,1,deep learning technology,3
66,self-folding,1,psychosis,3
67,contractile force,1,neuroimaging,3
68,evolutionary machine learning,1,artificial intelligence,3
69,rule knowledge representations,1,quantum chemistry,3
70,structural machine,1,petri nets,3
71,physarum machine,1,boolean functions,3
72,unconventional,1,natural computing,3
73,computational modeling,1,child stress monitoring,3
74,biological mechanism,1,wearable device,3
75,visual cortex,1,audio signal,3
76,pain,1,heart rate,3
77,biosensors,1,hydrogel,3
78,glucose-oxidase,1,biological machine,3
79,similarity metric learning,1,self-folding,3
80,biological sequence,1,contractile force,3
81,biological data,1,structural machine,3
82,drug discovery,1,physarum machine,3
83,virtual screening,1,unconventional,3
84,prediction of,1,computational modeling,3
85,embedded automaton,1,biological mechanism,3
86,generative device,1,visual cortex,3
87,recognition device,1,pain,3
88,functional materials,1,biological data,3
89,molecular devices,1,drug discovery,3
90,sensor,1,virtual screening,3
91,controlled drug-release,1,prediction of,3
92,host-guest interactions,1,embedded automaton,3
93,cyborg intelligence,1,generative device,3
94,brain-machine collaboration,1,recognition device,3
95,motivation driven,1,dimension reduction,3
96,dimension reduction,1,eigen-matrix translation,3
97,eigen-matrix translation,1,glycan,3
98,glycan,1,pareto optimality,3
99,pareto optimality,1,e. coli modelling,3
100,e. coli modelling,1,turing machine,3
101,turing machine,1,molecular machine,3
102,molecular machine,1,molecular mechanics,3
103,molecular mechanics,1,central dogma of biology,3
104,central dogma of biology,1,f0f1,3
105,f0f1,1,physarum polycephalum,3
106,physarum polycephalum,1,transition systems,3
107,transition systems,1,analysis,3
108,metaplasticity,1,crystal-structure,3
109,plasticity,1,single-parameter,3
