,Keyword_1,frequency,Keyword_2,degreee
0,hashing,9,hashing,26
1,cache,7,cache,24
2,caching,6,caching,18
3,hash,5,hash,16
4,hash routing,5,hash routing,16
5,peer-to-peer,4,peer-to-peer,13
6,load balancing,4,bloom filter,11
7,information-centric networking,3,memory,11
8,hash table,3,hash table,9
9,consistent hashing,3,consistent hashing,9
10,design,3,deduplication,9
11,performance,3,design,9
12,bloom filter,3,performance,9
13,memory,3,load balancing,9
14,consistent,2,algorithms,8
15,cache memory,2,hash join,8
16,cache management,2,information-centric networking,7
17,hash-routing,2,web,7
18,ccn,2,distributed hash table,7
19,in-network caching,2,consistent,6
20,deduplication,2,cache memory,6
21,content centric network,2,cache management,6
22,wireless networks,2,hash-routing,6
23,cache-oblivious algorithms,2,ccn,6
24,cooperative caching,2,in-network caching,6
25,algorithms,2,wireless networks,6
26,web,2,web caching,6
27,distributed hash table,2,chunking,5
28,hash function,2,cloud storage,5
29,cache indexing,2,erasure,5
30,hash join,2,recovery,5
31,zipf-like law,2,content centric network,5
32,packet classification,2,sorting,5
33,proxy caching,2,aggregation,5
34,web caching,2,grouping,5
35,non-volatile memory,1,cache-efficient,5
36,hashing scheme,1,shared-memory,5
37,write endurance,1,cooperative caching,5
38,collision,1,hash function,5
39,named data networking,1,cache indexing,5
40,caching strategy,1,cpu cache performance,5
41,probability-based,1,cpu,5
42,ip lookup,1,zipf-like law,5
43,prefix grouping,1,packet classification,5
44,information centric networking,1,main memory database,4
45,ndn online caching,1,index,4
46,ski-rental problem,1,t tree,4
47,main memory database,1,cache sensitive,4
48,index,1,cdn,4
49,t tree,1,de-duplication,4
50,cache sensitive,1,scalable hash,4
51,concurrent data structures,1,gmm,4
52,lock-free hash tries,1,fisher vector aggregation,4
53,constant-time hash,1,icn,4
54,content-centric networking,1,in-network caches,4
55,http proxy,1,off-path caching,4
56,distributed proxy cache,1,latency,4
57,autonomous,1,hash-based cache,4
58,distributed memory cache,1,last-level cache,4
59,memcached,1,linux,4
60,dynamic server provisioning,1,operating system,4
61,cdn,1,page,4
62,de-duplication,1,multicore,4
63,scalable hash,1,private caches (pcs),4
64,gmm,1,last level cache (llc),4
65,fisher vector aggregation,1,time-to-live(ttl),4
66,icn,1,caching freshness,4
67,in-network caches,1,pre-judgment,4
68,off-path caching,1,result cache,4
69,latency,1,flash memory,4
70,manifold learning,1,ssd,4
71,network algorithm,1,lifespan,4
72,membership query,1,reliability,4
73,mapreduce,1,component,4
74,distributed caching,1,mongodb,4
75,distributed hash,1,spatio-temporal r-tree,4
76,hash-based cache,1,real-time index,4
77,last-level cache,1,trajectory,4
78,linux,1,kinetic monte carlo,4
79,operating system,1,nanowire,4
80,page,1,sintering,4
81,multicore,1,cluster utilization,4
82,private caches (pcs),1,scalability,4
83,last level cache (llc),1,storage,4
84,time-to-live(ttl),1,traffic management,4
85,caching freshness,1,multi-core,4
86,pre-judgment,1,memory coherence,4
87,result cache,1,cache optmization,4
88,collaborative caching,1,cache performance,4
89,information-centric networks,1,hashing algorithms,4
90,cache aware routing,1,sha-3 finalists,4
91,off-path in-network,1,sha-1,4
92,cache storage,1,arm,4
93,computer architecture,1,integrity verification,4
94,search problems,1,merkle tree,4
95,hybrid approach,1,universal hash,4
96,chunking,1,wh,4
97,cloud storage,1,speculative,4
98,erasure,1,skewed associative cache,4
99,recovery,1,yaarc cache,4
100,pup,1,conflict misses,4
101,dynamic languages,1,hit rate,4
102,jit compiler,1,caching schemes,4
103,inline caching,1,replication,4
104,clustering,1,distributed,4
105,peer to peer,1,hierarchical,4
106,overlay,1,domain cache,4
107,distributed hash able,1,information retrieval system,4
108,cache popularity,1,inverted file,4
109,flash memory,1,proxy caching,4
110,ssd,1,search,4
111,lifespan,1,hash join algorithms,4
112,reliability,1,netcaches,4
113,popularity based caching,1,smps,4
114,cooperative,1,clusters,4
115,bloom filters,1,performance evaluation,4
116,hash functions,1,controlled replication,4
117,digest truncation,1,carp,4
118,pre-image attack,1,web proxy,4
119,sorting,1,non-volatile memory,3
120,aggregation,1,hashing scheme,3
121,grouping,1,write endurance,3
122,cache-efficient,1,collision,3
123,shared-memory,1,named data networking,3
124,linear hashing,1,caching strategy,3
125,chained hashing,1,probability-based,3
126,cuckoo hashing,1,ip lookup,3
127,hopscotch hashing,1,prefix grouping,3
128,session cookies,1,http proxy,3
129,mobile devices,1,distributed proxy cache,3
130,component,1,autonomous,3
131,mongodb,1,manifold learning,3
132,spatio-temporal r-tree,1,mapreduce,3
133,real-time index,1,distributed caching,3
134,trajectory,1,distributed hash,3
135,kinetic monte carlo,1,cache storage,3
136,nanowire,1,computer architecture,3
137,sintering,1,search problems,3
138,cloud computing,1,hybrid approach,3
139,multicore processor,1,pup,3
140,data similarity,1,dynamic languages,3
141,forwarding,1,jit compiler,3
142,internet sessions,1,inline caching,3
143,collaborative environments,1,clustering,3
144,mobile,1,peer to peer,3
145,file system,1,overlay,3
146,storage system,1,distributed hash able,3
147,metadata management,1,cache popularity,3
148,metadata cache,1,bloom filters,3
