,Keyword_1,frequency,Keyword_2,degreee
0,paper-based microfluidics,16,paper-based microfluidics,39
1,paper,8,paper,29
2,microfluidics,7,microfluidics,25
3,biosensors,7,biosensors,19
4,biosensor,5,biosensor,18
5,paper-based,5,paper-based,18
6,point-of-care diagnostics,5,diagnostics,13
7,paper-based device,4,paper devices,11
8,diagnostics,4,point-of-care diagnostics,11
9,microfluidic system,3,paper-based device,11
10,paper devices,3,microfluidic system,9
11,paper microfluidics,3,paper microfluidics,9
12,microfluidic paper-based analytical devices,3,cellulose paper,8
13,electrochemical detection,3,polymer,8
14,point-of-care,3,point-of-care,8
15,paper-based analytical device,3,mu pad,8
16,microbial fuel cells,3,antibody,7
17,paper-based diagnostics,3,electrochemical detection,7
18,cellulose paper,2,paper-based analytical device,7
19,fluorescence,2,cancer,7
20,polymer,2,electrochemistry,7
21,paper-based microfluidic devices,2,microbial fuel cells,7
22,nucleic acid extraction,2,origami,7
23,loop-mediated isothermal,2,paper-based diagnostics,7
24,microfluidic paper-based analytical device,2,lab-on-a-chip,7
25,antibody,2,fluorescence,6
26,electrochemiluminescence immunoassay,2,paper-based sensors,6
27,paper-based devices,2,printed sensors,6
28,nucleic acid testing,2,immunoassay,6
29,cancer,2,microfluidic paper-based analytical devices,5
30,paper-based immunodevice,2,paper-based devices,5
31,point-of-care testing,2,paper-based immunodevice,5
32,microfluidic paper-based analytical devices (mu pads),2,assured,5
33,paper-based sensors,2,ued,5
34,printed sensors,2,operation technique,5
35,electrochemistry,2,readout technique,5
36,mu pad,2,longevity,5
37,paper-based microfluidic device,2,paper-based microfluidic device,5
38,origami techniques,2,origami techniques,5
39,origami,2,paper-based battery,5
40,immunoassay,2,microbial fuel cell,5
41,paper-based assays,2,sensor,5
42,paper-based platform,2,device,5
43,organophosphate poisoning,2,chromatography,5
44,acetylcholinesterase,2,diagnostic,5
45,paper-based battery,2,microfluidic,5
46,microbial fuel cell,2,micropad,5
47,low-cost sensing,2,screen printing,4
48,mobile phone,2,dna,4
49,lab-on-a-chip,2,tumor cells,4
50,paper-based digital microfluidics,1,current trend,4
51,electrohydrodynamic jet printing,1,immunosensor,4
52,screen printing,1,type,4
53,dna,1,detection technique,4
54,tumor cells,1,viscometer,4
55,current trend,1,protein stability,4
56,immunosensor,1,nucleic acid extraction,4
57,type,1,loop-mediated isothermal,4
58,detection technique,1,blood typing,4
59,same detection zone,1,paper diagnostic,4
60,sandwich,1,aging,4
61,viscometer,1,storage conditions,4
62,protein stability,1,biochip,4
63,chitosan,1,plasmonics,4
64,paper-based biosensor,1,nanofabrication,4
65,biomimetic catalyst,1,micropads,4
66,peroxidase,1,fluid control,4
67,uric acid,1,actuators,4
68,renal dysfunction,1,nucleic acid testing,4
69,paper diagnostics,1,filtration,4
