,Keyword_1,frequency,Keyword_2,degreee
0,software defined networking,30,software defined networking,67
1,software-defined networking,28,software-defined networking,58
2,software defined network,18,openflow,51
3,openflow,17,sdn,42
4,sdn,14,software defined network,39
5,software-defined,12,software-defined,28
6,software-defined network,9,cloud computing,22
7,cloud computing,9,software defined,22
8,software defined networks,8,software-defined network,20
9,network,7,network,18
10,software defined,7,software defined networks,16
11,software-defined networks,5,pox,12
12,software-defined networking (sdn),5,firewall,12
13,network function virtualization,4,software-defined networks,11
14,software defined radio,4,data center,11
15,open flow,4,open flow,11
16,network virtualization,4,wireless sensor network,11
17,wireless sensor network,4,network virtualization,9
18,data center,3,software defined security,9
19,fault tolerance,3,mininet,9
20,ddos,3,software defined radio,8
21,wireless sensor networks,3,software-defined networking (sdn),8
22,software-defined optical networks,3,fault tolerance,7
23,security,3,ddos,7
24,network-on-chip,3,iot,7
25,software defined security,3,wsn,7
26,pox,3,wireless sensor networks,6
27,firewall,3,network function virtualization,6
28,software,3,software-defined optical networks,6
29,mininet,3,security,6
30,software-defined radio,2,network-on-chip,6
31,network reliability,2,software,6
32,software-defined wireless networks,2,software-defined radio,5
33,virtualization,2,hypervisor,5
34,internet of things,2,iaas,5
35,internet of things (iot),2,network instances,5
36,software-defined infrastructure,2,openstack,5
37,5g,2,software-defined infrastructure,5
38,satellite network,2,5g,5
39,failure recovery,2,failure recovery,5
40,openflow protocol,2,openflow protocol,5
41,software defined network (sdn),2,wireless,5
42,iot,2,optical,5
43,optical access network,2,hybrid sdn,5
44,bandwidth optimization,2,openflow (of),5
45,passive optical networks,2,network reliability,4
46,wireless,2,software-defined wireless networks,4
47,wsn,2,virtualization,4
48,optical,2,internet of things,4
49,wireless virtualization,2,internet of things (iot),4
50,hybrid sdn,2,sdsec,4
51,openflow (of),2,sds,4
52,deep reinforcement learning (drl),1,cloud traffic,4
53,in-band network telemetry (int),1,dscp code,4
54,distributed optimization,1,ip header,4
55,mobile 5g hetnets,1,optical access network,4
56,radio access network,1,bandwidth optimization,4
57,flow splitting optimization (fso) algorithm,1,passive optical networks,4
58,radio spectrum,1,sofware defined networks,4
59,hypervisor,1,tcp window,4
60,iaas,1,moment,4
61,network instances,1,backhaul,4
62,openstack,1,flexibility,4
63,computer network security,1,bootstrap,4
64,learning,1,auto-configuration,4
65,software-defined networking architecture,1,traffic path,4
66,software defined infrastructure,1,node function,4
67,underwater sensor networks,1,software defined network(sdn),4
68,network topology,1,dpi,4
69,dijkstra's shortest path,1,securtiy,4
70,switch,1,wireless virtualization,4
71,testbed,1,ids,4
72,really experiment device,1,floodlight,4
73,software defined networking (sda),1,ad-hoc,4
74,open networking foundation (om),1,switch,3
75,sdn security,1,testbed,3
76,control plane,1,really experiment device,3
77,cloud manufacturing,1,sdn security,3
78,cybersecurity,1,control plane,3
79,space information network,1,bluetooth,3
80,next-generation satellite networks,1,bluetooth profile,3
81,flow mobility,1,digital radio,3
82,software defined networking (sdn),1,denial of service attack,3
83,sdn controller,1,sflow,3
