,Keyword_1,frequency,Keyword_2,degreee
0,stem cells,50,stem cells,169
1,tissue engineering,47,tissue engineering,144
2,mesenchymal stem cells,21,stem cell,56
3,stem cell,16,mesenchymal stem cells,55
4,biomaterials,12,biomaterials,44
5,regenerative,11,regenerative,38
6,tissue,10,tissue,37
7,bone,9,bone,31
8,differentiation,8,cartilage,28
9,cartilage,8,differentiation,23
10,regenerative medicine,7,regenerative medicine,20
11,induced pluripotent stem cells,7,induced pluripotent stem cells,18
12,embryonic stem cells,6,regeneration,18
13,bone marrow,5,scaffold,18
14,regeneration,5,bone marrow,16
15,scaffold,5,stem,14
16,nanomaterials,4,embryonic stem cells,14
17,bioengineering,4,bioengineering,13
18,mesenchymal stem cell,4,niche,13
19,stem,4,cell differentiation,12
20,cell differentiation,4,nanomaterials,11
21,stem cell therapy,3,in vivo,11
22,bone regeneration,3,gene therapy,11
23,bone tissue engineering,3,gene,10
24,dental stem cells,3,stem cell therapy,9
25,niche,3,mesenchymal stem cell,9
26,gene therapy,3,organoid,9
27,odontogenesis,3,oxygen,9
28,pluripotent stem cells,2,odontogenesis,9
29,cell engineering,2,angiogenesis,8
30,endothelial progenitor cells,2,bone regeneration,8
31,angiogenesis,2,tissue regeneration,8
32,graphene,2,nanoparticles,8
33,scaffolds,2,adult stem cell,8
34,chondrogenic differentiation,2,cell engineering,7
35,human,2,graphene,7
36,cell culture,2,dental stem cells,7
37,organoid,2,cell culture,7
38,tendon,2,surface topography,7
39,magnetic nanoparticles,2,placenta,7
40,biomaterial scaffolds,2,cell,7
41,mesenchymal stem,2,adipose,7
42,pluripotent stem cell,2,adipose tissue,7
43,extracellular matrix,2,bone tissue engineering,6
44,surface topography,2,scaffolds,6
45,cartilage repair,2,tendon,6
46,cell sheet,2,biomaterial scaffolds,6
47,drug delivery,2,cartilage repair,6
48,placenta,2,drug delivery,6
49,cancer,2,cancer,6
50,gene,2,progenitor cells,6
51,cell,2,adult stem cells,6
52,adipose,2,chondrogenesis,6
53,adipose-derived stem cells,2,transplantation,6
54,embryonic stem cell,2,cornea,6
55,progenitor cells,2,eye,6
56,tissue regeneration,2,ocular diseases,6
57,dental stem cell,2,retina,6
58,adipose stem cells,2,hypoxia,6
59,adult stem cells,2,normoxia,6
60,osteogenic differentiation,2,ex vivo,6
61,adipose tissue,2,self-renewal,6
62,nanoparticles,2,teeth,6
63,chondrogenesis,2,pluripotent stem cells,5
64,transplantation,2,endothelial progenitor cells,5
65,in vivo,2,chondrogenic differentiation,5
66,adult stem cell,2,human,5
67,oxygen,2,engineer,5
68,teeth,2,model,5
69,stem cell medical practice,1,magnetic nanoparticles,5
70,dynamic materials,1,mesenchymal stem,5
71,living materials,1,pluripotent stem cell,5
72,heart failure,1,extracellular matrix,5
73,induced,1,cell sheet,5
74,vascular cells,1,adipose-derived stem cells,5
75,graft material,1,embryonic stem cell,5
76,sprouting,1,hydrogel,5
77,skeletal muscle,1,dental stem cell,5
78,satellite cell,1,gradients,5
79,tissue engineered vascular grafts,1,alginate,5
80,autologous,1,hydrogels,5
81,allogeneic,1,cytotoxicity,5
82,tissue engineered tracheal construct,1,internalization,5
83,primates,1,vascular cells,4
84,critical limb ischemia,1,graft material,4
85,blood,1,sprouting,4
86,graphene oxide,1,bio-printing,4
87,proliferation and differentiation,1,microfluidics,4
88,bioengineered scaffolds,1,dpscs,4
89,industry,1,dental pulp,4
90,translational medicine,1,engineering,4
91,cardiomyocytes,1,rbc,4
92,myocardial tissue,1,cord blood,4
93,pericytes,1,bio-engineered,4
94,hematopoietic,1,native,4
95,articular cartilage,1,metabolic profile,4
96,human pluripotent stem cell,1,disease model,4
97,human-induced pluripotent stem cell,1,brain,4
98,bio-printing,1,nerve regeneration,4
99,microfluidics,1,neurons,4
100,microenvironment,1,stem cell transplantation,4
101,regenerative stem cell therapy,1,stroke,4
102,heart,1,stem cell treatment,4
103,human umbilical cord stem cells,1,cancer stem,4
104,synthetic and,1,scaffold-free,4
105,epithelial stem cells,1,liver,4
106,interfollicular epidermal stem cells,1,stem cell niche,4
107,hair,1,bionanofiber,4
108,cell-cell interaction,1,phage display,4
109,low-density lipoprotein receptor-related protein,1,peptides,4
110,developmental engineering,1,viruses,4
111,sonic hedgehog,1,bioprocess engineering,4
112,stiffness,1,bioreactor,4
113,stem cell homing,1,safety,4
114,cell migration,1,adipose stem cells,4
115,cell proliferation,1,intercellular adhesions,4
116,cardiovascular,1,biophysical,4
117,induced pluripotent,1,molecular,4
118,engineer,1,skin substitute,4
119,model,1,seed cell,4
120,tissue engineered scaffolds,1,application,4
121,inflammatory responses,1,pluripotent,4
122,protein,1,multipotent,4
123,cytokines,1,myocardium,4
124,orofacial mesenchymal stem cells,1,heart valves,4
125,heart valve disease,1,oral,4
126,tissue-engineered,1,dental implants,4
127,dental pulp stem cells,1,periodontal ligament,4
128,in vivo model,1,mesenchymal stromal cells,4
129,mechanical loading,1,potency,4
130,dpscs,1,bulge,4
131,dental pulp,1,hair follicle,4
132,engineering,1,bio-tooth,4
133,bone marrow niche,1,epidermis,4
134,electrospinning,1,biomimetic materials,4
135,nanofiber,1,nanotexture,4
136,cell-based therapy dental stem cells,1,repair,4
137,rbc,1,medicine,4
138,cord blood,1,vasculogenesis,4
139,bio-engineered,1,dynamic materials,3
140,native,1,living materials,3
141,metabolic profile,1,heart failure,3
142,induced pluripotent stem cell,1,induced,3
143,nanobiomaterials,1,tissue engineered vascular grafts,3
144,surface functionalization,1,autologous,3
145,high throughput platform,1,allogeneic,3
146,cell-cell interactions,1,critical limb ischemia,3
147,polymer microarray,1,blood,3
148,surface chemistry,1,graphene oxide,3
149,smooth muscle cell,1,proliferation and differentiation,3
150,endothelial cell,1,bioengineered scaffolds,3
151,adult stem,1,industry,3
152,progenitor,1,translational medicine,3
153,chondroprogenitor,1,cardiomyocytes,3
154,cell-sheet,1,myocardial tissue,3
155,cell-sheet engineering,1,pericytes,3
156,connective tissue,1,hematopoietic,3
157,application on cell-based therapy,1,microenvironment,3
158,identification,1,regenerative stem cell therapy,3
159,multi-differentiation,1,heart,3
160,disease model,1,synthetic and,3
161,scaffold biomaterials,1,developmental engineering,3
162,polymers,1,sonic hedgehog,3
163,implantation,1,stem cell homing,3
164,brain,1,cell migration,3
165,nerve regeneration,1,cell proliferation,3
166,neurons,1,cardiovascular,3
167,stem cell transplantation,1,induced pluripotent,3
168,stroke,1,tissue engineered scaffolds,3
169,stem cell treatment,1,inflammatory responses,3
170,cancer stem,1,protein,3
171,scaffold-free,1,cytokines,3
172,mechanical properties,1,dental pulp stem cells,3
173,ipsc,1,in vivo model,3
174,schwann cell,1,mechanical loading,3
175,peripheral nerve,1,electrospinning,3
176,orthopaedics,1,nanofiber,3
177,embryogenesis,1,polymer microarray,3
178,mechanobiology,1,surface chemistry,3
179,morphogenesis,1,smooth muscle cell,3
180,regenerative medicine stem cells,1,endothelial cell,3
181,stroke recovery,1,adult stem,3
