,Keyword_1,frequency,Keyword_2,degreee
0,flexible electronics,10,flexible electronics,27
1,implantable electronics,9,implantable electronics,25
2,implantable devices,8,implantable devices,19
3,biomedical electronics,6,biomedical electronics,15
4,energy harvesting,5,energy harvesting,14
5,neural,5,neural,14
6,wireless power transfer,4,wireless,12
7,implantable,4,implantable,12
8,biomedical,4,biomedical,12
9,bioelectronics,3,implantable medical,10
10,medical electronics,3,bioelectronics,9
11,biomedical engineering,3,multichannel,9
12,cmos,3,cmos,9
13,wireless,3,wireless power transfer,9
14,implantable medical,3,telemetry,9
15,implantable device,3,prosthesis,9
16,sensors,3,stretchable,8
17,biomedical communication,3,biosensor,8
18,implantable biomedical devices,3,implantable device,8
19,arrays,3,sensors,8
20,telemetry,3,electrode,8
21,prosthesis,3,soft robotics,7
22,soft robotics,2,hydrogels,7
23,stretchable,2,medical electronics,7
24,implantable biosensors,2,self-powered,7
25,hydrogels,2,wireless power,7
26,additive manufacturing,2,implantable sensors,7
27,bioresorbable electronics,2,neural interface,7
28,self-powered,2,silicon,7
29,biosensor,2,pressure sensor,7
30,wireless power,2,implantable biosensors,6
31,multichannel,2,in-vitro,6
32,in-vitro,2,neural interfaces,6
33,neural interfaces,2,biomedical implants,6
34,biomedical implants,2,telemedicine,6
35,cmos integrated circuits,2,implant,6
36,implantable medical devices,2,biomedical communication,6
37,implantable sensors,2,implantable biosensor,6
38,telemedicine,2,implantable cardioverter-defibrillator,6
39,flexible,2,biomedical engineering,5
40,neural interface,2,additive manufacturing,5
41,stretchable electronics,2,optogenetics,5
42,implant,2,inductive,5
43,biomedical transducers,2,retinal,5
44,implantable antenna,2,injectable,5
45,biodegradable electronics,2,eeg,5
46,implantable biosensor,2,ecg,5
47,array,2,hibernation,5
48,implantable cardioverter-defibrillator,2,software-defined radio,5
49,biomedical telemetry,2,cmos integrated circuits,5
50,silicon,2,flexible,5
51,pressure sensor,2,implantable antenna,5
52,neural prosthesis,2,implantable biomedical devices,5
53,electrodes,2,sub,5
54,neural prosthetics,2,ghz,5
55,electrode,2,uwb,5
56,e-skins,1,wireless communication,5
57,kirigami,1,arrays,5
58,flexible optoelectronics,1,electrodes,5
59,light emitting diodes,1,neural prosthetics,5
60,implantable medical electronics,1,e-skins,4
61,in vivo,1,kirigami,4
62,toxicity,1,cross-links,4
63,bioresorption,1,epoxy-resin,4
64,cell traction force,1,composites,4
65,epidermal electronics,1,polymers,4
66,reinforced electronic,1,bioresorbable electronics,4
67,cancer,1,diabetes,4
68,foreign body response,1,electronic-skin,4
69,precision,1,glucose detection,4
70,triboelectric nanogenerator,1,analog circuit design,4
71,near-infrared irradiation,1,bio-impedance,4
72,self-healing,1,cardiac tissue,4
73,cross-links,1,human motion,4
74,epoxy-resin,1,wearable devices,4
75,composites,1,ambient energy,4
76,polymers,1,smart,4
77,biocompatible,1,battery-free,4
78,biodegradable,1,fully implantable,4
79,polysaccharide,1,optofluidic,4
80,biosensors,1,implantable medical devices,4
81,flexible implants,1,research,4
82,artificial heart,1,innovation,4
83,artificial implant,1,personal health,4
84,low-cost,1,nanotechnology,4
85,biodegradable batteries,1,biotechnology,4
86,magnesium,1,dna,4
87,molybdenum trioxide,1,logic gates,4
88,polymeric medical devices,1,biomolecular electronics,4
89,sterilization,1,adders,4
90,biomaterials,1,visual dsd software,4
91,molecular dynamics simulations,1,egain,4
92,on-skin electronics,1,galinstan,4
93,silk,1,liquid metals,4
94,gasket underfill,1,soft electronics,4
95,spring interconnects on flexible electrode arrays,1,stretchable electronics,4
96,ferroelectric materials,1,biomedical transducers,4
97,implantable materials,1,biodegradable electronics,4
98,low-profile bioelectronics,1,biomechanics,4
99,diabetes,1,mems sensor,4
100,electronic-skin,1,cochlear implant,4
101,glucose detection,1,zero,4
102,bilayer rolled-up enzymatic nanomembranes,1,bci,4
103,biobatteries,1,ecog recording,4
104,glucose biofuel,1,long-term implant,4
105,self-powered sensors,1,aimd,4
106,enzymatic fuel cells,1,biomedical telemetry,4
107,wearable and implantable,1,biocompatibility,4
108,biomedical applications,1,biointerfaces,4
109,divider,1,bionics,4
110,ook transmitter,1,moore,4
