,Keyword_1,frequency,Keyword_2,degreee
0,3d,14,3d,56
1,mobile,12,mobile,46
2,mobile device,6,mobile devices,21
3,mobile devices,6,mobile device,20
4,mobile 3d,5,augmented reality,16
5,user experience,4,mobile 3d,16
6,augmented reality,4,mobile robot,15
7,3d map,4,3d graphics,14
8,mobile robot,4,3d map,12
9,3d graphics,4,3d video,11
10,visualization,4,user experience,11
11,mobile 3d graphics,4,visualization,11
12,3d video,3,autostereoscopic,11
13,cloud mobile gaming,3,m3g,10
14,m3g,3,vrml,10
15,wireless networks,3,cloud mobile gaming,9
16,mobile multimedia,3,design,9
17,vrml,3,algorithms,9
18,mobile multimedia system,2,mobile 3d graphics,9
19,experimental,2,mobile multimedia,9
20,subjective testing,2,geometry,8
21,geometry,2,coverage,8
22,coverage,2,mobile 3d video,8
23,mobile augmented reality,2,wireless networks,8
24,design,2,video coding,8
25,algorithms,2,stereo,8
26,performance,2,mobile services,8
27,3d model,2,subjective testing,7
28,3d reconstruction,2,performance,7
29,mobile computing,2,educational,7
30,mobile 3d video,2,unity,7
31,3d streaming,2,vuforia,7
32,visual fatigue,2,ios,7
33,3dtv,2,android,7
34,3d visualization,2,visual fatigue,7
35,video coding,2,3dtv,7
36,stereo,2,human,7
37,mobile services,2,3d model,6
38,human,2,mobile computing,6
39,opengl es,2,measurement,6
40,3d computer graphics,2,lcd,6
41,measurement,2,lenticular lens,6
42,autostereoscopic,2,user evaluation,6
43,3d object classification,1,2d,6
44,cylindrical cnn,1,mobile multimedia system,5
45,mobile robots,1,experimental,5
46,view-point,1,three-dimensional,5
47,3d disaster scenes,1,energy consumption,5
48,mobile vr,1,rendering,5
49,diverse scene data representation,1,user,5
50,scene,1,wsn,5
51,chunk-based slicing,1,3d space,5
52,cooperative 3d printing,1,autonomous deployment,5
53,mobile 3d printing,1,connectivity,5
54,swarm,1,virtual,5
55,video compression,1,3d map-building,5
56,mobile robotic sensor networks,1,surface,5
57,wireless sensor networks,1,lrf,5
58,distributed,1,real time,5
59,mobile cloud computing,1,median filters,5
60,execution offloading,1,3d reconstruction,5
61,3d video game,1,3d streaming,5
62,three-dimensional,1,experimentation,5
63,energy consumption,1,transcoding,5
64,rendering,1,qoe,5
65,user,1,mobile nvigation,5
66,service science,1,indoor,5
67,medical application,1,positioning,5
68,healthcare,1,rfid,5
69,mobile gpu ray tracing,1,3d visualization,5
70,mobile distributed computing,1,opengl es,5
71,large-scale 3d,1,imaging,5
72,3d mobile networks,1,displaying,5
73,indoor environment,1,phone,5
74,penetration loss,1,communication,5
