,Keyword_1,frequency,Keyword_2,degreee
0,materials,29,materials,36
1,material,17,lithium-ion battery,29
2,lithium-ion battery,10,material,26
3,lithium-ion batteries,7,batteries,18
4,cathode materials,7,lithium-ion batteries,16
5,batteries,6,graphene,15
6,graphene,6,performance,15
7,lithium-sulfur batteries,5,cathode materials,15
8,performance,5,li-ion,13
9,electrochemical,5,li-ion batteries,13
10,energy storage,4,anode,13
11,li-ion,4,lithium-sulfur batteries,11
12,electrode materials,4,lithium batteries,11
13,lithium batteries,4,nanostructure,11
14,li-ion batteries,4,energy storage,10
15,lithium ion batteries,4,lithium ion batteries,10
16,nanostructure,4,electrode,10
17,anode,4,electrode materials,9
18,electrode,4,cathode,9
19,manganese oxide,3,cathode material,9
20,carbon nanotubes,3,lead-acid batteries,9
21,lithium,3,porous carbon,8
22,cathode,3,electrochemical,8
23,lifepo4,3,manganese oxide,7
24,lithium ion battery,3,carbon nanotubes,7
25,cathode material,3,lifepo4,7
26,lead-acid batteries,3,lithium ion battery,7
27,lithium battery materials,2,li-ion battery,7
28,high-throughput,2,flexible,6
29,porous carbon,2,lithium,6
30,flexible,2,battery,6
31,polysulfide,2,electrochemistry,6
32,energy storage and conversion,2,layered compounds,6
33,electrochemical performance,2,passivation,6
34,supercapacitors,2,polysulfide,5
35,ion batteries,2,supercapacitors,5
36,thin-films,2,graphite,5
37,battery,2,high power,5
38,graphite,2,lithium battery materials,4
39,electrochemistry,2,high-throughput,4
40,li-ion battery,2,sol-gels,4
41,charge/discharge,2,tin oxide aerogels,4
42,electrochemical properties,2,anode materials,4
43,layered compounds,2,ferroin,4
44,high power,2,neutral red,4
45,passivation,2,redox flow battery,4
46,electrostatic spray deposition,1,redox indicator,4
47,electrospray-deposition,1,redox pair,4
48,nico2o4,1,energy storage and conversion,4
49,microwave-enhanced synthesis,1,gas sensor,4
50,lithium ion,1,carbon,4
51,heterostructure,1,thin-films,4
52,sulfur host materials,1,olivine,4
53,materials genome initiative,1,nanoparticles,4
54,sol-gels,1,mgmnsio4,4
55,tin oxide aerogels,1,mgcosio4,4
56,anode materials,1,magnesium-ion battery,4
57,covalent organic frameworks,1,ginkgo leave,4
58,manganese sulfide,1,abundant,4
59,nanostructures,1,reversible capacity,4
60,gamma-mns,1,promising,4
61,high energy and power densities,1,tungsten oxide,4
62,g-fe2o3,1,carbona,4
63,cusbs2 nanowires,1,nano-array,4
64,grain growth,1,high energy density,4
65,electron microscopy,1,high,4
66,fluorophosphate,1,charge/discharge,4
67,solution-combustion,1,electrochemical properties,4
68,nanometric particles,1,dissolution,4
69,capacity,1,nimh,4
70,sodium-ion battery,1,hev,4
71,centrifugal spinning,1,characterization,4
72,antimony tin alloy,1,ni-mh,4
73,porous,1,polymer electrolyte,4
74,chemical vapor deposition,1,fuel cells,4
75,shuttle effect,1,active,4
76,sulfur hosts,1,bafeo4,4
77,enriched mesoporous,1,super-iron,4
78,ferroin,1,fe(vi) cathode,4
79,neutral red,1,ferrate,4
80,redox flow battery,1,alkaline battery,4
81,redox indicator,1,nico2o4,3
82,redox pair,1,microwave-enhanced synthesis,3
83,fe2o3,1,lithium ion,3
84,ordered mesoporous carbon,1,manganese sulfide,3
85,self-assembly,1,nanostructures,3
86,nanowire,1,cusbs2 nanowires,3
