,Keyword_1,frequency,Keyword_2,degreee
0,nanopore,52,nanopore,183
1,dna sequencing,35,dna sequencing,109
2,molecules,34,nanopore sequencing,64
3,nanopore sequencing,21,dna,63
4,nanopores,19,molecules,54
5,dna,18,sequencing,52
6,solid-state nanopore,12,nanopores,48
7,sequencing,12,alpha-hemolysin,35
8,alpha-hemolysin,12,solid-state nanopore,30
9,resolution,10,minion,26
10,graphene,7,graphene,22
11,protein nanopore,7,single-molecule,20
12,minion,6,oxford nanopore,16
13,single-molecule,6,protein nanopore,16
14,graphene nanopore,6,metagenomics,15
15,oxford nanopore,5,translocation,15
16,metagenomics,4,graphene nanopore,14
17,next-generation sequencing,4,mspa,12
18,membrane channel,4,protein,11
19,translocation,4,resolution,11
20,next generation sequencing,3,molecular dynamics,11
21,polymorphisms,3,sensor,11
22,nanopore fabrication,3,bioinformatics,10
23,dna translocation,3,ngs,10
24,bioinformatics,3,assembly,10
25,fabrication,3,biosensors,10
26,discrimination,3,next-generation sequencing,10
27,genomics,3,next,9
28,protein,3,dft,9
29,biological nanopore,3,phage,8
30,mspa,3,nanopore fabrication,8
31,molecular dynamics,3,diagnostics,8
32,biosensors,3,fabrication,8
33,single,3,sensing,8
34,sensor,3,ionic current,8
35,genome sequencing,2,membrane channel,8
36,genome assembly,2,next generation sequencing,7
37,oxford nanopore technologies,2,dna translocation,7
38,phage,2,solid-state,7
39,solid-state,2,discrimination,7
40,long-read sequencing,2,genomics,7
41,transcriptome,2,brownian,7
42,biosensing,2,simulation,7
43,diagnostics,2,pore,7
44,resistive pulse,2,bioelectric phenomena,7
45,nanopore technology,2,solid state,7
46,single-molecule sensing,2,nanoelectrodes,7
47,conical nanopore,2,genome assembly,6
48,dielectric breakdown,2,oxford nanopore technologies,6
49,base calling,2,polymorphisms,6
50,ngs,2,long-read sequencing,6
51,assembly,2,transcriptome,6
52,dna-protein interactions,2,conical nanopore,6
53,sensing,2,dielectric breakdown,6
54,next,2,dna-protein interactions,6
55,polymerase,2,polymerase,6
56,molecular dynamics simulation,2,venom gland,6
57,polymer translocation,2,cdna,6
58,ionic current,2,viper,6
59,single-molecule sequencing,2,echis,6
60,fabricated nanopores,2,transcriptomics,6
61,brownian,2,single,6
62,phi29,2,mos2,6
63,bionanotechnology,2,electronic detection,6
64,solid-state nanopores,2,md,6
65,single molecule,2,blockage,6
66,simulation,2,alpha-hl,6
67,synthetic,2,nanofabrication,6
68,dft,2,genome sequencing,5
69,pore,2,biosensing,5
70,nanopore sensing,2,resistive pulse,5
71,single molecules,2,base calling,5
72,bioelectric phenomena,2,ffpe,5
73,nanofabrication,2,hairy cell leukemia,5
74,solid state,2,braf,5
75,nanoelectrodes,2,technology,5
76,oxford nanopore minion,1,shotgun,5
77,secondary,1,signal processing,5
78,illumina,1,svm,5
79,wgs,1,adaboost,5
80,antibiotic resistance,1,molecular dynamics simulation,5
81,antimicrobial resistance,1,single-molecule sequencing,5
82,forensic,1,biological nanopore,5
83,snp,1,evolution,5
84,tandem repeat loci,1,genome,5
