,Keyword_1,frequency,Keyword_2,degreee
0,microgrids,18,microgrid,68
1,microgrid,18,microgrids,58
2,renewable energy,12,renewable energy,42
3,solar energy,8,solar energy,26
4,distributed generation,7,solar,22
5,rural electrification,6,rural electrification,20
6,solar,6,distributed generation,19
7,power,5,energy storage,18
8,energy storage,5,power,16
9,photovoltaic,4,photovoltaic,15
10,rural,4,rural,15
11,distributed power generation,3,solar pv,12
12,dc microgrids,3,smart grid,11
13,solar pv,3,wind energy,11
14,smart grid,3,energy efficiency,9
15,energy efficiency,3,load flow control,9
16,wind energy,3,networks,9
17,load flow control,3,network operating systems,9
18,networks,3,resilience,8
19,network operating systems,3,dc,8
20,solar power,2,optimization,8
21,resilience,2,solar power,7
22,dc microgrid,2,distributed power generation,7
23,solar home system,2,dc microgrid,7
24,battery,2,dc microgrids,7
25,clear sky irradiance (csi),2,hybrid microgrid,7
26,dc,2,optimal scheduling,7
27,hybrid microgrid,2,hybrid power systems,7
28,optimal scheduling,2,hybrid,7
29,hybrid power systems,2,solar home system,6
30,hybrid,2,battery,6
31,optimization,2,grid parity,5
32,power system dispatch,1,stand-alone,5
33,wind generator (wg),1,economics,5
34,kinetic energy (ke),1,lcoe,5
35,building microgrids,1,system modeling,5
36,joint-operation,1,energy,5
37,event-based optimization,1,efficient utilization,5
38,microgrid networks,1,microgrid networks,4
39,multi-agent,1,multi-agent,4
40,power trading,1,power trading,4
41,transactive,1,transactive,4
42,grid parity,1,renewable integration,4
43,stand-alone,1,prosumers,4
44,economics,1,distributed,4
45,lcoe,1,reliability,4
46,system modeling,1,choice,4
47,irradiance monitoring network,1,national security,4
48,wireless sensor network,1,defense,4
49,very short-term,1,shs,4
50,energy policy,1,hydrogen,4
51,decentralised,1,experimental setup,4
52,renewable integration,1,stand-alone power,4
53,prosumers,1,clear sky irradiance (csi),4
54,distributed,1,flow battery,4
55,newton-raphson method,1,mini-grid,4
56,rural-electrification,1,technical standards,4
57,dcgrids,1,energy balance,4
58,electric springs (ess),1,smart microgrid,4
59,photovoltaic (pv) system,1,battery capacity,4
60,networked microgrids,1,grid-lite,4
61,distributed energy resources,1,monitoring system,4
62,alternating,1,sensors,4
63,dish-stirling system,1,anchor customers,4
64,frequency control,1,load factor,4
65,fixed-speed induction,1,efficiency,4
66,reliability,1,energy kiosk,4
67,choice,1,control engineering,4
68,maximum power point trackers,1,desalination,4
69,invertors,1,economic analysis,4
