,Keyword_1,frequency,Keyword_2,degreee
0,finfet,12,finfet,42
1,3-d,10,3-d,34
2,cmos,7,cmos,30
3,organic,6,3-d ic,19
4,organic field-effect transistors,5,mosfet,16
5,gate-all-around (gaa),5,modeling,16
6,3-d ic,5,organic,15
7,3-d integration,5,3-d integration,15
8,mosfet,5,simulation,14
9,3-d electrothermal simulation,4,poly-si,14
10,graphene,4,gate-all-around (gaa),13
11,modeling,4,graphene,13
12,device simulation,4,memory,13
13,poly-si,4,organic field-effect transistors,12
14,thin-film transistor (tft),3,hybrid,12
15,mobility,3,thermal,11
16,organic semiconductor,3,soi,11
17,fin field-effect transistor (finfet),3,mobility,10
18,junctionless (jl),3,nanowire,10
19,analytical model,3,gan,9
20,3-d integrated circuit (3-d ic),3,reliability,9
21,hybrid,3,device simulation,9
22,conjugated polymers,3,self-heating,9
23,memory,3,graded algan,8
24,thermal,3,transistor,8
25,simulation,3,recessed gate,8
26,self-heating,3,four gate transistor,8
27,bipolar transistors,3,tri-gate,8
28,four gate transistor,3,bicmos,8
29,nanowire,3,thin-film transistor (tft),7
30,soi,3,mos devices,7
31,organic field-effect transistor,2,junctionless (jl),7
32,heteroacenes,2,analytical model,7
33,substrate bias,2,inverter,7
34,insulated gate bipolar transistor (igbt),2,3-d integrated circuit (3-d ic),7
35,thin film transistors,2,integrated,7
36,organic thin-film transistors,2,conjugated polymers,7
37,3-d transistor,2,tcad,7
38,static random access memory (sram),2,charge pumping (cp),7
39,graded algan,2,bipolar transistors,7
40,gan,2,fin,7
41,3-d integrated circuits,2,nanoimprint,7
42,transistors,2,epitaxial growth,7
43,numerical simulation,2,heteroacenes,6
44,mos devices,2,thin film transistors,6
45,nanowires,2,3-d transistor,6
46,stacked horizontal nanowire,2,3-d electrothermal simulation,6
47,3-d cmos,2,fin field-effect transistor (finfet),6
48,nanowire (nw),2,coupling,6
49,3-d nand flash memory,2,hemt,6
50,3-d poisson's equation,2,quantum,6
51,inverter,2,junctionless,6
52,semiconductor,2,nonequilibrium,6
53,monolithic 3-d integration,2,nanowires (nws),6
54,coupling,2,single crystal,6
55,transistor,2,field-effect transistor (fet),6
56,integrated,2,surface potential,6
57,field-effect transistors,2,junctionless transistor,6
58,junctionless nanowire transistors (jnts),2,inas,6
59,reliability,2,low temperature,6
60,high-electron mobility transistor (hemt),2,beam-channel transistor,6
61,recessed gate,2,crosstalk,6
62,hemt,2,lspe,6
63,quantum,2,seg,6
64,junctionless,2,three-dimensional (3-d),6
65,defect,2,ulsi,6
66,tcad,2,vlsi,6
67,nonequilibrium,2,static random access memory (sram),5
68,fin-shaped field-effect transistor (finfet),2,3-d stack,5
69,cmos integrated circuits,2,3-d technology,5
70,nanowires (nws),2,bulk silicon,5
71,single crystal,2,nanowire (nw),5
72,charge pumping (cp),2,3-d poisson's equation,5
73,junctionless transistors,2,semiconductor,5
74,grain boundary (gb),2,monolithic 3-d integration,5
75,field-effect transistor (fet),2,circuit,5
76,analytical modeling,2,field-effect transistors,5
77,3-d integrated circuit (ic),2,3-d cpu,5
78,device modeling,2,codesign,5
79,polycrystalline silicon (poly-si),2,design space analysis,5
80,surface potential,2,liquid cooling,5
81,nanowire transistor,2,defect,5
82,junctionless transistor,2,microprocessors,5
83,tri-gate,2,moore's law,5
84,fin,2,3d ic,5
85,nanoimprint,2,grain boundary (gb),5
86,inas,2,heterostructures,5
87,nanowire mosfet,2,fin-shaped channel,5
88,low temperature,2,power,5
89,silicon,2,3-d integrated circuit (ic),5
90,1-d and 3-d modeling,2,polycrystalline silicon (poly-si),5
91,cantilever switch,2,soc,5
92,movable gate,2,high-k dielectric,5
93,epitaxial growth,2,breakdown,5
94,breakdown voltage,2,metal gate,5
95,beam-channel transistor,2,nanowire mosfet,5
96,plasma doping,2,silicon,5
97,crosstalk,2,3-d stacked,5
98,tmah,2,cmos inverter,5
99,orientation-dependent etching,2,vertical integration,5
100,bicmos,2,hfo2,5
101,transistor linearity,1,pt gate,5
102,graded channel algan,1,plasma doping,5
103,polfet,1,tmah,5
104,polarization-graded,1,orientation-dependent etching,5
105,in-ga-zn-o (igzo),1,diffusion,5
106,thin-film device,1,drift,5
107,synapse element,1,medici,5
108,neural network,1,seu,5
109,polycyclic aromatic compounds,1,spice,5
110,finfets,1,pseudo-lattice,5
111,hybrid 3-d floorplanner,1,dynamic,5
112,monolithic 3-d integrated circuits,1,liquid-crystal,5
113,arch-shaped,1,director,5
114,imaging,1,silicon nanowire,4
115,receivers,1,nanowire array,4
116,tomography,1,reconfigurable logic,4
117,read scheme,1,rfet,4
118,sensing margin,1,2,4
119,sneak current,1,6-diphenyl anthracene (dpa),4
120,vertical resistive,1,afm,4
121,addition-elimination reaction,1,fractal analysis,4
122,benzodithienothiophene,1,surface,4
123,fluorescence,1,organic semiconductor,4
124,n-channel organic thin-film transistors (otfts),1,constant f(t),4
125,ultra-thin,1,gain linearity,4
126,flexible,1,3-d integrated circuits,4
127,silicon nanowire,1,transistors,4
128,nanowire array,1,numerical simulation,4
129,reconfigurable logic,1,monte-carlo,4
130,rfet,1,nanoscale,4
131,electron mobility,1,phonon transport,4
132,ufm system,1,boltzmann,4
133,sub-ns characterization,1,nanowires,4
134,3-d i-v,1,sf-finfet,4
135,parameter extraction,1,sd-finfet,4
