,Keyword_1,frequency,Keyword_2,degreee
0,fast fourier transform,38,fast fourier transform,84
1,fast fourier transform (fft),19,algorithms,59
2,algorithms,15,design,43
3,fast,13,performance,43
4,discrete fourier transform,11,fast,39
5,design,10,theory,38
6,performance,10,fast fourier transform (fft),34
7,fast fourier transforms,9,wireless,32
8,theory,9,fft,22
9,fourier transform,8,discrete fourier transform,22
10,fft,7,fast fourier transforms,19
11,discrete fourier transform (dft),7,fourier transform,19
12,wireless,7,network coding,19
13,fast fourier,6,fourier,15
14,fourier,5,discrete fourier transform (dft),14
15,fractional fourier transform,4,fast fourier,12
16,discrete fourier transforms,4,algorithm,12
17,network coding,4,discrete fourier transforms,11
18,discrete fourier,3,signal processing,8
19,signal processing,3,hankel transform,8
20,sampling,3,matrix,8
21,discrete,3,sampling,7
22,quantum fourier transform,3,fractional fourier transform,7
23,hankel transform,3,seeing through walls,7
24,fast algorithm,3,fast algorithm,7
25,linear canonical transform,3,spherical harmonics,7
26,algorithm,3,discrete fourier,6
27,spherical fourier transform,3,discrete,6
28,fast algorithms,3,ofdm,6
29,spherical harmonics,3,quantum fourier transform,6
30,sparse fourier transform,2,inverse semigroup,6
31,graph signal processing,2,spectral methods,6
32,chebyshev,2,fourier series,6
33,nonuniform fourier transform,2,linear canonical transform,6
34,ofdm,2,spherical fourier transform,6
35,hilbert-huang transform,2,fast algorithms,6
36,trigonometric approximation,2,nonequispaced fft,6
37,convolution,2,numerical,6
38,antenna array,2,chebyshev,5
39,cyclotomic fast fourier,2,trigonometric approximation,5
40,compressed sensing,2,convolution,5
41,continuous flow,2,compressed sensing,5
42,discrete wavelet transform,2,phase retrieval,5
43,inverse semigroup,2,backscatter,5
44,seeing through walls,2,reid,5
45,spectral methods,2,security,5
46,fourier series,2,full-duplex,5
47,phase retrieval,2,implanted,5
48,asymmetric digital subscriber lines (adsl),2,sparse matrices,5
49,quadrature,2,transform,5
50,sparse matrices,2,fourier-bessel,5
51,matrix,2,special functions,5
52,permutation factor circulant matrices,2,hidden terminals,5
53,fast fourier transform(fft),2,boltzmann equation,5
54,electromagnetic scattering,2,fast multipole method,5
55,nonequispaced fft,2,texcp,5
56,numerical,2,traffic engineering,5
57,boltzmann equation,2,responsive,5
58,linear,2,online,5
59,fast multipole method,2,distributed,5
60,discrete cosine transform (dct),2,stable,5
61,digital signal processing,2,aliasing,5
62,genetic algorithm (ga),2,analysis,5
63,rf filter,1,analytical,5
64,lithium niobate,1,approximation,5
65,partial fourier transform,1,boundary,5
66,greedy algorithms,1,microphthalmia,5
67,compact fft architectures,1,c-kit,5
68,high-throughput fft,1,steel factor,5
69,exponential radon transform,1,mapk,5
70,fast laplace transform,1,p90 rsk,5
71,incomplete data,1,ubiquitin,5
72,opal-ct,1,sparse fourier transform,4
73,binary systems,1,graph signal processing,4
74,bidisperse arrangement,1,image processing,4
75,conjugate gradient methods,1,fftw3,4
76,quadratic phase,1,intel,4
77,fast physical optics,1,antenna array,4
78,nonequispaced,1,continuous flow,4
79,low rank matrices,1,discrete wavelet transform,4
80,correlation option,1,vital signs,4
81,stochastic interest rate,1,breathing,4
82,regime-switching,1,smart homes,4
83,forward,1,light fields,4
84,sparse fast fourier transform (sfft),1,computational photography,4
85,clifford fourier transform (cft),1,quadrature,4
86,gpe,1,interference alignment,4
87,fourier series evaluation,1,electromagnetic scattering,4
88,time-splitting,1,finite fourier transform,4
89,nfft,1,laplace transform,4
90,image processing,1,spectral theory,4
91,fftw3,1,svd,4
92,intel,1,linear,4
93,vertex-frequency analysis,1,libor model,4
94,windowed graph,1,stochastic volatility,4
95,dit,1,square-root process,4
96,papr reduction,1,swaptions,4
97,complex hadamard matrix,1,wireless networks,4
98,hadamard transform,1,sketching,4
99,spontaneous pupillary oscillation,1,dimensionality reduction,4
100,nonharmonic fourier series,1,embeddings,4
101,fourier extension,1,digital signal processing,4
102,fredholm,1,wind waves,4
103,nonuniform fft,1,wave simulation,4
104,adaptive fmms,1,wave analysis,4
105,constant q transforms,1,fast hartley transform,4
106,periodization,1,genetic algorithm (ga),4
107,nonuniform fast fourier transform (nu-fft),1,data mining,4
108,computer-generated hologram,1,association rules,4
109,spherical harmonic transform,1,similarity metric,4
110,3d display,1,min hashing,4
111,asynchronous,1,locality,4
112,null convention logic,1,multi-dimension,4
113,ncl,1,radix-2,4
114,common subexpression elimination (cse),1,risc,4
115,discrete legendre transform,1,vector super computer,4
116,legendre polynomials,1,partial fourier transform,3
117,micromagnetics simulation,1,opal-ct,3
118,hybrid,1,binary systems,3
119,feedforward,1,bidisperse arrangement,3
120,pipelined architecture,1,quadratic phase,3
121,microprocessor chips,1,fast physical optics,3
122,processor scheduling,1,nonequispaced,3
123,symmetric group,1,low rank matrices,3
124,vector finite element method,1,correlation option,3
125,three-dimensional modeling,1,stochastic interest rate,3
126,butterfly of cooley-tukey algorithm,1,regime-switching,3
127,graphs signal processing,1,forward,3
128,matrix factorization,1,nonuniform fourier transform,3
129,computational displays,1,gpe,3
130,computational illumination,1,fourier series evaluation,3
131,long term evolution,1,time-splitting,3
132,channel estimation,1,nfft,3
133,iterative methods,1,papr reduction,3
134,reduced dimensionality,1,complex hadamard matrix,3
135,non uniform sampling,1,hadamard transform,3
136,optical chirp z-transform (oczt),1,hilbert-huang transform,3
137,optical discrete fourier transform,1,fourier extension,3
138,3d,1,fredholm,3
139,conformal fourier transform,1,nonuniform fft,3
140,discontinuous functions,1,adaptive fmms,3
141,nonuniform,1,constant q transforms,3
142,decode and forward communication,1,periodization,3
143,relay networks (telecommunication),1,asynchronous,3
144,ieee 754 single precision format,1,null convention logic,3
145,complex addition,1,ncl,3
146,complex,1,long term evolution,3
147,inverse fast fourier transform (ifft),1,channel estimation,3
148,memory-addressing scheme,1,iterative methods,3
149,common sub expression elimination (cse),1,reduced dimensionality,3
150,parallel computations,1,non uniform sampling,3
151,general purpose gpu,1,3d,3
152,cyclotomic decomposition fourier transform,1,conformal fourier transform,3
153,galois field (finite field),1,discontinuous functions,3
154,application specific integrated circuit,1,nonuniform,3
155,complex number multiplication,1,bessel functions,3
156,winding deformation,1,asymptotic expansions,3
157,impulse frequency response analysis,1,rook monoid,3
158,optical character recognition,1,wreath product,3
159,skew angle,1,rfid,3
160,bessel functions,1,localization,3
161,asymptotic expansions,1,sar,3
162,rook monoid,1,dtw,3
163,wreath product,1,mimo,3
164,vital signs,1,gesture-based user interface,3
165,breathing,1,wavelets,3
166,smart homes,1,lattices,3
167,light fields,1,multivariate fast fourier transform,3
168,computational photography,1,periodic,3
169,ultrasonic guided wave (ugw),1,gegenbauer polynomials,3
170,wave mode identification,1,gegenbauer,3
171,sampling rate,1,levy process,3
172,phase difference,1,bermudan option,3
173,measurement accuracy,1,early exercise boundary,3
174,nonuniform fast fourier transform (nufft),1,optimal,3
175,galois field,1,kronecker,3
176,cyclotomic decomposition,1,sparse matrix,3
177,parallel computing,1,walsh,3
178,rfid,1,representation theory,3
179,localization,1,rook,3
180,sar,1,compressive sensing,3
181,dtw,1,expanders,3
182,mimo,1,sparse recovery,3
183,gesture-based user interface,1,reinsurance,3
184,hermitian symmetric,1,catastrophe bonds,3
185,general,1,risk neutral valuation,3
186,wavelets,1,securitisation,3
187,lattices,1,computational methods,3
188,multivariate fast fourier transform,1,sparsity,3
189,periodic,1,nonlinear,3
190,non-stationary sinusoid synthesis,1,documentation,3
191,sampling and interpolation,1,fourier transforms,3
192,gegenbauer polynomials,1,signal,3
193,gegenbauer,1,nonequispaced data,3
194,fourier analysis,1,particle dynamics,3
195,numerical differentiation and integration,1,polar fourier transform,3
196,inverse discrete gabor transform,1,polar grid,3
197,filterbank,1,linogram grid,3
198,dyadic-valued coefficient,1,moments,3
199,fast hartley,1,multiplierless,3
200,levy process,1,systolic array,3
201,bermudan option,1,discrete cosine transform (dct),3
202,early exercise boundary,1,hyperbolic cross,3
203,optimal,1,sparse grids,3
204,wigner distribution,1,harmonic amplitude,3
205,numerical simulation,1,periodic signal,3
206,optical modeling,1,power quality,3
207,hybrid computational procedure,1,s-transform,3
208,coherent optical fourier transform,1,short time fourier,3
209,audio signal,1,cells,3
210,sparse fast fourier transform,1,ischemia,3
211,backscatter,1,myocardial infarction,3
212,reid,1,catheters,3
213,kronecker,1,benchmark,3
214,sparse matrix,1,bit-reversal,3
215,walsh,1,data scrambling,3
216,lower triangular toeplitz matrices,1,gabor multipliers,3
217,fast sine transform,1,gabor transform,3
218,fast cosine,1,hartley transform,3
219,physics education,1,ocean engineering,3
220,rubidium,1,separation of,3
221,multiresolution discrete fourier transforms,1,audio processing,3
222,gps,1,filter banks,3
223,synchronization,1,lapped transforms,3
224,gene identification,1,modulated filter,3
225,lifting wavelet transform,1,doe,3
226,android,1,factor graph,3
227,mobile device,1,finite field fourier,3
228,security,1,transformation,3
229,full-duplex,1,reed solomon codes,3
230,implanted,1,statistics,3
231,analytical convolution,1,data streams,3
232,conformal fourier transform (cft),1,sliding windows,3
233,green's,1,approximation algorithms,3
234,signal processing algorithms,1,fourier integral,3
235,approximation methods,1,numerical integration,3
236,quantum computing,1,hartley transforms,3
237,quantum circuit design,1,multidimensional radon,3
238,representation theory,1,hadamard matrix,3
239,rook,1,reverse jacket matrix,3
240,chirp transform,1,correlator,3
241,fresnel diffraction,1,optical design,3
242,wigner distribution function,1,digital design,3
243,compressive sensing,1,image recognition,3
244,expanders,1,inverse eigenvalue problem,3
245,sparse recovery,1,nonnegative matrix,3
246,reinsurance,1,circulant matrix,3
247,catastrophe bonds,1,p-glycoprotein,3
248,risk neutral valuation,1,ethnicity,3
249,securitisation,1,single nucleotide polymorphism,3
250,transform,1,mdr1,3
251,fourier-bessel,1,fast solver,3
252,special functions,1,integral equation,3
253,frequency estimation,1,nonuniform fft (nufft),3
254,interpolated fast fourier transform,1,cepstrum,3
