,Keyword_1,frequency,Keyword_2,degreee
0,cloud computing,46,cloud computing,130
1,cloud,8,cloud,29
2,video streaming,8,video streaming,28
3,big data,6,qoe,20
4,stream processing,6,stream processing,19
5,qoe,6,big data,18
6,live streaming,6,live streaming,18
7,cloud gaming,5,cloud gaming,15
8,streaming service,5,streaming,14
9,streaming,4,data streams,14
10,data streams,4,streaming service,12
11,data stream,3,mobile,12
12,mobile,3,data stream,11
13,scheduling,3,scheduling,9
14,simulation,2,mapreduce,8
15,fog computing,2,pipelining,8
16,live video streaming,2,uncertain data,8
17,adaptive streaming,2,skyline query,8
18,scalability,2,scalability,7
19,webrtc,2,internet of things,7
20,media,2,qos,7
21,streaming media,2,load balancing,7
22,cloud-assisted video streaming,2,quality,7
23,real-time,2,live video,7
24,elastic,2,overlay network,7
25,streaming media edge cloud (mec),2,p2p streaming,7
26,adaptive video streaming,2,simulation,6
27,internet of things,2,adaptive streaming,6
28,galaxies: evolution,2,webrtc,6
29,peer-to-peer,2,media,6
30,energy efficient,2,elastic,6
31,qos,2,mobile cloud computing,6
32,mobile cloud computing,2,availability,6
33,multimedia streaming,2,quality of service,6
34,load balancing,2,fog computing,5
35,availability,2,live video streaming,5
36,quality,2,streaming media,5
37,quality of service,2,real-time,5
38,live video,2,peer-to-peer,5
39,overlay network,2,multimedia streaming,5
40,p2p streaming,2,hydrodynamics,5
41,video block device,2,ism : clouds,5
42,hint file,2,galaxies : evolution,5
43,bittorrent,2,galaxy : halo,5
44,mapreduce,2,devops,4
45,pipelining,2,broadcasting,4
46,cloud streaming,2,time-critical applications,4
47,uncertain data,2,5g ran,4
48,skyline query,2,distributed cloud,4
49,hydrodynamics,2,monitoring,4
50,ism : clouds,2,streaming dataflows,4
51,galaxies : evolution,2,vprobe vnf,4
52,galaxies : interactions,2,content delivery network,4
53,galaxy : halo,2,dash streaming,4
54,p2p video streaming system,1,adaptive cdn,4
55,cloud assistance,1,cloud-assisted video streaming,4
56,2-hop delivery scheme,1,component,4
57,edge node,1,formatting,4
58,real-time streaming,1,style,4
59,cloud storage,1,styling,4
60,stars: formation,1,insert,4
61,ism: clouds,1,streaming media edge cloud (mec),4
62,ism: evolution,1,adaptive video streaming,4
63,ism: kinematics and,1,sensors,4
64,quantitative analysis,1,observations,4
65,queueing theory,1,streams,4
66,online streaming,1,quality of,4
