,Keyword_1,frequency,Keyword_2,degreee
0,gestural interface,8,gesture,27
1,gestures,7,gestural interface,23
2,gesture,7,gestures,19
3,gestural interaction,5,user interfaces,18
4,user interfaces,5,gestural interaction,15
5,gestural interfaces,4,gestural interfaces,12
6,kinect,3,kinect,12
7,natural user interfaces,3,hci,9
8,interaction,3,freehand,9
9,augmented reality,2,natural user interfaces,9
10,usability,2,user interface,8
11,hci,2,interaction,8
12,hand gesture,2,hand gesture,7
13,freehand,2,video games,7
14,accessibility,2,motion capture,7
15,assistive technology,2,music,6
16,gesture-based interfaces,2,augmented reality,5
17,user experience,2,usability,5
18,user interface,2,accessibility,5
19,video games,2,user experience,5
20,motion capture,2,tracking,5
21,gestural,2,immersion,5
22,music,2,leap,5
23,mathematical sketching,2,interaction styles,5
24,input devices,1,hand pose,5
25,fitts' law,1,3d,5
26,performance evaluation/,1,iohmm,5
27,natural language processing,1,hcrf,5
28,speech interface,1,hand gesture recognition,5
29,multimodal,1,gesture spotting,5
30,gestural data management,1,adaptive,5
31,gesture interaction middleware,1,virtual reality,4
32,kinect-like,1,luxury brands,4
33,in-air hand gestures,1,semi-immersive,4
34,kinect sensor,1,comparison,4
35,older adults,1,on skin touch,4
36,natural user,1,user-elicitation,4
37,wearable technology,1,gestural action,4
38,holographic computing,1,performance,4
39,microgestures,1,instrument,4
40,gesture interaction,1,affordances,4
41,virtual reality,1,practise-based,4
42,luxury brands,1,assistive technology,4
43,semi-immersive,1,mimetic,4
44,comparison,1,art,4
45,on skin touch,1,emergence,4
46,user-elicitation,1,real time,4
47,touchless interaction,1,gesture-based interfaces,4
48,natural interfaces,1,poetry,4
49,gestural action,1,pragmatism,4
50,performance,1,aesthetics,4
51,instrument,1,semiotics,4
52,affordances,1,domotics,4
53,practise-based,1,organizational semiotics,4
54,tangible and gestural interaction,1,ebnf,4
55,multimodal interaction,1,smart,4
56,collaboration,1,natural interaction,4
57,age,1,middleware,4
58,elderly people,1,3d interfaces,4
59,human-computer interaction (hci),1,wiimote,4
60,image processing,1,dataflow,4
61,computer vision,1,gpus,4
62,gestural writing,1,operating systems,4
63,museum information system,1,gpgpu,4
64,kinetic hypertext,1,chi,4
65,full-body games,1,tui,4
66,interactivity,1,modality,4
67,concurrent full-body gestures,1,virtual assembly,4
68,mimetic,1,clutching,4
69,art,1,chirocentric,4
70,emergence,1,spatiotemporal,4
71,real time,1,telekinetic,4
72,gestural commands,1,gestural,4
73,concern independence,1,mathematical sketching,4
74,gesture recognition,1,input devices,3
75,gesture interface,1,fitts' law,3
76,human computer,1,performance evaluation/,3
77,poetry,1,in-air hand gestures,3
78,pragmatism,1,kinect sensor,3
79,aesthetics,1,older adults,3
80,semiotics,1,natural user,3
81,human-agent body interaction,1,wearable technology,3
82,coupling,1,holographic computing,3
83,human computer communication,1,full-body games,3
84,gestural communication,1,interactivity,3
85,control a,1,concurrent full-body gestures,3
86,h.1.2 [models and principles]: user/machine systems human factors,1,gesture recognition,3
87,h.5.2,1,gesture interface,3
88,visual impairment,1,human computer,3
89,interactive,1,visual impairment,3
90,shamanic interface,1,interactive,3
91,cultural awareness in,1,touchscreen,3
92,touchscreen,1,sketching,3
93,sketching,1,technique,3
94,technique,1,interactive environment,3
95,interactive environment,1,mobile devices,3
96,domotics,1,intuitive interfaces,3
97,organizational semiotics,1,emotional gestures,3
98,ebnf,1,musical,3
99,smart,1,gestural input,3
100,mental model,1,usability testing,3
101,think-aloud protocol,1,heuristic evaluation,3
102,tracking,1,design education,3
103,immersion,1,creative drama,3
104,leap,1,mime,3
105,mobile devices,1,internet of things,3
106,intuitive interfaces,1,human-centric sensing,3
107,emotional gestures,1,remote,3
108,musical,1,mutual information,3
109,gestural input,1,pattern recognition,3
110,usability testing,1,classification,3
111,heuristic evaluation,1,immersive environment,3
112,design education,1,3d objects,3
113,creative drama,1,visualization,3
114,mime,1,saga corpus,3
115,3d selection,1,iconic gesture,3
116,freehand gesture,1,gesture typology,3
117,marking menu,1,partial ontology,3
118,natural interaction,1,sound design,3
119,middleware,1,semantics,3
120,touches interaction,1,large displays,3
121,human computer interaction (hci) [interaction techniques]: gestural,1,touch screens,3
122,gestural control,1,user-centered study,3
123,interactive performance,1,3d gestural interfaces,3
124,improvisation,1,wii remote,3
