,Keyword_1,frequency,Keyword_2,degreee
0,homomorphic encryption,79,homomorphic encryption,196
1,fully homomorphic encryption,37,fully homomorphic encryption,79
2,cloud computing,22,cloud computing,54
3,homomorphic,10,homomorphic,29
4,data security,9,data security,27
5,cloud,6,encryption,18
6,privacy protection,5,cloud,18
7,learning with errors,5,privacy,17
8,privacy,5,security,17
9,encryption,5,learning with errors,12
10,security,5,privacy protection,11
11,proxy re-encryption,4,fully,10
12,somewhat homomorphic encryption,4,cloud data storage,9
13,cryptanalysis,3,proxy re-encryption,8
14,cloud data storage,3,ciphertext,8
15,fully homomorphic,3,cryptography,8
16,ciphertext,3,cryptanalysis,7
17,fully,3,somewhat homomorphic encryption,7
18,dghv,3,fully homomorphic,7
19,cryptography,3,dghv,7
20,private,3,rsa,7
21,approximate gcd,3,private,7
22,full homomorphic encryption,2,approximate gcd,7
23,fhe,2,fhe,6
24,additive homomorphic encryption,2,data,6
25,cca2 security,2,lwe,6
26,hash proof system,2,fpga,6
27,cryptographic protocols,2,elgamal,6
28,searchable encryption,2,ring learning with errors,6
29,data,2,full homomorphic encryption,5
30,lwe,2,searchable encryption,5
31,learning with errors (lwe),2,learning with errors (lwe),5
32,bootstrapping,2,bootstrapping,5
33,rsa,2,homomorphic mac,5
34,fpga,2,private information retrieval,5
35,logistic regression,2,additive homomorphic encryption,4
36,homomorphic mac,2,cca2 security,4
37,private information retrieval,2,hash proof system,4
38,quantum cryptography,2,cryptographic protocols,4
39,symmetric encryption,2,aws,4
40,elgamal,2,dynamodb,4
41,ciphertext expansion,2,database,4
42,public key encryption,2,query,4
43,lattice based,2,security and privacy,4
44,ring learning with errors,2,big data,4
45,discrete logarithm problem,2,non-deterministic,4
46,encryption of,1,cloud-rsa,4
47,advanced encryption standard cryptography,1,confidentiality,4
48,batch processing,1,third party,4
49,size of public key,1,logistic regression,4
50,multiple to one,1,coding,4
51,greatest common divisor,1,theory,4
52,fhe implementation,1,reed-muller code,4
53,fhe survey,1,quantum cryptography,4
54,multiple message spaces,1,symmetric encryption,4
55,statistical,1,goldwasser-micali,4
56,construction method,1,naccache-stern,4
57,abstract decryption,1,hybrid scheme,4
58,limited resources,1,ciphertext expansion,4
59,partial,1,protocols,4
60,continued fraction,1,servers,4
61,symmetric homomorphic encryption,1,complexity theory,4
62,ring homomorphisms,1,vate information,4
63,third party private,1,public key encryption,4
64,e-voting,1,lattice based,4
65,finitely presented partially commutative groups,1,matrix multiplication,4
66,lattice,1,fhe implementation,3
67,homomorphic ciphers,1,fhe survey,3
68,encryption procedures,1,limited resources,3
69,short public keys,1,partial,3
70,short cipher texts,1,ring-lwe,3
71,aws,1,cyclotomic ring,3
72,dynamodb,1,decomposition,3
73,database,1,verification,3
74,query,1,multi-user,3
75,ring-lwe,1,key rotation,3
76,cyclotomic ring,1,public key cryptography,3
77,decomposition,1,key,3
78,verification,1,ideals,3
79,multi-user,1,number theory,3
80,storage,1,integrity preservation,3
81,key rotation,1,healthcare,3
82,public key cryptography,1,sensors,3
83,key,1,differential privacy,3
84,ideals,1,lwe assumption,3
85,number theory,1,linear,3
86,integrity preservation,1,key privacy,3
87,healthcare,1,binary-lwe,3
88,sensors,1,stp-lwe,3
89,statistic learning,1,noise management,3
90,comparison on encrypted data,1,access control,3
91,differential privacy,1,attribute revocation,3
92,lwe assumption,1,matrix trace,3
93,linear,1,secure,3
94,key privacy,1,the private,3
95,binary-lwe,1,secure localization,3
96,stp-lwe,1,paillier,3
97,noise management,1,structured database,3
98,cloud security,1,character data,3
99,data centric security,1,public key,3
100,quantum somewhat homomorphic encryption,1,ntt multiplication,3
101,symmetric searchable,1,accelerator,3
102,access control,1,big data security,3
103,attribute revocation,1,secure outsourcing,3
104,parallel computing,1,many-to-one,3
105,fully homomorphic encryption (fhe),1,multi-level encryption,3
106,matrix trace,1,somewhat,3
107,secure,1,linear equations,3
108,the private,1,paillier's,3
109,cca-secure,1,bilinear mapping,3
110,multi-identity fully,1,proxy,3
111,secure localization,1,multi-cloud,3
112,paillier,1,distributed system,3
113,security and privacy,1,component,3
114,big data,1,privacy of data,3
115,non-deterministic,1,computation on encrypted data,3
116,cloud computing environment,1,probabilistic,3
117,homomorphic encryption algorithm,1,homomorphism,3
118,paillier algorithm,1,charmichael,3
119,identity-based encryption,1,virtualization,3
120,ideal lattices,1,exploit,3
121,oblivious transfer,1,pascal's triangle theorem,3
122,active adversary,1,finite prime field,3
123,one-sided adaptive adversary,1,recrypt,3
124,key exchange,1,verifiable computation,3
125,one time pad,1,encrypted data,3
126,non-deterministic encryption,1,statistical analysis,3
127,cipher equality,1,additive,3
128,arithmetic operation,1,rlwe assumption,3
129,real number,1,canonical embedding,3
130,structured database,1,malleability,3
131,character data,1,aggregation,3
132,decentralized system,1,network security,3
133,genome secret search,1,wireless sensor,3
134,multi-hop,1,reconfigurable,3
135,identity-based proxy re-encryption,1,discrete logarithm problem,3
136,key switching mechanism,1,ntru,3
137,public key,1,prince,3
138,parallel encryption,1,lightweight block ciphers,3
139,attribute-based,1,the cloud computation,3
140,fully homomorphic encryption service,1,linear algebra,3
141,reusable garbled gate,1,outsourcing,3
142,reusable,1,learn with error,3
143,cloud-rsa,1,ind-cpa,3
144,confidentiality,1,detect zero,3
145,third party,1,non-interactive computing delegation,3
146,ntt multiplication,1,multikey fhe,3
147,accelerator,1,cp-abe,3
148,big data security,1,smaller public key,3
149,secure outsourcing,1,larger message space,3
150,distributed data sources,1,lattices,3
151,many-to-one,1,magma,3
152,multi-level encryption,1,data retrieval,3
153,somewhat,1,data aggregation,3
154,location privacy,1,unattended wireless sensor,3
155,linear equations,1,private homomorphism,3
156,paillier's,1,similar modular,3
157,bilinear mapping,1,fraction modular,3
