,Keyword_1,frequency,Keyword_2,degreee
0,human mobility,26,malaria,90
1,malaria,25,human mobility,78
2,epidemiology,17,epidemiology,58
3,mobile phone data,12,big data,33
4,big data,9,mobile phone data,30
5,mobile phones,7,migration,28
6,migration,7,mobile phones,25
7,plasmodium falciparum,7,transmission,21
8,dengue,5,plasmodium falciparum,21
9,transmission,5,dengue,20
10,surveillance,5,surveillance,19
11,elimination,5,elimination,17
12,mobility,4,mobility,15
13,machine learning,4,ebola,14
14,plasmodium vivax,4,network,14
15,call detail records,4,gis,13
16,infectious diseases,3,climate change,13
17,mobile,3,machine learning,13
18,vector-borne disease,3,travel,12
19,malaria elimination,3,kenya,12
20,technology,3,plasmodium vivax,12
21,gis,3,mobile,11
22,climate change,3,technology,11
23,travel,3,infectious disease,11
24,infectious disease,3,vector-borne disease,9
25,ebola,3,gps,9
26,kenya,3,call detail records,9
27,malaria transmission,3,serology,9
28,network,3,infectious diseases,8
29,vaccination,2,urban,8
30,human behavior,2,malaria elimination,8
31,complex networks,2,malaria transmission,8
32,data,2,amazon,8
33,cellular networks,2,importation,8
34,big data analysis,2,africa,8
35,data mining,2,vaccination,7
36,biodiversity,2,human behavior,7
37,mapping,2,complex networks,7
38,urban,2,mapping,7
39,computational social science,2,population,7
40,big data analytics,2,mobile data,7
41,crowdsourcing,2,risk mapping,7
42,population,2,data analysis,7
43,mobile phone,2,epidemic model,7
44,mobile data,2,network analysis,7
45,gps,2,mobile populations,7
46,risk mapping,2,imported malaria,7
47,spatial,2,community,7
48,data analysis,2,metapopulation,7
49,epidemic model,2,environment,7
50,network analysis,2,data,6
51,mobile populations,2,cellular networks,6
52,imported malaria,2,big data analysis,6
53,community,2,data mining,6
54,metapopulation,2,big data analytics,6
55,forensic analysis,2,crowdsourcing,6
56,environment,2,spatial,6
57,amazon,2,forensic analysis,6
58,importation,2,plasmodium,6
59,africa,2,biodiversity,5
60,serology,2,virus,5
61,plasmodium,2,geography,5
62,multi sensor data fusion,1,evolution,5
63,regression analysis sensor data,1,phylogenetics,5
64,multivariable,1,caribbean,5
65,human-mediated spread,1,inclusive development,5
66,invasive alien species,1,social media,5
67,location based services,1,computational social science,5
68,congestion,1,mobile phone,5
69,road networks,1,adaptation,5
70,mobile traffic analysis,1,disaster,5
71,call detail,1,bangladesh,5
72,filariasis,1,polio,5
73,mosquito-borne pathogen transmission,1,activity space,5
74,accessibility,1,contact,5
75,environmental health,1,infection,5
