,Keyword_1,frequency,Keyword_2,degreee
0,memory,12,memory,44
1,ion implantation,12,ion implantation,35
2,cochlear implants,10,niti,32
3,working memory,9,cochlear implants,30
4,niti,9,working memory,29
5,cochlear implant,6,nitinol,25
6,nitinol,6,cochlear implant,22
7,children,5,children,18
8,multiple sclerosis,4,sma,16
9,shape memory alloy,4,language,15
10,language,4,corrosion,13
11,corrosion,4,shape memory alloy,12
12,plasma immersion ion implantation,4,implant,12
13,deafness,3,shape memory,12
14,cochlear,3,deafness,11
15,shape memory effect,3,cochlear,11
16,sma,3,multiple sclerosis,11
17,matrix pencils,2,depression,9
18,3d printing,2,outcome,9
19,polyurethane,2,cognition,9
20,depression,2,3d printing,8
21,internet,2,polyurethane,8
22,speech perception,2,internet,8
23,patient-specific,2,shape memory effect,8
24,implants,2,reading,8
25,orbital reconstruction,2,bone,8
26,reading,2,stiffness,8
27,outcome,2,sme,8
28,short-term memory,2,laser,8
29,shape memory alloy (sma),2,nanocrystal,8
30,shape memory polymer,2,speech perception,7
31,development,2,patient-specific,7
32,cognition,2,development,7
33,acetylcholine,2,plasma immersion ion implantation,7
34,implant,2,si,7
35,shape memory,2,nanocrystals,7
36,corrosion resistance,2,niti alloy,7
37,shape memory alloys,2,fructose,6
38,tini,2,diet,6
39,surface properties,2,liver,6
40,nanocrystal,2,steatosis,6
41,nanoclusters,2,fat,6
42,si,2,lipocalin 2,6
43,nanocrystals,2,nafld,6
44,non-volatile memory,2,implants,6
45,niti alloy,2,orbital reconstruction,6
46,ti-ni shape memory alloy,1,short-term memory,6
47,wire electro-discharge machining,1,shape memory alloy (sma),6
48,topography,1,acetylcholine,6
49,distance to singularity,1,germanium,6
50,gap distance,1,tem,6
51,stiffness memory,1,rbs,6
52,3d-tips,1,retention,6
53,phase separation,1,matrix pencils,5
54,language development,1,anxiety,5
55,farsi,1,comorbidity,5
56,grammar,1,transdiagnostic,5
57,phonological short-term memory,1,tailored,5
58,phonological,1,learning,5
59,verbal,1,shape memory polymer,5
60,anxiety,1,plasticity,5
61,comorbidity,1,amygdala,5
62,transdiagnostic,1,thalamus,5
63,tailored,1,dorso-ventral,5
64,attitudes,1,predictor,5
65,icbt,1,corrosion resistance,5
66,internet intervention,1,tini,5
67,randomized,1,surface properties,5
68,black phosphorus,1,nanoclusters,5
69,near-infrared light,1,attention,5
70,photothermal effect,1,child,5
71,single side deafness,1,hearing aid,5
72,bone-anchored hearing implant,1,stiffness memory,4
73,speech,1,3d-tips,4
74,learning,1,phase separation,4
75,cannabis,1,farsi,4
76,mental disorders,1,grammar,4
77,adherence,1,attitudes,4
78,social presence,1,icbt,4
79,mobile health,1,internet intervention,4
80,fructose,1,randomized,4
81,diet,1,cannabis,4
82,liver,1,mental disorders,4
83,steatosis,1,adherence,4
84,fat,1,social presence,4
85,lipocalin 2,1,mobile health,4
86,nafld,1,bioinks,4
87,bioinks,1,memory-shape implants,4
88,memory-shape implants,1,silk,4
89,silk,1,galactic cosmic radiation,4
90,disorders of memory content,1,mars,4
91,electrical brain stimulation,1,geant4,4
92,fear memory,1,monte-carlo,4
93,sensorineural hearing loss,1,particle flux,4
94,galactic cosmic radiation,1,auditory feedback,4
95,mars,1,production effect,4
96,geant4,1,study,4
97,monte-carlo,1,smart material,4
98,particle flux,1,mems,4
99,polylactide,1,microelectromechanical,4
100,activation energy,1,adolescents,4
101,3d-printing,1,cochlear implantation,4
102,disease-modifying therapy,1,lexicon,4
103,discontinuation,1,morphosyntax,4
104,relapse,1,auditory skills,4
105,differential-algebraic systems,1,acquisition,4
106,descriptor systems,1,digit span,4
107,disturbance,1,language age,4
108,orbital floor fractures,1,short-term auditory,4
109,myelin oligodendrocyte glycoprotein,1,neuromyelitis optica,4
110,demyelination,1,rituximab,4
111,autoantibodies,1,b-cells,4
112,auditory feedback,1,clonal,4
113,production effect,1,macaque,4
114,study,1,parietal cortex,4
115,physiotherapy,1,frontal cortex,4
116,rhythmic-cued motor imagery,1,subarachnoid space,4
117,walking,1,muscimol,4
118,smart material,1,cd8(+) t cells,4
119,mems,1,chemotherapy,4
120,microelectromechanical,1,chemoimmunotherapy,4
121,adolescents,1,cyclophosphamide,4
122,cochlear implantation,1,drug,4
123,lexicon,1,medical radar,4
124,morphosyntax,1,microwave imaging,4
125,auditory skills,1,vital signs,4
126,acquisition,1,uwb,4
127,digit span,1,switched array,4
128,language age,1,hearing,4
129,short-term auditory,1,induction heating,4
130,neuromyelitis optica,1,electrochemical test,4
131,rituximab,1,thin films,4
132,b-cells,1,stent,4
133,clonal,1,polycaprolactone,4
134,dram cell transistor,1,cell culture,4
135,peripheral transistor,1,abutment,4
136,implant and anneal process,1,dental implants,4
137,nano memory,1,microleakage,4
138,electrical pulse,1,peri-implantitis,4
139,cnt,1,shape memory alloys,4
140,orbital floor fracture,1,charge transfer,4
141,auditory digit span,1,epr spectroscopy,4
142,macaque,1,oxygen,4
143,parietal cortex,1,tio2 nanocrystals,4
144,frontal cortex,1,uv-induced,4
145,subarachnoid space,1,routing,4
146,muscimol,1,flexible manufacturing systems,4
147,blood-meningeal barrier,1,simulation,4
148,memory t-cells,1,stigmergy,4
149,meningeal tumor,1,netlogo,4
150,viral therapy,1,antibodies,4
151,cd8(+) t cells,1,biological availability,4
152,chemotherapy,1,blood,4
153,chemoimmunotherapy,1,interferon-beta,4
154,cyclophosphamide,1,multiple,4
155,drug,1,non-volatile memory,4
156,passive networks,1,gixrd,4
157,network redesign,1,amorphization,4
158,root locus,1,elastic recovery,4
159,phase change material,1,hardness,4
160,crystallization temperature,1,implantation,4
161,shape memory effect (sme),1,single electron tunneling,4
162,nickel titanium,1,osseointegration,4
163,immunology,1,trans-femoral implant,4
164,endothelialization,1,fea,4
165,pathology,1,overload protection,4
166,aneurysm,1,biocompatibility,4
167,farsi-speaking children,1,bone healing,4
168,niti shape memory alloy,1,trace metals,4
169,"micro-, nano-indentation",1,phonological short-term memory,3
170,prosody,1,phonological,3
171,discrimination of f0,1,verbal,3
172,duration and intensity,1,single side deafness,3
173,medical radar,1,bone-anchored hearing implant,3
174,microwave imaging,1,speech,3
175,vital signs,1,polylactide,3
176,uwb,1,activation energy,3
177,switched array,1,3d-printing,3
178,hearing,1,disease-modifying therapy,3
179,auditory cortex,1,discontinuation,3
180,brain stimulation,1,relapse,3
181,neurophysiology,1,orbital floor fractures,3
182,executive functions,1,physiotherapy,3
183,fluorinated polymer,1,rhythmic-cued motor imagery,3
184,waterborne polyurethane urea,1,walking,3
185,niti-based shape memory alloys,1,orbital floor fracture,3
186,superelastic alloys,1,blood-meningeal barrier,3
187,x-ray powder,1,memory t-cells,3
188,bone,1,meningeal tumor,3
189,stiffness,1,viral therapy,3
190,sme,1,passive networks,3
191,laser,1,network redesign,3
192,auditory learning,1,root locus,3
193,auditory perception,1,endothelialization,3
194,auditory training,1,pathology,3
195,induction heating,1,aneurysm,3
196,nickel alloys,1,farsi-speaking children,3
197,titanium alloys,1,prosody,3
198,social anxiety disorder,1,discrimination of f0,3
199,internet-based self-help,1,duration and intensity,3
200,structured diagnostic,1,auditory cortex,3
201,nickel-titanium,1,brain stimulation,3
202,nano-hardness,1,neurophysiology,3
203,electrochemical test,1,executive functions,3
204,thin films,1,auditory learning,3
205,false memory,1,auditory perception,3
206,compliance,1,auditory training,3
207,online health information,1,nickel alloys,3
208,electronic mail,1,titanium alloys,3
209,frequently asked,1,nickel-titanium,3
210,limit of viability,1,nano-hardness,3
211,ethical decision-making,1,false memory,3
212,provisional intensive care,1,compliance,3
213,plasticity,1,online health information,3
214,amygdala,1,electronic mail,3
215,thalamus,1,frequently asked,3
216,dorso-ventral,1,charge-trapping flash (ctf),3
217,predictor,1,hfon,3
218,charge-trapping flash (ctf),1,ion implant,3
219,hfon,1,nonvolatile memory (nvm),3
220,ion implant,1,association,3
221,nonvolatile memory (nvm),1,behavioral state,3
222,association,1,nucleus basalis,3
223,behavioral state,1,melatonin,3
224,nucleus basalis,1,pinealectomy,3
225,melatonin,1,morris water maze,3
226,pinealectomy,1,meta-memory,3
227,morris water maze,1,porous niti shape memory alloy,3
228,meta-memory,1,shs,3
229,porous niti shape memory alloy,1,implant material,3
230,shs,1,compressive,3
231,implant material,1,al2o3,3
232,compressive,1,alo- ion implantation,3
233,automated insertion tool,1,deep trap,3
234,al2o3,1,nonvolatile-memory (nvm),3
235,alo- ion implantation,1,shape memory niti alloy,3
236,deep trap,1,wear,3
237,nonvolatile-memory (nvm),1,surface,3
238,stent,1,simulations,3
239,polycaprolactone,1,modular implants,3
240,cell culture,1,humerus,3
241,surface morphology and,1,numerical simulations,3
242,abutment,1,modularity,3
243,dental implants,1,orthopedic implants,3
244,microleakage,1,hemo-compatibility,3
245,peri-implantitis,1,biomedical,3
246,shape memory niti alloy,1,alzheimer's disease,3
247,wear,1,amyloid beta (ap),3
248,surface,1,implanted cannula,3
249,simulations,1,y-maze test,3
250,modular implants,1,acoustic simulations,3
251,humerus,1,auditory memory,3
252,ion implanted polymers,1,novel word learning,3
253,organic field-effect devices,1,non-word repetition,3
254,numerical simulations,1,cortex,3
255,modularity,1,dendrite,3
256,orthopedic implants,1,hyperpolarization-activated cationic current,3
257,hemo-compatibility,1,neuronal,3
258,biomedical,1,bioactive niti alloy,3
259,nickel-titanium shape memory alloy,1,hydroxyapatite layer,3
260,differential scanning calorimetry,1,bone bonding,3
261,"cochlear implant, children",1,ion irradiation,3
262,mismatch negativity,1,sio2,3
263,holistic medicine and health,1,photoluminescence,3
264,clinical holistic medicine,1,interbody fusion,3
265,cam,1,minimal access surgery,3
266,titanium dioxide,1,spinal surgery,3
267,nanoporous electrode,1,block copolymers,3
268,charge transfer reductive,1,elastomers,3
269,porous nickel-titanium,1,polymer networks,3
270,plasma immersion ion,1,shape memory polymers,3
271,binary-symmetric markov source,1,ti-ni,3
272,critical distortion,1,ca ion implantation,3
273,lossy source,1,phosphorus,3
274,germanium,1,plasma-based implantation (pbii),3
275,tem,1,hemocompatibiliy,3
276,rbs,1,microstructure,3
277,retention,1,phosphorus ion implantation,3
278,alzheimer's disease,1,multi-channel,3
279,amyloid beta (ap),1,acute slice,3
280,implanted cannula,1,fepsp,3
281,y-maze test,1,ltp,3
282,charge transfer,1,gaba,3
