,Keyword_1,frequency,Keyword_2,degreee
0,smart watch,40,smart watch,128
1,smart tv,12,smart tv,44
2,activity recognition,11,smart,43
3,internet of things,11,internet of things,40
4,smart,11,activity recognition,35
5,wearable,10,wearable,34
6,iot,9,iot,31
7,smartwatch,8,sensor,29
8,heart rate,7,heart rate,27
9,wearables,7,smartwatch,23
10,wearable devices,7,smart phone,23
11,sensor,6,wearables,22
12,wearable device,6,mobile,21
13,smart watches,6,wearable devices,21
14,accelerometer,5,smart watches,21
15,monitoring,5,wearable device,20
16,mobile,5,monitoring,19
17,smart phone,5,android,18
18,android,5,tv,17
19,smart home,4,bluetooth,17
20,smart device,4,interface,17
21,user interface,4,accelerometer,15
22,smart-watch,4,gps,15
23,gps,4,sar,15
24,tv,4,security,14
25,smart devices,4,cloud computing,14
26,bluetooth,4,data,13
27,security,4,health,12
28,sar,4,smart device,12
29,wearable computing,4,user interface,12
30,interface,4,smart grid,12
31,health,3,smart-watch,12
32,authentication,3,smart devices,12
33,technology,3,privacy,12
34,mobile sensing,3,wearable computing,12
35,exposure,3,technology,11
36,physical activity,3,smart home,11
37,smart grid,3,exposure,11
38,edge computing,3,edge computing,11
39,automatic classification,3,smartphones,11
40,unconstrained,3,wi-fi,11
41,fog computing,3,watch,10
42,watch,3,smartphone,10
43,smartphones,3,microsoft kinect,10
44,wearable technology,3,authentication,9
45,smartphone,3,mobile sensing,9
46,assistive technology,3,physical activity,9
47,wi-fi,3,ppg,9
48,cloud computing,3,automatic classification,9
49,machine learning,3,unconstrained,9
50,google glass,3,assistive technology,9
51,privacy,3,blue-tooth,9
52,microsoft kinect,3,machine learning,9
53,data,3,google glass,9
54,decisional dna,3,medical,9
55,wireless power transfer,2,content,9
56,gaze tracking,2,gaze tracking,8
57,recommendation,2,atrial fibrillation,8
58,atrial fibrillation,2,coap,8
59,supervised learning,2,smart homes,8
60,mobility,2,fog computing,8
61,coap,2,wearable technology,8
62,ppg,2,ict,8
63,ebg,2,linear tv,8
64,wearable antenna,2,cell phone,8
65,safety,2,big data,8
66,haptic feedback,2,decisional dna,8
67,wearable sensors,2,recommendation,7
68,smart homes,2,mobility,7
69,voice input,2,ebg,7
70,inertial sensors,2,wearable antenna,7
71,autism,2,voice input,7
72,usability,2,autism,7
73,user authentication,2,usability,7
74,photoplethysmography,2,numerical computation,7
75,numerical computation,2,compliance,7
76,parkinson's disease,2,xml,7
77,blue-tooth,2,user,7
78,face recognition,2,component,7
79,collaboration,2,panorama,7
80,compliance,2,sns,7
81,mobile devices,2,live,7
82,xml,2,ugc,7
83,medical,2,home automation,7
84,acting order,2,safety,6
85,cueing individually,2,wearable sensors,6
86,ict,2,inertial sensors,6
87,kansei engineering,2,photoplethysmography,6
88,user,2,parkinson's disease,6
89,linear tv,2,face recognition,6
90,content,2,collaboration,6
91,fall detection,2,cross-platform,6
92,cell phone,2,applications,6
93,big data,2,exchange,6
94,component,2,acting order,6
95,augmented broadcasting,2,cueing individually,6
96,prevention,2,accessory,6
97,pervasive computing,2,modular,6
98,home automation,2,real time,6
99,digital tv,2,gsm,6
100,knowledge,2,low-power,6
101,set of experience knowledge structure,2,nfc,6
102,smart spaces,2,implant,6
103,online claw machine,1,tag,6
104,delay,1,mixed-signal,6
105,interactive,1,augmented broadcasting,6
106,real-time streaming system,1,prevention,6
107,coil array,1,pervasive computing,6
108,magnetic field,1,digital tv,6
109,authentic contexts,1,wireless power transfer,5
110,efl learning,1,supervised learning,5
111,positive emotions,1,testbed,5
112,framework,1,measurements,5
113,mobile applications,1,arduino,5
114,service computing,1,text reading,5
115,self-adaptive systems,1,rsvp,5
116,telecare,1,user authentication,5
117,wireless biosensor,1,assessments,5
118,peer-to-peer communication,1,crowdsourcing,5
119,blind code,1,qti,5
120,real-time video,1,mqtt,5
121,p2p multimedia,1,e-health,5
122,video index,1,software defined networks,5
123,brain wave,1,sdn,5
124,eeg,1,mec,5
125,drowsiness,1,smart mobile device,5
126,driving habit,1,tablet,5
127,device pairing,1,stylus,5
128,handshake detection,1,app,5
129,key extraction,1,interpreting,5
130,disc model,1,translation,5
131,personalized recommendation,1,mobile devices,5
132,resource reasoning,1,fashion,5
133,recommender,1,outfit,5
134,smart mobile devices,1,watch face,5
135,head motions,1,design,5
136,tap-based authentication,1,kansei engineering,5
137,rhythm-based authentication,1,fall detection,5
138,diabetes,1,data synchronization,5
139,glucose sensor,1,wireless,5
140,smart watches and bracelets,1,wlan,5
141,e-coaching,1,ifa,5
142,textile antenna,1,mimo antennas,5
143,wireless power,1,smart items,5
144,energy,1,health care,5
145,power consumption,1,bpmn,5
146,arrhythmias,1,sensors,5
147,accuracy,1,cloud security,5
148,emotion recognition,1,malware,5
149,psychology,1,grayware,5
150,validation,1,device,5
151,electromyography(emg),1,management,5
152,gesture recognition,1,knowledge,5
153,human computer interaction,1,set of experience knowledge structure,5
154,instant video,1,cognitive deficiency,5
155,efficiency,1,reminder,5
156,received signal strength,1,autonomy,5
157,wifi signal,1,ethics,5
158,digital forensic investigation,1,smart spaces,5
159,smart ce forensics,1,authentic contexts,4
160,elastic fiber,1,efl learning,4
161,supercapacitors,1,positive emotions,4
162,wearable energy storage,1,e-coaching,4
163,visual attention,1,arrhythmias,4
164,active reading,1,accuracy,4
165,interaction design,1,validation,4
166,computer supported collaborative work,1,stroke,4
167,groupwork,1,goal setting,4
168,secondary displays,1,feedback,4
169,toddler,1,stream reasoning,4
170,electronic media,1,scada,4
171,hybrid nanogenerator,1,grid operations,4
172,human locomotion,1,hand gesture,4
173,wrist-watch,1,hand movement,4
174,bluetooth low energy (ble),1,robotic arm,4
175,seamless connectivity,1,supermarket,4
176,secure,1,indoor navigation,4
177,stroke,1,5g,4
178,goal setting,1,high gain,4
179,feedback,1,mimo,4
180,qfd,1,haptic feedback,4
181,hoq diagram,1,blood oxygen saturation,4
182,mobility management,1,pulsatile,4
183,clustering,1,photosensors,4
184,testbed,1,compliance ratio,4
185,measurements,1,smart cities,4
186,arduino,1,smart towns,4
187,smart lighting control,1,contact,4
188,oblivious mobile sensors,1,urticaria,4
189,internet-of-things,1,apple,4
190,text reading,1,fitness trackers,4
191,rsvp,1,physiologic,4
192,robot interaction,1,motor activity,4
193,lighter-than-air (lta),1,activities of,4
194,stream reasoning,1,assisstive technology,4
195,scada,1,mobile system,4
196,grid operations,1,multimedia,4
197,amc,1,experimental,4
198,assistive-technology,1,consumer health,4
199,instant feedback,1,health behavior,4
200,teaching,1,android vulnerabilities,4
201,user-study,1,owasp,4
202,hand gesture,1,android things,4
203,hand movement,1,osvdb,4
204,robotic arm,1,android security,4
205,supermarket,1,evaluation,4
206,indoor navigation,1,immersion,4
207,e-healthcare,1,google cardboard,4
208,hiring doctors,1,user comfort,4
209,budget,1,arrhythmia,4
210,truthful,1,multi-parameter,4
211,5g,1,electrocardiography,4
212,high gain,1,blood,4
213,mimo,1,deep learning,4
214,database,1,classification,4
215,video chat,1,human behavior,4
216,virtual space sharing,1,wlan mimo,4
217,drama,1,power management,4
218,historical information,1,dmips,4
219,smart sport equipment feedback system,1,task offloading,4
220,watersports,1,cloud service,4
221,clothing,1,video-on-demand,4
222,preference,1,hdfs,4
223,consumer,1,electromagnetic radiation,4
224,mosquito,1,socio-technical analysis,4
225,wearable sensing,1,bundling,4
226,mobile computing,1,n-screen,4
227,task outsourcing,1,activity of daily living,4
228,ambient intelligence,1,botnets,4
229,smart workplace,1,mobile botnets,4
230,smart technologies,1,android botnets,4
231,blood oxygen saturation,1,static technique,4
232,pulsatile,1,detection,4
233,photosensors,1,public open spaces,4
234,compliance ratio,1,cyberpark,4
235,chronic obstructive pulmonary disease,1,mediated spaces,4
236,long-acting beta 2-agonist,1,urban and landscape,4
237,smart cities,1,cryptography,4
238,smart towns,1,constrained devices,4
239,all-solid-state battery,1,internet,4
240,flexible battery,1,data security,4
241,piezo-electrolyte,1,point of view,4
242,multimodal interaction,1,general framework,4
243,touch input,1,iot (internet of things),4
244,smart watch input,1,connectivity,4
245,ultraviolet (uv) measurement,1,controller,4
246,contact,1,recommenders,4
247,urticaria,1,collaborative filtering,4
248,apple,1,werable device,4
249,choice,1,watch antenna,4
250,engineering ethics,1,loop antenna,4
251,empirical ethics,1,human-body model,4
252,health technology,1,content recommenders,4
253,portable navigation,1,data mining,4
254,heading misalignment angle estimation,1,smart bracelet,4
255,seamless screen switching,1,multitasking,4
256,n-screen services,1,uses and,4
257,context awareness,1,body,4
258,fitness trackers,1,electronic games,4
259,physiologic,1,video history,4
260,motor activity,1,exergames,4
261,activities of,1,leisure,4
262,adolescents,1,texting,4
263,physical and psychosocial outcomes,1,game,4
264,assisstive technology,1,inattention,4
265,mobile system,1,laboratory experiment,4
266,multimedia,1,eye tracking,4
267,experimental,1,small devices,4
268,organic optical data storage,1,small displays,4
269,multi-wavelength led light,1,pursuits,4
270,excimer laser,1,ontology,4
271,decision tree,1,video,4
272,ubiquitous computing,1,recommendation system,4
273,dysarthria,1,neural network,4
274,k-means clustering,1,perceived exertion,4
275,consumer health,1,borg-rpe-scale,4
276,health behavior,1,android wear,4
277,data extraction,1,input,4
278,data transfusion,1,smart metering,4
279,risk assessment,1,game theory,4
280,home security,1,google,4
281,pir sensor,1,wristwatch,4
282,raspberry pi,1,watchmaking,4
283,bioelectrical signals,1,ethical gold,4
284,discrete wavelet transform,1,brand heritage,4
285,fitness bands,1,complexity,4
286,cardiovascular diseases,1,smartwatch2,4
287,public health,1,smart extension apis,4
288,android vulnerabilities,1,password protectio,4
289,owasp,1,human dynamics,4
290,android things,1,human behaviours,4
291,osvdb,1,smart city,4
292,android security,1,power quality,4
293,evaluation,1,healthcare,4
294,immersion,1,system healthcare,4
295,google cardboard,1,data collecting,4
296,user comfort,1,second screen,4
297,intel genuino 101,1,robot,4
298,lm35 temp sensor,1,smart lighting,4
299,pulse sensor,1,led,4
300,tv-viewing recognition,1,energy saving,4
301,video on demand,1,lighting,4
302,in-network service system,1,cbcl,4
303,smart router,1,development,4
304,edge device,1,kindergarten,4
305,fabrication,1,language,4
306,3d printing,1,smart kids,4
307,rapid prototyping,1,wrist watch,4
308,smart objects,1,domotics,4
309,electric potential sensors,1,interactive tv,4
310,electrocardiogram,1,iptv,4
311,heart,1,program recommendation,4
312,smart wristband,1,watermarking,4
313,bluetooth low energy,1,mpeg-4,4
314,assessments,1,ipmp,4
315,crowdsourcing,1,video fruition,4
316,qti,1,smart card certification,4
317,mqtt,1,multicast delivery,4
318,smart merter,1,pay-per-view,4
319,monitoring system,1,pay-as-you-watch,4
320,aged person,1,micropayments,4
321,emotion-recognition,1,online claw machine,3
322,quantified self,1,delay,3
323,health informatics,1,interactive,3
324,mobile health (mhealth),1,real-time streaming system,3
325,wireless health systems,1,framework,3
326,ecological momentary,1,mobile applications,3
327,arrhythmia,1,service computing,3
328,gesture input,1,self-adaptive systems,3
329,microgesture,1,telecare,3
330,human-computer interaction,1,wireless biosensor,3
331,multi-parameter,1,peer-to-peer communication,3
332,electrocardiography,1,blind code,3
333,blood,1,real-time video,3
334,e-health,1,p2p multimedia,3
335,software defined networks,1,video index,3
336,sdn,1,brain wave,3
337,mec,1,eeg,3
338,trajectory,1,drowsiness,3
339,trajectory compressing,1,driving habit,3
340,survey,1,disc model,3
341,tv boxes,1,personalized recommendation,3
342,home entertainment,1,resource reasoning,3
343,notification,1,recommender,3
344,android devise,1,smart mobile devices,3
345,deep learning,1,head motions,3
346,classification,1,textile antenna,3
347,human behavior,1,wireless power,3
348,skin temperature,1,energy,3
349,transparent antenna,1,power consumption,3
350,invisible antenna,1,emotion recognition,3
351,wifi antenna,1,psychology,3
352,dual-band antenna,1,visual attention,3
353,augmented input,1,active reading,3
354,everyday technology,1,interaction design,3
355,electric vehicles,1,toddler,3
356,design optimisation,1,electronic media,3
357,coil,1,hybrid nanogenerator,3
358,sign language,1,human locomotion,3
359,dynamic time warping,1,wrist-watch,3
360,anomaly detection,1,bluetooth low energy (ble),3
361,people activity recognition,1,seamless connectivity,3
362,telecare system,1,secure,3
363,wireless bio-sensor,1,mobility management,3
364,wristwatch-type device,1,clustering,3
365,synchronization databases,1,amc,3
366,data exchange,1,assistive-technology,3
367,smart wearables,1,instant feedback,3
368,smart clothing,1,teaching,3
369,wlan mimo,1,user-study,3
370,smart-watch antennas,1,e-healthcare,3
371,multiband antennas,1,hiring doctors,3
372,ifa antenna,1,budget,3
373,power management,1,truthful,3
374,dmips,1,drama,3
375,task offloading,1,historical information,3
376,cloud service,1,clothing,3
377,video-on-demand,1,preference,3
378,hdfs,1,consumer,3
379,h.5.2 [information interfaces]: information interfaces,1,mosquito,3
380,and,1,wearable sensing,3
381,behavior intervention,1,mobile computing,3
382,eating activity detection,1,task outsourcing,3
383,lifestyle,1,multimodal interaction,3
384,smart glass,1,touch input,3
385,first-person view (fpv),1,smart watch input,3
386,synchronized fpv video,1,choice,3
387,ambient-assisted living (aal),1,engineering ethics,3
388,indoor positioning,1,empirical ethics,3
389,rehabilitation,1,health technology,3
390,virtual reality image,1,decision tree,3
391,flight attendants,1,ubiquitous computing,3
392,situation awareness,1,dysarthria,3
393,crew resource,1,k-means clustering,3
394,electroluminescence,1,data extraction,3
395,electroluminescent devices,1,data transfusion,3
396,e-textiles,1,risk assessment,3
397,printed,1,home security,3
398,smart mobile device,1,pir sensor,3
399,tablet,1,raspberry pi,3
400,stylus,1,fitness bands,3
401,app,1,cardiovascular diseases,3
402,interpreting,1,public health,3
403,translation,1,intel genuino 101,3
404,electromagnetic radiation,1,lm35 temp sensor,3
405,health intervention,1,pulse sensor,3
406,translational research,1,tv-viewing recognition,3
407,rgb-d,1,video on demand,3
408,hierarchical structure,1,in-network service system,3
409,heart rate (hr),1,smart router,3
410,photoplethysmography (ppg),1,edge device,3
411,motion artifacts (ma),1,fabrication,3
412,respiratory rate,1,3d printing,3
413,adaptive iir notch filter,1,rapid prototyping,3
414,copd - management,1,smart objects,3
415,exercise,1,electric potential sensors,3
416,materials,1,electrocardiogram,3
417,asymmetric supercapacitors,1,heart,3
418,socio-technical analysis,1,smart wristband,3
419,bundling,1,bluetooth low energy,3
420,n-screen,1,quantified self,3
421,atrial fibrillation detection,1,health informatics,3
