,Keyword_1,frequency,Keyword_2,degreee
0,social media,5,social media,16
1,communication,4,communication,13
2,facebook,2,innovation,9
3,twitter,2,facebook,7
4,uses and gratifications,2,twitter,6
5,innovation,2,uses and gratifications,6
6,mobile,1,sport,5
7,fan identification,1,media,5
8,second screen,1,networked media sport,5
9,snapchat,1,experience,5
10,sport,1,memory,5
11,media,1,television,5
12,networked media sport,1,amazon mechanical turk,5
13,experience,1,internet,5
14,memory,1,online,5
15,television,1,web,5
16,college athletics,1,data collection,5
17,new media,1,research,5
18,temporary organisation,1,networks,5
19,project management,1,communication channels,5
20,project communication management,1,ties,5
21,call centres,1,alliances,5
22,principal,1,product,5
23,dynamic reinforcement,1,mobile,4
24,solitude,1,fan identification,4
25,crowdsourcing,1,second screen,4
26,online research,1,snapchat,4
27,mechanical turk,1,college athletics,4
28,social network sites,1,new media,4
29,information,1,information,4
30,projects,1,projects,4
31,temporary systems,1,temporary systems,4
32,effectuation,1,temporary organisation,3
33,amazon mechanical turk,1,project management,3
34,internet,1,project communication management,3
35,online,1,call centres,3
36,web,1,principal,3
37,data collection,1,dynamic reinforcement,3
38,research,1,solitude,3
39,networks,1,social network sites,3
40,communication channels,1,media theory,3
41,ties,1,media capabilities,3
42,alliances,1,media richness,3
43,product,1,collaboration,3
44,media theory,1,crowdsourcing,2
45,media capabilities,1,online research,2
46,media richness,1,mechanical turk,2
47,collaboration,1,effectuation,2
48,coordination,1,coordination,2
49,roles,1,roles,2
50,temporary organizations,1,temporary organizations,2
