,Keyword_1,frequency,Keyword_2,degreee
0,drone,19,drone,74
1,uav,11,uav,46
2,apis mellifera,10,apis mellifera,36
3,remote sensing,9,remote sensing,32
4,drones,8,drones,29
5,varroa jacobsoni,8,varroa jacobsoni,24
6,precision agriculture,7,precision agriculture,20
7,agriculture,5,agriculture,20
8,honey bee,4,hyperspectral,13
9,apis cerana,4,honey bee,13
10,hyperspectral,3,apis cerana,13
11,photogrammetry,3,photogrammetry,12
12,pollination,3,pollination,12
13,unmanned aerial vehicles,3,multispectral,11
14,unmanned aerial system,2,honey bees,10
15,honey bees,2,queens,10
16,queens,2,uas,9
17,gis,2,machine learning,8
18,agricultural robotics,2,unmanned aerial vehicles,8
19,machine learning,2,honeybee,8
20,invasive species,2,gis,7
21,measurement,2,disease,7
22,unmanned aerial,2,vegetation,7
23,multispectral,2,agricultural robotics,6
24,internet of things,2,measurement,6
25,deep learning,2,bees,6
26,disease,2,ndvi,6
27,agricultural,2,vi,6
28,bees,2,exiff,6
29,vegetation,2,fertilizers,6
30,multispectral image,2,ovary activation,6
31,uas,2,sensor,6
32,ovary activation,2,multisensor,6
33,honeybee,2,thermal,6
34,glyphosate,1,imagery,6
35,ampa,1,small,6
36,no-till,1,unmanned aerial system,5
37,soil and water quality,1,reproduction,5
38,applicators,1,seminal fluid,5
39,surface waters,1,pathogens,5
40,image processing,1,random,5
41,structure from motion (sfm),1,invasive species,5
42,reproduction,1,unmanned aerial,5
43,seminal fluid,1,cots,5
44,pathogens,1,satellite imagery,5
45,field robotics,1,imaging sensor,5
46,sensing system,1,internet of things,5
47,agriculture robot,1,deep learning,5
48,image,1,neonicotinoids,5
49,belgium,1,pollen quality,5
50,crop damage,1,stressors,5
51,geobia,1,bee health,5
52,geographic object-based image analysis,1,rapeseed,5
53,agriculture supply chain,1,review,5
54,gis analytics,1,genomics,5
55,big data analytics,1,breeding,5
56,internet of,1,cultivation,5
57,woody crop,1,mechanization,5
58,crown segmentation,1,multispectral image,5
59,orchard architecture,1,exploration,5
60,volume,1,processing,5
61,ragweed,1,spermatozoa,5
62,remote detection,1,viability,5
63,remote exploration,1,germplasm,5
64,weeds,1,glyphosate,4
65,honey bee health,1,ampa,4
66,nosema apis,1,no-till,4
67,thiamethoxam,1,soil and water quality,4
68,encapsulation response,1,field robotics,4
69,textural region,1,sensing system,4
70,bayesian estimation,1,agriculture robot,4
71,gaussian noise,1,image,4
72,virtual orchards,1,woody crop,4
73,digital,1,crown segmentation,4
74,random,1,orchard architecture,4
