,Keyword_1,frequency,Keyword_2,degreee
0,fmri,22,fmri,87
1,network,21,functional connectivity,41
2,functional connectivity,13,network,27
3,schizophrenia,8,connectivity,27
4,meta-analysis,7,schizophrenia,24
5,connectivity,7,meta-analysis,23
6,resting state,6,resting state,22
7,association,5,brain,19
8,cerebral cortex,5,cortex,18
9,resting-state fmri,5,tractography,18
10,depression,5,diffusion mri,17
11,neuroimaging,5,neuroimaging,16
12,brain,5,cerebral cortex,15
13,diffusion mri,5,hippocampus,15
14,tractography,5,depression,15
15,hippocampus,4,dti,15
16,quantitative susceptibility mapping,4,eeg,14
17,connectome,4,aging,14
18,alzheimer's disease,4,mri,14
19,cortex,4,connectome,13
20,diffusion tensor imaging,4,pet,13
21,aging,4,alzheimer's disease,13
22,mri,4,resting-state fmri,12
23,consciousness,3,diffusion imaging,12
24,deep learning,3,brain mapping,12
25,white matter,3,association,11
26,functional magnetic resonance imaging,3,white matter,11
27,stroke,3,graph theory,11
28,development,3,resting,11
29,pet,3,myelin,11
30,graph theory,3,susceptibility mapping,11
31,eeg,3,human,11
32,emotion,3,development,10
33,mvpa,3,diffusion tensor imaging,10
34,magnetic resonance imaging,3,mvpa,10
35,structural connectivity,3,brain iron,10
36,diffusion imaging,3,phase imaging,10
37,resting,3,iron,10
38,dti,3,consciousness,9
39,brain iron,3,empathy,9
40,myelin,3,deep learning,9
41,phase imaging,3,stroke,9
42,brain mapping,3,neuroanatomy,9
43,susceptibility mapping,3,emotion,9
44,iron,3,reward,8
45,human,3,functional magnetic resonance imaging,8
46,reward,2,parallel imaging,8
47,empathy,2,database,8
48,de-novo mutations,2,topography,8
49,gliomas,2,magnetic resonance imaging,8
50,skull base,2,structural connectivity,8
51,parallel imaging,2,evolution,8
52,prefrontal cortex,2,cognition,8
53,classification,2,quantitative susceptibility mapping,7
54,brain networks,2,skull base,7
55,network neuroscience,2,prefrontal cortex,7
56,connectomics,2,classification,7
57,medial prefrontal cortex,2,brain networks,7
58,database,2,connectomics,7
59,cognitive control,2,attenuation correction,7
60,neuroanatomy,2,brain anatomy,7
61,topography,2,network neuroscience,6
62,arrays,2,cognitive control,6
63,functional magnetic resonance,2,default mode network,6
64,image segmentation,2,brain development,6
65,default mode network,2,altruism,5
66,networks,2,prosocial,5
67,brain development,2,morphometry,5
68,resting-state,2,empathic concern,5
69,state functional,2,moral,5
70,evolution,2,anatomy,5
71,graph,2,ad,5
72,attenuation correction,2,mci,5
73,functional connectomes,2,segmentation,5
74,identification,2,omics,5
75,functional,2,bioinformatics,5
76,brain anatomy,2,databases,5
77,cognition,2,genomics,5
78,multivariate decoding,1,transcriptomics,5
79,multivariate analysis,1,proteomics,5
80,multivariate pattern,1,antidepressant,5
81,eeg microstates,1,enantiomer,5
82,resting state networks,1,erk,5
83,psychiatric,1,mtor,5
84,apathy,1,(r)-ketamine,5
85,motivation,1,(s)-ketamine,5
86,decision making,1,anterior cingulate,5
87,anterior cingulate cortex,1,inflammation,5
88,nonalcoholic fatty liver disease,1,microglia,5
89,mitophagy,1,suicide,5
90,bnip3,1,generative model,5
91,sirt3,1,bayesian,5
92,erk-creb,1,model selection,5
93,altruism,1,model,5
94,prosocial,1,dopamine,5
95,morphometry,1,pet imaging,5
96,empathic concern,1,striatum,5
97,moral,1,model based,5
98,affect sharing,1,model free,5
99,prosocial motivation,1,instrumental,5
100,lesion model,1,pavlovian,5
101,voxel-based,1,cognitive map,5
102,nucleus rna-seq,1,outcome,5
103,neuronal subtypes,1,glioblastoma,5
104,disease,1,survival,5
105,brain waves,1,prognosis,5
106,electroencephalography,1,radiotherapy,5
107,motor,1,chemotherapy,5
108,gamma knife,1,tumor,5
109,stereotactic radiosurgery,1,functional magnetic resonance,5
110,vestibular schwannoma,1,image segmentation,5
111,convolutional neural networks,1,networks,5
112,mrac,1,resting-state,5
113,synthetic ct,1,neural decoding,5
114,brain parcellation,1,rsa,5
115,resting-state functional mri,1,hyperalignment,5
116,anatomy,1,population response,5
117,ad,1,meg/eeg,5
118,mci,1,twins,5
119,segmentation,1,behavior,5
120,monkey striate cortex,1,complex,5
121,attention,1,small world,5
122,attentional capture,1,graph,5
123,visual selective attention,1,erp,5
124,priming,1,source localization,5
125,parkinson disease,1,frequency,5
126,noradrenaline transporter,1,functional,5
127,c-11-mener,1,cingulate,5
128,positron,1,cingulate cortex,5
129,affection,1,premotor cortex,5
130,intensity,1,decision,5
131,omics,1,extreme capsule,5
132,bioinformatics,1,language networks,5
133,databases,1,arcuate fascicle,5
134,genomics,1,extreme,5
135,transcriptomics,1,age,5
136,proteomics,1,plasticity,5
137,chemical imaging,1,learning,5
138,raman spectroscopy,1,voxel-based morphometry,5
139,handheld microscope,1,apathy,4
140,stuttering,1,motivation,4
141,resting state fmri,1,decision making,4
142,intrinsic connectivity networks,1,anterior cingulate cortex,4
143,default,1,nonalcoholic fatty liver disease,4
144,ld score regression,1,mitophagy,4
145,reconstruction algorithms,1,bnip3,4
146,dipole,1,sirt3,4
147,context updating,1,erk-creb,4
148,executive function,1,affect sharing,4
149,information theory,1,prosocial motivation,4
150,p300,1,lesion model,4
151,task-set,1,voxel-based,4
152,surface-based cortical registration,1,de-novo mutations,4
153,longitudinal registration,1,context updating,4
154,neonatal,1,executive function,4
155,episodic autobiographical memory,1,information theory,4
156,individual differences,1,p300,4
157,inflammasome,1,task-set,4
158,nlrp,1,inflammasome,4
159,neuronal cell death,1,nlrp,4
160,nuclear factor kappa b,1,neuronal cell death,4
161,thrombectomy,1,nuclear factor kappa b,4
162,blood pressure,1,gliomas,4
