,Keyword_1,frequency,Keyword_2,degreee
0,genome editing,28,genome editing,105
1,crispr,18,crispr,78
2,cas9,16,cas9,65
3,crispr/cas9,15,crispr/cas9,55
4,rna,13,rna,30
5,crispr-cas9,6,crispr-cas9,21
6,gene editing,5,genome engineering,18
7,genome engineering,5,gene editing,17
8,gene targeting,4,breeding,15
9,breeding,3,talens,13
10,molecular biology,3,gene,11
11,gene,3,gene targeting,11
12,talens,3,crops,10
13,crispr/cas,3,dcas9,10
14,dna,2,immunity,9
15,crops,2,plants,9
16,immunity,2,crispr/cas,9
17,plants,2,targeted,9
18,zfn,2,zfn,8
19,talen,2,talen,8
20,homologous recombination,2,homologous recombination,8
21,mutation,2,mutation,8
22,dcas9,2,molecular biology,7
23,arabidopsis-thaliana,2,dna cleavage,7
24,directed mutagenesis,2,dna,6
25,dna cleavage,2,cas9/sgrna,6
26,crisprcas,2,plant genome editing,6
27,homologous,2,ge crops,6
28,targeted,2,rgens,6
29,cpf1,1,npbts,6
30,single cpf1 crrna array,1,cpf1,5
31,tomato,1,single cpf1 crrna array,5
32,gaba,1,cas,5
33,metabolic engineering,1,gene targeting (gt),5
34,gene delivery,1,efficient,5
35,polyelectrolyte microcapsules,1,multiplex,5
36,cotton,1,mutants,5
37,allotetraploid,1,stress resistance,5
38,high-throughput,1,yield,5
39,chimeric antigen receptor t cells,1,grna,5
40,cart,1,knock-in,5
41,immunotherapy,1,structure,5
42,adoptive t cell,1,mechanism,5
43,cleavage,1,off-target,5
44,wheat,1,arabidopsis-thaliana,5
45,tadreb2,1,directed mutagenesis,5
46,taerf3,1,crisprcas,5
47,cas,1,gmo,5
48,gene targeting (gt),1,regulations,5
49,prediction,1,society,5
50,gene therapy,1,plant,5
51,lipids and lipoprotein metabolism,1,tracrrna,5
52,hexaploid wheat,1,crispr-cas,5
53,triticum aestivum l.,1,type ii system,5
54,xanthomonas citri,1,cas9 (csn1),5
55,sgrna,1,rna processing,5
56,citrus paradisi,1,bacteriophage,5
57,antisense oligonucleotide,1,cas gene,5
58,clinical trial,1,interference,5
59,endonuclease,1,typing,5
60,specificity,1,starter culture,5
61,complex,1,tomato,4
62,oleic acid,1,gaba,4
63,camelina,1,metabolic engineering,4
64,fad2,1,cotton,4
65,efficient,1,allotetraploid,4
66,multiplex,1,high-throughput,4
67,mutants,1,wheat,4
68,synthetic dna nucleases,1,tadreb2,4
69,insect,1,taerf3,4
70,application,1,antisense oligonucleotide,4
71,best practice,1,clinical trial,4
72,biosafety,1,endonuclease,4
73,crispr/cas9 engineering,1,specificity,4
74,nanoparticle,1,complex,4
75,bioink,1,insect,4
76,bioprinting,1,application,4
77,hydrogels,1,best practice,4
78,cell aggregates,1,biosafety,4
79,microcarriers,1,crispr/cas9 engineering,4
80,stress resistance,1,nanoparticle,4
81,yield,1,bioink,4
82,genome editing technology,1,bioprinting,4
83,crispr-cpf1,1,hydrogels,4
84,unnatural base pair,1,cell aggregates,4
85,dna replication,1,microcarriers,4
86,nucleotide,1,genome editing technology,4
