,Keyword_1,frequency,Keyword_2,degreee
0,collaboration,26,collaboration,81
1,mobile collaboration,26,mobile collaboration,62
2,mobile computing,18,mobile computing,48
3,mobile,9,mobile,27
4,mobile devices,6,mobile devices,20
5,mobile learning,5,mobile learning,16
6,cloud computing,4,cloud computing,11
7,middleware,4,social networks,11
8,security,3,collaborative,11
9,social networks,3,cscw,11
10,collaborative,3,security,10
11,cscw,3,middleware,10
12,wireless networks,3,web service,10
13,wiki,3,authenticity,9
14,context-awareness,3,wireless networks,8
15,mobile collaboration computing,3,context-awareness,8
16,mobility,3,mobility,8
17,mobile social networks,2,ad-hoc,8
18,authenticity,2,learning,7
19,learning,2,crowdsourcing,7
20,mobile applications,2,linked data,7
21,task allocation,2,html5,7
22,traffic balancing,2,performance,7
23,mobile social network,2,task allocation,6
24,mobile film,2,traffic balancing,6
25,mobile collaborative,2,mobile social network,6
26,crowdsourcing,2,mobile technology,6
27,mobile technology,2,wiki,6
28,ubiquitous collaboration,2,manet,6
29,linked data,2,mobile collaboration computing,6
30,html5,2,remote collaboration,6
31,web,2,resource,6
32,manet,2,ebooks,5
33,performance,2,education,5
34,device collaboration,2,ipads,5
35,coordination patterns,2,mobile applications,5
36,group collaboration,2,ubiquitous collaboration,5
37,remote collaboration,2,virtual reality (vr),5
38,service composition,2,virca,5
39,resource,2,eeg,5
40,web services,2,ecg,5
41,web service,2,eye-tracking,5
42,user group model,2,web,5
43,service-oriented mobile units,2,device collaboration,5
44,ad-hoc,2,service composition,5
45,collaboration services,2,framework,5
46,home servers,2,service,5
47,malicious behavior detection,1,uddi,5
48,trust and,1,messenger,5
49,usability testing,1,software agent,5
50,cooperative application,1,co-learn,5
51,3d mobile,1,collaborated,5
52,ebooks,1,pervasive,5
53,education,1,life long,5
54,ipads,1,mobile social networks,4
55,privacy,1,privacy,4
56,fog computing,1,fog computing,4
57,mobile edge,1,mobile edge,4
58,caching performances,1,personalization,4
59,collaborative mobile learning,1,teacher,4
60,decision-making tool,1,mobile film,4
61,ad-hoc based collaboration,1,mobile collaborative,4
62,mobile server,1,tabletop,4
63,value-focused thinking,1,multi-mobile system,4
64,mobile commerce,1,interactivity,4
65,mobile commerce applications,1,bezel,4
66,bibliometric analysis,1,scientometric analysis,4
67,resource collaboration,1,author productivity,4
68,inter-cell interference coordination,1,rgr,4
69,personalization,1,dt,4
70,teacher,1,co2 capture,4
71,communication,1,dry adsorbent,4
72,instant messaging application,1,carbon materials,4
73,android,1,zeolite,4
74,interactive collaboration,1,silica,4
75,program,1,smart city,4
76,user collaboration scheme,1,apps,4
77,multimedia application,1,handheld devices,4
78,positioning techniques,1,video,4
79,mobile interactions,1,smart home,4
80,collocated ad-hoc collaboration,1,home collaboration,4
81,multi-mobile devices,1,home activity,4
82,tabletop,1,ubiquitous service,4
83,multi-mobile system,1,home,4
84,interactivity,1,coordination patterns,4
85,bezel,1,group collaboration,4
86,interactive surfaces,1,cartography,4
87,large display walls,1,mobile mapping,4
88,tabletops,1,collaboration model,4
89,indoor positioning,1,mobile device,4
90,social collaboration,1,user,4
91,ils,1,web services,4
92,indoor localization,1,user group model,4
93,wi-fi fingerprinting,1,service-oriented mobile units,4
94,localization techniques,1,collaborative systems,4
95,scientometric analysis,1,cell phones,4
96,author productivity,1,web 2.0,4
97,rgr,1,soap infoset,4
98,dt,1,xgsp,4
99,information seeking,1,audio/video,4
100,user studies,1,collaboration services,4
101,information infrastructure,1,home servers,4
102,theory,1,mobile colllaboration,4
103,mobile phone sensing,1,adaptability,4
104,cross-space sensing and mining,1,mcws,4
105,mobile payment,1,usability testing,3
106,collective action,1,cooperative application,3
107,banks,1,3d mobile,3
108,telecom operators,1,communication,3
109,security and privacy,1,instant messaging application,3
110,delay tolerant network,1,android,3
111,vanets,1,interactive collaboration,3
112,co2 capture,1,program,3
113,dry adsorbent,1,interactive surfaces,3
114,carbon materials,1,large display walls,3
115,zeolite,1,tabletops,3
116,silica,1,indoor positioning,3
117,interactive shared whiteboard,1,social collaboration,3
118,body sensor networks,1,ils,3
119,spine,1,mobile payment,3
120,collaborative computing,1,collective action,3
121,multi-sensor data,1,banks,3
122,peer-to-peer,1,telecom operators,3
123,collaborative editing,1,security and privacy,3
124,cloud,1,delay tolerant network,3
125,cardiopulmonary resuscitation(cpr),1,vanets,3
126,mobile health,1,interactive shared whiteboard,3
127,machine to,1,body sensor networks,3
128,virtual reality (vr),1,spine,3
129,virca,1,collaborative computing,3
130,eeg,1,multi-sensor data,3
131,ecg,1,peer-to-peer,3
132,eye-tracking,1,collaborative editing,3
133,m-learning,1,cloud,3
134,behavioral intention,1,m-learning,3
135,technology adoption,1,behavioral intention,3
136,human computation games,1,technology adoption,3
137,location-based content,1,distributed applications,3
138,mobile multiplayer,1,service scalability,3
139,distributed applications,1,collaborative memory,3
140,service scalability,1,memory aid,3
141,smart city,1,counseling,3
142,apps,1,pedagogical issues,3
143,collaborative memory,1,secondary education,3
144,memory aid,1,elementary,3
145,counseling,1,awareness,3
146,scientific mobile infrastructures,1,design case study,3
147,digital collaboration,1,emergency management,3
148,handheld devices,1,caching,3
149,video,1,d2d communication,3
150,pedagogical issues,1,video streaming,3
151,secondary education,1,mhealth,3
152,elementary,1,telemedicine,3
153,authentication,1,access to healthcare services,3
154,ubiquitous convergence,1,africa,3
155,awareness,1,green networking,3
156,design case study,1,mobile operator collaboration,3
157,emergency management,1,energy saving,3
158,real-time collaboration,1,sleeping,3
159,augmented reality,1,location-based crowdsourcing,3
160,mobile multimedia,1,lbcs,3
161,multi-touch,1,e-business,3
162,caching,1,enterprise,3
163,d2d communication,1,mobile collaboration technologies,3
164,video streaming,1,mobile learning in higher education,3
165,mobile video production,1,social media,3
166,collaboration prototyping,1,ad-hoc networks,3
167,field studies,1,vanet,3
168,mhealth,1,multi-uav,3
169,telemedicine,1,mobile group,3
170,access to healthcare services,1,fuzzy measurement,3
171,africa,1,access control,3
172,green networking,1,cross domain authentication,3
173,mobile operator collaboration,1,authorization,3
174,energy saving,1,n-screen,3
175,sleeping,1,web browser extension,3
176,location-based crowdsourcing,1,trust management,3
177,lbcs,1,mobile ad hoc networks,3
178,information granularity,1,cognitive,3
179,resource semantic,1,bim,3
180,location-based services,1,remote gestures,3
181,collaboration evaluation,1,augmented,3
182,quality of service,1,concurrency control,3
183,social networking application,1,data consistency,3
184,user collaboration framework,1,health information technologies,3
185,web collaboration,1,ehealth,3
186,software engineering methodology,1,health communication,3
187,mobile service,1,behavior,3
188,e-business,1,mixed reality,3
189,enterprise,1,3d applications,3
190,mobile collaboration technologies,1,advanced visualization,3
191,bioinformatics,1,remote,3
192,tumor board,1,group,3
193,smart home,1,lamoc,3
194,home collaboration,1,children,3
195,home activity,1,collaborative configurations,3
196,ubiquitous service,1,epidemiology investigation,3
197,home,1,wenchuan earthquake,3
198,mobile learning in higher education,1,pda,3
199,social media,1,ajax,3
200,hessian eigenmaps and support vector machines,1,mobile meeting,3
201,manifold,1,phone platform capabilities,3
202,ad-hoc networks,1,remote file access,3
203,vanet,1,context elements,3
