,Keyword_1,frequency,Keyword_2,degreee
0,neuromorphic,36,neuromorphic,116
1,neuromorphic computing,26,neuromorphic computing,70
2,memristor,16,memristor,59
3,neuromorphic engineering,10,neuromorphic engineering,28
4,neural network,8,neural network,20
5,neuromorphic system,5,analog vlsi,16
6,analog vlsi,5,vlsi,16
7,address-event representation (aer),5,fpga,15
8,memristors,4,memristors,13
9,spiking neural networks,4,selective attention,13
10,fpga,4,rram,12
11,cognitive computing,4,neuromorphic system,12
12,neural networks,4,cmos,12
13,vlsi,4,stdp,12
14,vision chip,4,crossbar array,12
15,selective attention,4,spiking neural networks,11
16,rram,3,neuron,11
17,neuromorphic architecture,3,cognitive computing,11
18,machine learning,3,vision chip,11
19,asynchronous,3,address-event,11
20,spiking neural,3,spiking neural,10
21,cmos,3,neuromorphic circuits,10
22,truenorth,3,neural networks,10
23,neuromorphic circuits,3,machine learning,9
24,address event representation (aer),3,asynchronous,9
25,brain-inspired computing,3,brain-inspired computing,9
26,stdp,3,robotics,9
27,crossbar array,3,spiking neurons,9
28,robotics,3,address-event representation (aer),9
29,spiking neurons,3,neuromorphic architecture,8
30,address-event,3,truenorth,8
31,routing,2,design,8
32,on-chip learning,2,algorithms,8
33,spiking neural network,2,event-based,8
34,synaptic devices,2,winner-take-all,8
35,neuromorphic hardware,2,routing,7
36,address-event-representation,2,address-event-representation,7
37,energy efficiency,2,neuromorphics,7
38,neuromorphics,2,asic,7
39,accelerator,2,emulator,7
40,exponential function,2,ltd,7
41,cmos neurons,2,ltp,7
42,deep learning,2,synaptic plasticity,7
43,pattern recognition,2,tsv,7
44,neuron,2,mpsoc,7
45,electric-double-layer transistors,2,silicon,7
46,tsv,2,synapse,7
47,artificial neural networks,2,synaptic devices,6
48,beyond cmos,2,neuromorphic hardware,6
49,mpsoc,2,energy efficiency,6
50,silicon,2,cmos neurons,6
51,design,2,deep learning,6
52,neural,2,emerging memory,6
53,network-on-chip,2,reram,6
54,neuromorphic architectures,2,stt-mram,6
55,algorithms,2,pcm,6
56,unsupervised learning,2,nonvolatile,6
57,image processing,2,neural,6
58,event-based,2,network-on-chip,6
59,synapse,2,unsupervised learning,6
60,attention,2,image processing,6
61,central pattern generators,2,neuromorphic sensor,6
62,avlsi,2,on-chip learning,5
63,electronic nose,2,accelerator,5
64,neuromorphic sensor,2,exponential function,5
65,winner-take-all,2,pattern recognition,5
66,non volatile memory,1,beyond cmos,5
67,deep neural network,1,address event representation (aer),5
68,on-chip communication,1,neuromorphic architectures,5
69,emergent memory,1,emerging technologies,5
70,simulator,1,mnist,5
71,lut-based routing scheme,1,sneak path,5
72,resistive random-access memory (rram),1,weight,5
73,analog integrated circuits,1,aer,5
74,leaky integrate and fire,1,dvs,5
75,65nm,1,background activity,5
76,spike-timing-dependent,1,uncorrelated,5
77,sequence learning,1,deadlock,5
78,dynamic,1,multicast,5
79,biological band-pass filtering,1,router,5
80,silicon photonics,1,tree network,5
81,reservoir computing,1,attention,5
82,massive parallel,1,central pattern generators,5
83,discrete-event,1,avlsi,5
84,time warp,1,electronic nose,5
85,memristive device,1,on-chip communication,4
86,neuromorphic neuron,1,emergent memory,4
87,spike-driven learning,1,spiking neural network,4
88,3-d integration,1,cnn,4
89,bump,1,iot,4
90,fixed oxide charge,1,low power,4
91,membrane capacitance,1,piecewise linear functions,4
92,deep neural networks,1,image sensors,4
93,memristor crossbar,1,visual attention,4
94,neuromorphic platform,1,predictive coding,4
95,many-core soc,1,neuronal membrane,4
96,profiling methodology,1,mos capacitance,4
97,spiking,1,ion,4
98,brain-inspired,1,qubo,4
99,neuromorphic chip,1,binary optimization,4
100,silicon neurons,1,truenorth system,4
101,vison chip,1,graph,4
102,frame-driven,1,spinnaker2,4
103,design optimization,1,power management,4
104,electric habituation,1,dvfs,4
105,memristive synapses,1,synapses,4
106,monolayer mos2,1,neurons,4
107,learning systems,1,integrated circuit modeling,4
