,Keyword_1,frequency,Keyword_2,degreee
0,hadron-hadron scattering,6,ndn,10
1,delay-tolerant networks (dtns),5,delay-tolerant networks (dtns),9
2,hadron-hadron scattering (experiments),4,security,8
3,higgs physics,3,hadron-hadron scattering,7
4,security,3,delay tolerant networks,7
5,delay tolerant networks,3,dtns,7
6,beyond standard model,3,vehicular networks,7
7,catalogs,2,higgs physics,6
8,surveys,2,multicast,6
9,atlas,2,delay tolerant networking,6
10,working memory,2,selfish,6
11,supersymmetry,2,reputation based incentive,6
12,performance evaluation,2,cooperating stimulation,6
13,vehicular delay-tolerant networks,2,encounter prediction,6
14,multicast,2,connectivity,6
15,dtns,2,routing,6
16,delay tolerant networking,2,catalogs,5
17,epidemic routing,2,surveys,5
18,ndn,2,working memory,5
19,selfish,2,icesat-2,5
20,reputation based incentive,2,land ice,5
21,cooperating stimulation,2,sea ice,5
22,encounter prediction,2,vegetation,5
23,vehicular networks,2,climate change,5
24,connectivity,2,satellite,5
25,delay tolerant network (dtn),2,named data networking,5
26,routing,2,ip,5
27,delay-tolerant network,2,information centric networking,5
28,x-rays: general,1,icn,5
29,higgs boson,1,delay tolerant network (dtn),5
30,spin,1,delay-tolerant network,5
31,parity,1,atlas,4
32,underwater acoustic communication,1,supersymmetry,4
33,underwater sensor networks,1,performance evaluation,4
34,acoustic,1,beyond standard model,4
35,lhc,1,standards,4
36,heavy ion,1,disruption,4
37,jets,1,irtf,4
38,computational modeling,1,dtnrg,4
39,delay/disruption tolerant networks,1,capacity limits,4
40,intermittently connected networks,1,decay,4
41,large detector systems for particle and astroparticle physics,1,resources,4
42,large,1,interference,4
43,incentive scheme,1,epidemic routing,4
44,mobile data offloading,1,inter contact time,4
45,hybrid networks,1,clustering,4
46,wifi,1,hotspot area,4
47,delay-tolerant networks,1,aging,4
48,dark matter,1,frailty,4
49,delay- and disruption-tolerant networking (dtn),1,mortality,4
50,performance enhancing,1,complex network,4
51,astronomical databases: miscellaneous,1,computational model,4
52,x-rays:,1,hadron-hadron scattering (experiments),3
53,exotics,1,lhc,3
54,energy-efficient forwarding,1,heavy ion,3
55,future internet architecture survey,1,jets,3
56,future internet design (find),1,mobile data offloading,3
