,Keyword_1,frequency,Keyword_2,degreee
0,blood-brain barrier,13,mass spectrometry,36
1,mass spectrometry,10,blood-brain barrier,36
2,proteomics,8,proteomics,28
3,neurons,7,brain,28
4,brain,7,neurons,26
5,glioma,7,astrocytes,20
6,astrocytes,6,lactate,18
7,glioblastoma,5,glia,18
8,microglia,5,microglia,18
9,lactate,4,glioblastoma,16
10,lc-ms,4,lc-ms,16
11,glia,4,glioma,15
12,astrocyte,4,astrocyte,14
13,drug,3,neuron,13
14,neuroinflammation,3,glycolysis,11
15,liquid,3,drug,11
16,neuroscience,3,cell culture,11
17,alzheimer's disease,3,liquid,10
18,neuron,3,neuroscience,10
19,cell culture,3,mass,9
20,traumatic brain injury,3,actin,9
21,muscle,2,muscle,8
22,bdnf,2,metabolomics,8
23,neural progenitor cells,2,alzheimer's disease,8
24,proliferation,2,in vitro,8
25,zika virus,2,morphine,8
26,metabolomics,2,zika virus,7
27,phosphorylation,2,cancer stem cells,7
28,brain-derived neurotrophic factor,2,pharmacokinetics,7
29,endothelial cells,2,cns,7
30,mass,2,neuroinflammation,7
31,glycolysis,2,peptidomics,7
32,cancer stem cells,2,invasion,7
33,drug discovery,2,gfap,7
34,differentiation,2,drug delivery,7
35,glioblastoma multiforme,2,stem cells,7
36,imaging mass,2,bdnf,6
37,pharmacokinetics,2,neural progenitor cells,6
38,cns,2,proliferation,6
39,actin,2,phosphorylation,6
40,bbb,2,endothelial cells,6
41,issue 88,2,drug discovery,6
42,neural progenitor cell,2,glioblastoma multiforme,6
43,neural precursor cell,2,bbb,6
44,primary culture,2,issue 88,6
45,peptidomics,2,neural progenitor cell,6
46,in vitro,2,neural precursor cell,6
47,invasion,2,primary culture,6
48,gfap,2,drug metabolism,6
49,drug metabolism,2,neural stem cell,6
50,drug delivery,2,traumatic brain injury,6
51,neural stem cell,2,cd133,6
52,stem cells,2,facs,6
53,cd133,2,microarray,6
54,morphine,2,glutamate,6
55,migration,2,tca cycle,6
56,muscular contraction,1,migration,6
57,myocytes,1,chromatography,5
58,myokines,1,efavirenz,5
59,skeletal muscle mass,1,hiv,5
60,gts-201,1,differentiation,5
61,mimetic,1,imaging mass,5
62,dipeptide,1,lamin,5
63,neuroprotective activity,1,isoform,5
64,glial maturation factor beta,1,spliceoform,5
65,acute cerebral ischemia,1,label-free,5
66,lung injury,1,cell type,5
67,rna,1,oligodendrocyte,5
68,erk activation,1,secreted peptides,5
69,neurogenesis,1,ce-ms,5
70,development,1,dependence,5
71,cerebral cortex,1,nervous system,5
72,mitochondrial metabolism,1,proteome,5
73,perinatal,1,fetal human,5
74,algae,1,spinal cord,5
75,single cell,1,drebrin,5
76,liquid capture,1,stomach,5
77,laser,1,kidney,5
78,rna metabolism,1,epithelial cell,5
79,tight junction proteins,1,parietal cell,5
80,gliopeptide odn,1,antiserum,5
81,moderate oxidative stress,1,astroglia,5
82,reactive oxygen species,1,glutathione,5
83,odn,1,oligodendroglia,5
84,brain endothelial cells,1,muscular contraction,4
85,blood-brain barrier model,1,myocytes,4
86,ipsc,1,myokines,4
87,digoxin,1,skeletal muscle mass,4
88,maldi imaging,1,gts-201,4
89,nucleotide sugar,1,mimetic,4
90,udp-mannose,1,dipeptide,4
91,mannosylation,1,neuroprotective activity,4
92,lc-esi-ms/ms,1,algae,4
93,sugars,1,single cell,4
94,mammalian-cells,1,liquid capture,4
95,glycans,1,laser,4
96,glycosylation,1,digoxin,4
97,postmortem brain tissue,1,maldi imaging,4
98,schizophrenia,1,brain-derived neurotrophic factor,4
99,rat brain endothelial cell line (rbe-4) cells,1,copper,4
100,ammonia,1,manganese,4
101,3d cell culture,1,free radicals,4
102,organoids,1,sh-sy5y cells,4
103,quantitative proteomics,1,neuronal death,4
104,liquid-liquid extraction,1,in vitro blood brain barrier,4
105,gc-ms,1,mea,4
106,lithiumion battery (lib),1,neuronal network culture,4
107,organic,1,omics,4
108,brevibacillus choshinensis,1,serotonylation,4
109,biotinylation,1,transamidation,4
110,membrane proteins,1,transglutaminase,4
111,irradiation,1,fibrinogen,4
112,quantitative image analysis,1,kalirin,4
113,neuron transport rate,1,dendritic spine,4
114,quantitative phase,1,actin cytoskeleton,4
115,basement membrane,1,aging,4
116,invitro models,1,ethoxzolamide,4
117,caudal cell mass,1,uplc-ms/ms,4
118,secondary neural tube,1,absorption,4
119,neurosphere,1,moesin,4
120,neural progenitor,1,erm,4
121,alzheimer disease,1,phospho-erm,4
122,amyloid-p protein,1,extracellular proteins,4
123,amyloid-p,1,blood-spinal cord barrier,4
124,degradation fragments,1,teer,4
125,copper,1,angiogenesis,4
126,manganese,1,annexin a2,4
127,free radicals,1,edema disease,4
128,sh-sy5y cells,1,glycolipids,4
129,neuronal death,1,lipid rafts,4
130,chromatography,1,tlc,4
131,efavirenz,1,issue 73,4
132,hiv,1,neurobiology,4
133,genetic alterations,1,developmental biology,4
134,ecv304/c6 coculture,1,anatomy,4
135,bbb model,1,axon,4
136,rhubarb,1,branching,4
137,microfluidic device,1,cofilin,4
138,cns drugs,1,dendrite,4
139,drug permeability,1,neuronal development,4
140,brain cancer stem cell,1,biomarkers,4
141,hypoxia tolerance,1,tbi,4
142,brain tumors,1,ms-quantitation,4
143,tumor microenvironment,1,genomic instability,4
144,animal models,1,review,4
145,xenotransplantation,1,co-culture,4
146,magnesium homeostasis,1,transport,4
147,trpm7,1,glucose,4
148,in vitro blood brain barrier,1,malate-aspartate shuttle,4
149,mea,1,nadh,4
150,neuronal network culture,1,bile-duct-ligation,4
151,omics,1,phospholipid,4
152,arrays,1,phosphatidylglucoside,4
153,opiorphin,1,ms/ms,4
154,peptidase inhibitor,1,quantitative,4
155,brain endothelial,1,leukotrienes,4
156,serotonylation,1,neutrophils,4
157,transamidation,1,salinomycin,4
158,transglutaminase,1,monensin,4
159,fibrinogen,1,lc/ms/ms,4
160,kalirin,1,optimem cell culture medium,4
161,dendritic spine,1,mouse,4
162,actin cytoskeleton,1,human mesenchymal stem cells,4
163,aging,1,ms,4
164,ethoxzolamide,1,online scx-rp,4
165,uplc-ms/ms,1,prostaglandins,4
166,absorption,1,nmr spectroscopy,4
167,brain microvascular endothelial cells,1,pattern recognition,4
168,in vitro bbb,1,tumour,4
169,chlorinated fatty aldehyde,1,human,4
170,moesin,1,"indoleamine 2,3-dioxygenase",4
171,erm,1,synaptic transmission,4
172,phospho-erm,1,myosin,4
173,extracellular proteins,1,septins,4
174,angiotensin ii,1,vesicle transport,4
175,angiotensin peptides,1,signal,4
176,cath.a neurons,1,disulfide linker,4
177,neurodegenerative disease,1,liposomes,4
178,parkinson disease,1,gene delivery,4
179,maldi-tof imaging,1,plasmid dna,4
180,autoantibody,1,glial maturation factor beta,3
181,immunology,1,acute cerebral ischemia,3
182,central nervous system,1,lung injury,3
183,tetrahydroisoquinoline,1,rna,3
184,parkinson's disease,1,erk activation,3
185,aswagandha,1,neurogenesis,3
186,neurological disorder,1,development,3
187,hormone,1,cerebral cortex,3
188,growth-factor,1,mitochondrial metabolism,3
189,two-photon imaging,1,perinatal,3
