,Keyword_1,frequency,Keyword_2,degreee
0,car-to-car communication,16,car-to-car communication,51
1,vanet,13,vanet,48
2,car-to-car,9,car-to-car,33
3,car-to-car communications,6,wave,24
4,wave,5,mimo,23
5,mimo,5,antenna,20
6,car-to-car (c2c),4,measurement,17
7,antenna,4,car-to-car communications,16
8,ad-hoc networks,4,802.11p,15
9,vanets,4,vanets,15
10,802.11p,3,routing,14
11,routing,3,ad-hoc networks,14
12,vehicular networks,3,c2c,13
13,measurement,3,wave propagation,12
14,wave propagation,3,wifi,12
15,c2c,3,radar cross section,12
16,automotive,3,road safety,11
17,security,3,5g,11
18,radar cross section,3,propagation,10
19,vehicular communication,3,sdr,10
20,road safety,2,smart cars,10
21,c-its,2,ray-tracing,9
22,over-the-air,2,car-to-car (c2c),8
23,channel emulation,2,over-the-air,8
24,c2c communications,2,channel emulation,8
25,adas,2,adas,8
26,channel capacity,2,simulation,8
27,propagation,2,v2x,8
28,sdr,2,ad hoc network,8
29,wifi,2,security,8
30,5g,2,vehicular communication,8
31,smart cars,2,vehicles,8
32,simulation,2,ray tracing,8
33,intelligent transportation systems,2,time variant,8
34,vehicular communications,2,ray,8
35,network,2,car2x,7
36,v2x,2,sdn,7
37,vehicular network,2,nfv,7
38,ad hoc network,2,internet factory,7
39,ofdm,2,cyber security,7
40,emergency,2,emergency,7
41,ipv6,2,automotive,7
42,component,2,vehicular networks,6
43,cooperation,2,c-its,6
44,incentives,2,aodv,6
45,radar,2,congestion control,6
46,ray-tracing,2,early detection,6
47,gps,2,move,6
48,vehicles,2,ns2,6
49,dynamic,2,sumo,6
50,its,2,channel capacity,6
51,vehicular ad-hoc networks,2,alamouti,6
52,wlan,2,usrp,6
53,vehicular ad hoc networks,2,network,6
54,ray tracing,2,vehicular network,6
55,time variant,2,ofdm,6
56,ray,2,communications,6
57,broadband antenna,1,ipv6,6
58,long term evolution,1,component,6
59,low profile,1,cooperation,6
60,dual-band antenna,1,incentives,6
61,monopolar patch antenna,1,radar,6
62,wireless local,1,ieee 802.11p,6
63,vlc,1,raptor code,6
64,vehicle-to-vehicle communication,1,fountain code,6
65,modulation,1,stbc,6
66,vlc applications,1,gps,6
67,lte-v2i communications,1,dynamic,6
68,automotive safety services,1,vehicular ad hoc networks,6
69,coupled map,1,c2c communications,5
70,traffic jam,1,array,5
71,intelligent,1,ecall,5
72,digital forensic,1,erds,5
73,connected car,1,rescue data,5
74,in-vehicle communication,1,its-g5,5
75,location-based services,1,calm,5
76,location privacy,1,wimax,5
77,location tracking protection,1,vsg,5
78,angle of arrival (aoa),1,rtsa,5
79,angle of departure (aod),1,capacity,5
80,electric vehicles,1,roads,5
81,backpressure routing,1,gold,5
82,fault detection,1,driver circuits,5
83,variant management,1,computer architecture,5
84,reuse,1,unified,5
85,life cycle,1,its,5
86,intelligent transportation,1,wlan,5
87,smart city,1,on-board sensors,4
88,automotive antenna,1,camera,4
89,car-to-car cluster,1,sensor fusion,4
90,angle-of-arrival (aoa),1,c2c-vlc,4
91,angle-of-departure (aod),1,reflectors,4
92,omnidirectional radiation pattern,1,bit error rate,4
93,shorting pins,1,wireless communication,4
94,authentication protocol,1,game theory,4
95,digital signature,1,commercial ads,4
96,comosef,1,message survival hops,4
97,car to car communication,1,cost,4
98,controller area network,1,benefits,4
99,vehicular social network (vsn),1,v2v,4
100,advertisement dissemination,1,intelligent transportation systems,4
101,incentive,1,vehicular communications,4
102,array,1,c2x,4
103,car-to-x communication,1,cooperative driving,4
