,Keyword_1,frequency,Keyword_2,degreee
0,prenatal diagnosis,24,prenatal diagnosis,65
1,down syndrome,12,down syndrome,36
2,cell-free fetal dna,10,aneuploidy,25
3,aneuploidy,8,cell-free fetal dna,24
4,fetal dna,8,fetal dna,22
5,cell-free dna,7,dna,21
6,next-generation sequencing,6,nipt,18
7,noninvasive prenatal testing,6,cell-free dna,18
8,nipt,5,prenatal,18
9,noninvasive,5,fetal cells,16
10,dna,5,noninvasive prenatal testing,15
11,prenatal,5,noninvasive,15
12,noninvasive prenatal diagnosis,5,next-generation sequencing,14
13,next-generation,4,next-generation,10
14,next generation sequencing,4,fetal aneuploidy,10
15,massively parallel sequencing,4,noninvasive prenatal diagnosis,10
16,fetal cells,4,non-invasive,9
17,fetal aneuploidy,4,next generation sequencing,9
18,maternal plasma,4,massively parallel sequencing,9
19,dna methylation,3,maternal plasma,9
20,non-invasive prenatal,3,treatment,8
21,noninvasive prenatal,3,rna,8
22,non-invasive,3,dna methylation,7
23,non-invasive prenatal testing,3,non-invasive prenatal,7
24,polymorphisms,3,transplant,7
25,treatment,3,genetics,6
26,fetal dna in maternal plasma,3,noninvasive prenatal,6
27,circulating nucleic acids,3,non-invasive prenatal testing,6
28,genetics,2,maternal plasma dna,6
29,thalassemia,2,maternal,6
30,noninvasive prenatal test,2,circulating nucleic acids,6
31,monogenic diseases,2,thalassemia,5
32,maternal plasma dna,2,noninvasive prenatal test,5
33,digital pcr,2,monogenic diseases,5
34,maternal,2,polymorphisms,5
35,circulating fetal dna,2,gene,5
36,plasma dna,2,metabolism,5
37,transplant,2,rare,5
38,trisomy 21,2,villus,5
39,rna,2,digital pcr,5
40,circulating cell-free fetal dna,2,depth of coverage,5
41,non-invasive prenatal diagnosis,2,ngs,5
42,beta-thalassemia,2,whole genome,5
43,gene mutation,2,plasma dna,5
44,calves,1,genome,5
45,prenatal stress,1,exome,5
46,prenatal exome,1,mendelian,5
47,variants of unknown clinical significance,1,cancer,5
48,phenotyping,1,trisomy 21,5
