,Keyword_1,frequency,Keyword_2,degreee
0,conversational agents,24,conversational agents,56
1,embodied conversational agents,18,conversational interfaces,34
2,conversational interfaces,14,embodied conversational agents,34
3,conversational agent,10,conversational agent,28
4,embodied conversational agent,10,embodied conversational agent,22
5,conversational interface,9,conversational interface,21
6,dialog systems,6,dialog systems,16
7,natural language,6,user,16
8,conversational,6,chatbot,15
9,natural language processing,5,natural language,14
10,chatbot,5,conversational,14
11,evaluation,5,evaluation,13
12,user,5,mobile devices,12
13,virtual humans,5,natural language processing,11
14,mobile devices,4,virtual humans,11
15,user modeling,4,ontology,11
16,human-computer interaction,4,user modeling,10
17,ontology,4,android,10
18,conversational systems,4,human-computer interaction,10
19,spoken dialogue,3,human-agent interaction,9
20,human-machine,3,information,9
21,conversational search,3,usability,9
22,recommender systems,3,multimodal,9
23,natural language interface,3,dialogue,9
24,speech interaction,3,embodied,9
25,interactive,3,human-machine,8
26,human-agent interaction,3,psychosis,8
27,android,3,humor,8
28,information,3,conversational systems,8
29,usability,3,conversational search,7
30,multimodal,3,recommender systems,7
31,dialogue,3,natural language interface,7
32,user interface,3,speech interaction,7
33,dialogue systems,3,common ground,7
34,personal assistants,3,intelligence,7
35,embodied,3,behavior,7
36,spoken dialogue systems,3,user interface,7
37,facial animation,3,dialogue systems,7
38,human-robot interaction,2,personal assistants,7
39,spoken interaction,2,multimodality,7
40,mental models,2,facial,7
41,mobile learning,2,conversation,7
42,spoken language processing,2,conversations,7
43,embodied conversational,2,spoken dialogue,6
44,driving,2,spoken interaction,6
45,chatterbot,2,driving,6
46,communication,2,interactive,6
47,virtual agent,2,virtual agent,6
48,multimodal interaction,2,multimodal interaction,6
49,natural language interfaces,2,user interfaces,6
50,common ground,2,spoken,6
51,psychosis,2,attention,6
52,human-machine interaction,2,conversational avatars,6
53,humor,2,symptoms,6
54,conversational interaction,2,hallucinosis,6
55,user interfaces,2,research,6
56,spoken,2,domain,6
57,attention,2,criteria,6
58,emotion recognition,2,auditory,6
59,acceptability,2,speech recognition,6
60,intelligent tutoring systems,2,intelligent agents,6
61,intelligence,2,design,6
62,conversational avatars,2,spoken dialogue systems,6
63,anthropomorphic interfaces,2,air quality,5
64,speech recognition,2,airways,5
65,spoken dialogue system,2,eyes,5
66,behavior,2,humidity,5
67,intelligent agents,2,influenza virus,5
68,social interface,2,sensory,5
69,robustness,2,mental models,5
70,cognitive load,2,embodied conversational,5
71,cscw,2,chatterbot,5
72,multimodality,2,emotion recognition,5
73,design,2,speech interfaces,5
74,facial,2,tts,5
75,speech interface,2,asr,5
76,distributed system,2,question,5
77,conversation,2,anthropomorphic interfaces,5
78,conversations,2,social interface,5
79,conversational assistant,1,cognitive load,5
80,dialogue system,1,cellular phone,5
81,artificial intelligence [mesh],1,sms,5
82,medical informatics [mesh],1,text messaging,5
83,air quality,1,wireless,5
84,airways,1,outcomes of care,5
85,eyes,1,process,5
86,humidity,1,cscw,5
87,influenza virus,1,speech interface,5
88,sensory,1,distributed system,5
89,multi-domain,1,human-robot interaction,4
90,explainable intelligent user,1,mobile learning,4
91,multimodal output,1,collaboration,4
92,natural language generation,1,consumption,4
93,autonomous systems,1,management,4
94,chatbots,1,accommodation sector,4
95,generative framework,1,online,4
96,closed domain,1,spoken language processing,4
97,homomorphic redaction,1,communication,4
98,context digression,1,natural language interfaces,4
99,form,1,human-machine interaction,4
100,interface,1,laughter,4
101,reminiscence,1,social bonding,4
102,system requirements,1,evolution,4
103,multimedia,1,context,4
104,collaborative,1,engagement,4
105,instant messenger,1,subjective experience,4
106,conversational user interface,1,empathy,4
107,stock,1,mind-reading,4
108,domain knowledge acquisition,1,microalgae,4
109,dialog structure annotation,1,biofuels,4
110,computer-supported,1,production cost,4
111,algorithms,1,economics,4
112,journalism,1,microalgal biorefinery,4
113,metajournalistic discourse,1,apology,4
114,social media,1,social response to computer,4
115,collaboration,1,synthetic voice,4
116,consumption,1,voice gender,4
117,management,1,vui,4
118,accommodation sector,1,bipolar illness,4
119,online,1,connectivity,4
120,communicative agents,1,resting state,4
121,hierarchical control,1,schizophrenia,4
122,controlled natural language (cnl),1,thalamus,4
123,older adults,1,intelligent tutoring systems,4
124,social isolation,1,controlled english,4
125,digital pet,1,isr,4
126,cancellability,1,decision support,4
127,grice,1,analyst,4
128,pragmatics,1,spoken dialogue system,4
129,digital assistant,1,eca,4
130,social ais,1,distinctive,4
131,computer supported education,1,expressive,4
132,h.5.2 user interfaces,1,robustness,4
133,smiles,1,ipod (tm),4
134,jak,1,driving simulator,4
135,janus kinase,1,distraction,4
136,myelofibrosis,1,eye movement,4
137,machine learning,1,academic libraries,4
138,ensemble classifiers,1,public libraries,4
139,recurrent,1,canada,4
140,alice,1,creativity,4
141,mobile assisted language,1,interface design,4
142,process-oriented case-based reasoning,1,user behaviour,4
143,workflow retrieval,1,music,4
144,willingness to communicate in l2,1,autism,4
145,recurrent neural networks,1,animated conversational agent,4
146,long short-term memory,1,jokes,4
147,multi-agent systems,1,japanese puns,4
148,human agent interaction,1,pun generator,4
149,programming by demonstration,1,intelligent interfaces,4
150,end user development,1,kiosk,4
