,Keyword_1,frequency,Keyword_2,degreee
0,tissue engineering,11,tissue engineering,33
1,artificial immune system,11,artificial immune system,29
2,immune response,8,immune response,26
3,immune system,8,immune system,23
4,inflammation,7,immunotherapy,22
5,immunotherapy,6,inflammation,21
6,nanoparticles,5,macrophage,16
7,fault diagnosis,5,cancer,13
8,cancer,3,nanoparticles,12
9,mesenchymal stem cells,3,cd47,12
10,transplantation,3,fault diagnosis,12
11,macrophage,3,transplantation,10
12,optimization,3,allogeneic,9
13,artificial immune systems,3,stem cells,8
14,cell proliferation,2,hydrogel,8
15,osteogenic,2,regenerative medicine,8
16,biocompatibility,2,optimization,8
17,clonal selection algorithm,2,antibodies,8
18,vaccination,2,scaffold,8
19,stem cells,2,osteogenic,7
20,3d printing,2,3d printing,7
21,hydrogel,2,hiv,7
22,hiv,2,gene,7
23,gene,2,graft-versus-host disease,7
24,graft-versus-host disease,2,immunology,7
25,graft,2,macrophages,7
26,allogeneic,2,immunosuppression,7
27,regenerative medicine,2,xenotransplantation,7
28,immunology,2,cell proliferation,6
29,macrophages,2,biocompatibility,6
30,vascularization,2,st6gal,6
31,cancer immunotherapy,2,st3gal,6
32,immune checkpoint,2,sialyllactose,6
33,cd47,2,poikilotherm,6
34,immune,2,ella,6
35,innate immunity,2,hilic-hplc,6
36,dendritic cells,2,cho,6
37,identification,2,mesenchymal stem cells,6
38,particulate,2,graft,6
39,immunosuppression,2,cancer immunotherapy,6
40,antibodies,2,b cell,6
41,biomaterials,2,human,6
42,xenotransplantation,2,humanized mouse,6
43,scaffold,2,miniature swine,6
44,artificial immune,2,mixed,6
45,antigen,2,immune,6
46,electrospinning,1,innate immunity,6
47,xeno-free scaffold,1,identification,6
48,human umbilical cord,1,particulate,6
49,collagen,1,artificial immune systems,6
50,cytotoxicity,1,antibody,6
51,cell adhesion,1,sirpa,6
52,alumina,1,phagocytosis,6
53,cell responses,1,antigen,6
54,protein adsorption,1,vaccination,5
55,probiotic yeasts,1,hcv,5
56,olive oil yeasts,1,cd81,5
57,virgin olive oil,1,retrovirus,5
58,bacterial infection in mussels,1,e2,5
59,copper oxide nanoparticles,1,e1,5
60,hemocytes,1,transport,5
61,complete receptor editing,1,hcmv,5
62,quantum,1,tcr,5
63,computer-aided antibody engineering,1,cd8 t cell,5
64,affinity improvement,1,ifn-gamma,5
65,ibalizumab,1,hsct,5
66,hybrid hydrogels,1,nanomaterials,5
67,microporous network,1,stealth,5
68,reverse thermal gel,1,biomimetic,5
69,neural tube defects,1,bio-corona,5
70,myelomeningocele,1,targeting,5
71,prenatal,1,fasl,5
72,tumor necrosis factor receptor,1,immune tolerance,5
73,anti-tnf effect,1,plg,5
74,prokaryotic expression,1,polymer scaffold,5
75,chondrocytes,1,islet,5
76,hypertrophy,1,vascularization,5
77,arthritis,1,immune checkpoint,5
78,wnt/beta-catenin,1,biomaterials,5
79,angiogenesis,1,clonal selection algorithm,4
80,microfluidics,1,chondrocytes,4
81,blood brain barrier,1,hypertrophy,4
82,permeability,1,arthritis,4
83,chitosan,1,wnt/beta-catenin,4
84,articular cartilage,1,chitosan,4
85,decellularized spleen matrix,1,articular cartilage,4
86,bioartificial liver,1,sesbania aegyptica,4
87,hemocompatibility,1,silver nanoparticles,4
88,sesbania aegyptica,1,peg,4
89,silver nanoparticles,1,arginase,4
90,peg,1,mdsc,4
91,gold nanomaterial,1,arginine,4
92,iodine-124,1,metabolic checkpoint,4
93,radioactive imaging tracers,1,aminoacid,4
94,positron,1,tat,4
95,st6gal,1,methamphetamine,4
96,st3gal,1,tata-box,4
97,sialyllactose,1,tata-box binding peptide,4
98,poikilotherm,1,glioma,4
99,ella,1,tumorsphere,4
100,hilic-hplc,1,microscale niche,4
101,cho,1,time series assessment,4
102,"alpha-2,6-sialyltransferase",1,hypoxic,4
103,linked lectin assay,1,t,4
104,iron oxide,1,hepatitis c virus,4
105,dendron,1,ns3,4
106,oligoethyleneglycol,1,helicase,4
107,polyethylene-glycol peg,1,immunodiagnostic,4
108,in-vitro toxicity,1,seroconversion,4
109,hcv,1,immunomodulation,4
110,cd81,1,immunogenicity,4
