,Keyword_1,frequency,Keyword_2,degreee
0,air,6,emissions,20
1,air pollution,5,air,17
2,emissions,5,air pollution,14
3,air quality,4,power plant,14
4,power plant,4,air quality,13
5,data center,3,power generation,10
6,power generation,3,thermal power plant,10
7,compressed air energy storage,3,compressed air,10
8,air-conditioning,3,wind power,9
9,compressed air,3,data center,8
10,energy efficiency,2,air-conditioning,8
11,exergy,2,air gap,7
12,triboelectric nanogenerator,2,air pollutants,7
13,air gap,2,air-cooled condenser,7
14,energy,2,fossil fuel,7
15,output power,2,co,7
16,efficiency,2,nox,7
17,air pollutants,2,so2,7
18,thermal power plant,2,tsp,7
19,inlet air cooling,2,ambient,7
20,air conditioning,2,energy efficiency,6
21,power management,2,exergy,6
22,air-cooled condenser,2,output power,6
23,power consumption reduction,2,air conditioning,6
24,air-cooled steam condenser,2,power management,6
25,air-cooled power plant,2,compressed air energy storage,6
26,climate change,2,power consumption reduction,6
27,wind power,2,climate change,6
28,air density,2,arid,6
29,distributed generation,2,humid,6
30,wind turbine,2,dynamics,6
31,air space,1,meteorology,6
32,coupled magnetic resonance,1,pressure,6
33,magnetic field analysis,1,temperature,6
34,steam air heater,1,wind turbine,6
35,energy power losses,1,triboelectric nanogenerator,5
36,avoidance behaviors,1,energy,5
37,electricity usage,1,efficiency,5
38,power-station,1,inlet air cooling,5
39,demand response,1,air-cooled steam condenser,5
40,system flexibility,1,air density,5
41,ancillary service,1,distributed generation,5
42,controllable,1,fuel consumption,4
43,unit commitment,1,china,4
44,power dispatch,1,air-borne ultrasound,4
45,regional air quality,1,sewage sludge,4
46,air pollutant,1,thin-layer drying,4
47,power source,1,kinetics,4
48,particulate matter,1,forced,4
49,electronics cooling,1,steam condenser,4
50,hysteresis loss,1,dry cooling,4
51,piezoelectric fan,1,hybrid,4
52,power,1,social costs,4
53,air-conditioning system,1,coal mining,4
54,thermal energy storage,1,oil and gas extraction,4
55,wind power forecast,1,oil,4
56,wind energy harvesting,1,dispersion,4
57,wind contraction,1,power plants,4
58,wind diffuser,1,air-cooled power plant,4
59,wind tamer,1,health,4
60,liquid desiccant dehumidification,1,health impact assessment,4
61,photovoltaic/thermal collector,1,hia,4
62,electrolytic capacitor-less inverter,1,biomass,4
63,input current harmonics,1,atomizer wheel,4
64,renewable energy storage,1,spray dryer,4
