,Keyword_1,frequency,Keyword_2,degreee
0,genome editing,43,genome editing,163
1,crispr/cas9,20,crispr,77
2,crispr,17,crispr/cas9,69
3,gene editing,13,cas9,55
4,rna,13,gene editing,49
5,cas9,12,crispr-cas9,29
6,homologous recombination,9,talen,27
7,crispr-cas9,8,rna,26
8,talen,7,homologous recombination,23
9,genome engineering,6,genome engineering,21
10,rice,6,rice,21
11,gene targeting,5,dna repair,17
12,tomato,4,crop improvement,15
13,dna repair,4,talens,14
14,cpf1,4,cpf1,14
15,genetic engineering,4,guide rna,13
16,crop improvement,4,crispr/cas,13
17,guide rna,3,tomato,12
18,talens,3,gene targeting,12
19,dna,3,sgrna,11
20,system,3,crispr-cas,11
21,crispr/cas,3,dcas9,11
22,crispr-cas,3,genetic engineering,10
23,gene therapy,3,dna,10
24,transcription,3,gene therapy,10
25,sgrna,2,maize,9
26,cisgenics,2,mutagenesis,9
27,gene replacement,2,transcription,9
28,plant breeding,2,cisgenics,8
29,maize,2,system,8
30,genome,2,gene knockout,8
31,repeat proteins,2,bioenergy,7
32,bioenergy,2,marker excision,7
33,mutagenesis,2,synthetic biology,7
34,excision-repair,2,endonuclease,7
35,marker excision,2,apple,6
36,gene knockout,2,pear,6
37,synthetic biology,2,knock-out,6
38,dcas9,2,pds,6
39,metabolic engineering,2,tfl1,6
40,targeted mutagenesis,2,gene replacement,6
41,multiplex,2,mutation,6
42,arabidopsis,2,indel,6
43,endonuclease,2,double stranded,6
44,carrot,1,metabolic engineering,6
45,pds gene,1,targeted mutagenesis,6
46,myb gene,1,cas9/sgrna,6
47,apple,1,plant genome editing,6
48,pear,1,ge crops,6
49,knock-out,1,rgens,6
50,pds,1,npbts,6
51,tfl1,1,arabidopsis,6
52,non-regulatory regions,1,carrot,5
53,aid (auxin-inducible degron),1,pds gene,5
54,solanum lycopersicum,1,myb gene,5
55,natural diversity and mutants,1,theophylline,5
56,stress,1,aptazyme,5
57,agrobacterium mediated transformation,1,off-target effect,5
58,nicotiana banthamiana,1,dsbs,5
59,theophylline,1,transgenic,5
60,aptazyme,1,fruit ripening,5
61,off-target effect,1,fruit quality,5
62,dsbs,1,crops,5
63,transgenic,1,cre-loxp,5
64,dna double-strand break,1,delitto perfetto,5
65,knock-in,1,yeast,5
66,target,1,plant breeding,5
67,cellular uptake,1,oryza sativa,5
68,nanoparticles,1,rnai,5
69,transmission electron microscopy,1,mirna,5
70,beta-oxidation,1,biotic and abiotic stress,5
71,eleostearate,1,genome,5
72,fatty acid,1,cotton,5
73,triacylglycerol,1,deletion,5
74,tung tree,1,insertion,5
75,mutations,1,candida albicans,5
76,marker free transgenics,1,gene addback,5
