,Keyword_1,frequency,Keyword_2,degreee
0,nerve regeneration,4,gene therapy,12
1,gene therapy,4,schizophrenia,12
2,schizophrenia,3,depression,11
3,association,3,nerve regeneration,10
4,depression,3,autism,10
5,gene delivery,2,pathway,9
6,therapy,2,bipolar disorder,8
7,combination therapy,2,combination therapy,7
8,dry needling,2,gene delivery,6
9,cancer,2,therapy,6
10,epigenetics,2,dry needling,6
11,pathway,2,transcription,6
12,bipolar disorder,2,foxp1,6
13,autism,2,splicing,6
14,inflammation,2,chd8,6
15,plasticity,2,rbfox1,6
16,pla-peg-pla,1,network,6
17,polyethylenimine,1,inflammation,6
18,cytotoxicity,1,plasticity,6
19,dna release,1,dhr,5
20,ifn-lambda 1,1,scar,5
21,plga,1,sts/ten,5
22,non-viral gene delivery,1,dress,5
23,cisplatin,1,agep,5
24,silver,1,hla,5
25,nanoparticles,1,epigenetics,5
26,curcumin,1,genetics,5
27,resistance,1,cross-disorder,5
28,fragile histidine triad,1,gene,5
29,ht1080,1,micronutrients,5
30,doxorubicin,1,adhd,5
31,mtt,1,predictors,5
32,human astrocytes,1,vitamins,5
33,oligodendrocyte progenitors,1,minerals,5
34,trichostatin a,1,treatment,5
35,cell fate,1,pla-peg-pla,4
36,anticoagulant,1,polyethylenimine,4
37,actinobacterial metabolites,1,cytotoxicity,4
38,vascular calcification,1,dna release,4
39,dhr,1,cisplatin,4
40,scar,1,silver,4
41,sts/ten,1,nanoparticles,4
42,dress,1,curcumin,4
43,agep,1,resistance,4
44,hla,1,fragile histidine triad,4
45,toxin/antitoxin,1,ht1080,4
46,modules,1,doxorubicin,4
47,type ii ta module,1,mtt,4
48,rnl ab system,1,cerebral organoids,4
49,central nervous system,1,human brain,4
50,cerebral organoids,1,stem cells,4
51,human brain,1,neurons,4
52,stem cells,1,astrocytes,4
53,neurons,1,nano-complex,4
54,astrocytes,1,targeted delivery,4
55,ischemic stroke,1,fluorescence,4
56,rehabilitation,1,antitumor,4
57,constraint-induced,1,cancer,4
58,cadmium,1,glioblastoma,4
59,immunoprotection,1,temozolomide,4
60,grass carp,1,drug resistance,4
61,ctenopharyngodon idellus,1,thioridazine,4
62,ambient fine particulate matter (pm2.5),1,autophagy,4
63,pulmonary structure and,1,ar-42,4
64,nano-complex,1,chronic myeloid leukemia,4
65,targeted delivery,1,hdacs,4
66,fluorescence,1,ho-1,4
67,antitumor,1,ros,4
68,cubital tunnel,1,biofilm,4
69,cubital tunnel syndrome,1,carbapenemase,4
70,entrapment,1,hospital effluent,4
71,intramuscular stimulation,1,plasmids,4
72,intramuscular therapy,1,carbapenem,4
73,radial,1,enhancer,4
74,anti-hepatitis c virus daa,1,brain regions,4
75,genetic variation,1,biological,4
76,hepatitis c virus,1,association,4
77,anticancer activity,1,heroin dependence,4
78,brm270 nanoparticles,1,opioid related genes,4
79,human hepatoma cancer cells,1,oprd1,4
80,genome editing,1,polymorphisms,4
81,immunotherapy,1,life,4
82,gene-environment interactions,1,znf804a,4
83,individual differences,1,cannabis,4
84,personalized,1,psychosis,4
85,electric field,1,schizotypy,4
86,keratinocytes,1,gene-environment interaction,4
87,cytochrome p450,1,enzymatic antioxidants,4
88,wound healing,1,oxidants,4
89,glioblastoma,1,immune cells,4
90,temozolomide,1,cerebellum,4
91,drug resistance,1,e2f1,4
92,thioridazine,1,electroconvulsive therapy,4
93,autophagy,1,gene expression,4
94,leukemia,1,peripheral,4
95,non coding rna,1,gene-by-environment interaction,4
96,hepatocellular carcinoma,1,stress,4
97,rna interference,1,anxiety,4
98,small,1,ptsd,4
99,breast cancer,1,ifn-lambda 1,3
100,breast cancer stem cells (bcsc),1,plga,3
101,cancer stem cells,1,non-viral gene delivery,3
102,diagnosis,1,human astrocytes,3
103,management,1,oligodendrocyte progenitors,3
104,melanoma,1,trichostatin a,3
105,forkhead box proteins,1,cell fate,3
