,Keyword_1,frequency,Keyword_2,degreee
0,3-d printing,43,3-d printing,133
1,additive manufacturing,21,additive manufacturing,60
2,additive manufacturing (am),16,additive manufacturing (am),36
3,3d printing,8,3d printing,25
4,direct metal laser sintering,6,metal,16
5,liquid metal,4,direct metal laser sintering,13
6,rapid prototyping,4,liquid metal,12
7,antenna array,4,rapid prototyping,12
8,metal,4,reprap,12
9,high efficiency,4,high efficiency,12
10,three-dimensional,3,antenna array,11
11,bandpass filter,3,aluminum,11
12,gap waveguide,3,waveguide,11
13,horn antennas,3,array,10
14,antenna,3,three-dimensional,9
15,direct metal laser sintering (dmls),3,bandpass filter,9
16,fused deposition modelling,3,antenna,9
17,waveguide antenna,3,stereolithography,9
18,stereolithography,3,mechanical properties,9
19,aluminum,3,copper,9
20,mechanical properties,3,interconnect,9
21,reprap,3,printing,8
22,high-efficiency,3,gap waveguide,8
23,waveguide,3,polymers,8
24,array,3,horn antennas,8
25,riblet coupler,2,inkjet,8
26,terahertz,2,fused deposition modelling,8
27,printing,2,filter,8
28,polymers,2,titanium,8
29,metal plating,2,spray coating,8
30,metal printing,2,fuel cell,8
31,inkjet,2,3-d electrode,8
32,binder jetting,2,mu dmfc,8
33,three-dimensional printing,2,lens,7
34,lens,2,waveguide antenna,7
35,metal 3-d printing,2,manufacturing,7
36,horn antenna,2,distributed manufacturing,7
37,lightweight,2,high-efficiency,7
38,manufacturing,2,microwave,7
39,dual polarization,2,terahertz,6
40,distributed manufacturing,2,metal plating,6
41,fused deposition modeling (fdm),2,metal printing,6
42,3-d printer,2,binder jetting,6
43,band,2,horn antenna,6
44,filter,2,lightweight,6
45,laser micromachining,2,3-d printer,6
46,scaffold,2,band,6
47,microwave,2,laser micromachining,6
48,3-d metal,2,patch antennas,6
49,patch antennas,2,above-ic,6
50,titanium,2,bpn,6
51,copper,2,electroplating,6
52,interconnect,2,high-q,6
53,ink-jet printing,2,inductor,6
54,spray coating,2,ink-jet printing,6
55,fuel cell,2,riblet coupler,5
56,3-d electrode,2,direct metal laser sintering (dmls),5
57,mu dmfc,2,metal 3-d printing,5
58,directional coupler,1,dual polarization,5
59,power combiner,1,scaffold,5
60,100 gb/s,1,multijet,5
61,high-speed interconnects,1,silver nanoparticle,5
62,packaging,1,uv-curable,5
63,millimeter-wave band,1,cp-ti,5
64,electron beam melting (ebm),1,ti6al4v,5
65,cleanroom,1,biocompatibility,5
66,silicon,1,powder metallurgy,5
67,semiconductor processing,1,microstencil,5
68,binder inkjet printing,1,biomems,5
69,corona discharge,1,thin films,5
70,antenna arrays,1,shadow mask,5
71,artificial neural network,1,cell culture,5
72,slotted waveguide,1,cell,5
73,w-band,1,metals,5
74,feeds,1,plastics,5
75,selective laser,1,printers,5
76,lattice structure,1,robots,5
77,lightweight antenna,1,production,5
78,electrically small antenna (esa),1,100 gb/s,4
