,Keyword_1,frequency,Keyword_2,degreee
0,generative adversarial networks,19,generative adversarial networks,41
1,deep learning,15,deep learning,36
2,generative adversarial network,12,generative adversarial network,24
3,generative,10,generative,24
4,generative adversarial,5,generative adversarial,12
5,generative adversarial networks (gans),4,gan,11
6,machine learning,3,machine learning,8
7,generative model,3,generative model,7
8,convolutional neural networks,3,adversarial networks,7
9,adversarial networks,3,variational autoencoder,6
10,gan,3,convolutional neural networks,6
11,variational autoencoder,2,generative adversarial networks (gans),6
12,saliency detection,2,variational,6
13,image inpainting,2,saliency detection,5
14,speech enhancement,2,image editing,5
15,image editing,2,adversarial examples,5
16,adversarial examples,2,convolutional neural network,5
17,generative models,2,image inpainting,4
18,adversarial learning,2,speech enhancement,4
19,variational,2,completion,4
20,convolutional neural network,2,semantically,4
21,face completion,1,global,4
22,multi-context,1,adversarial,4
23,photovoltaic power forecasting,1,perceptual network,4
24,weather classification,1,generative models,4
25,multi-style transfer,1,adversarial learning,4
26,adversarial generative networks,1,saliency prediction,4
27,video signal processing,1,accuracy,4
28,object tracking,1,saliency,4
29,computer vision,1,slam,4
30,learning,1,loop closure,4
31,contour detection,1,unsupervised learning,4
32,inverse design,1,feature,4
33,closed loop,1,video signal processing,3
34,data augmentation,1,object tracking,3
35,probabilistic model,1,computer vision,3
36,generative adversarial learning,1,learning,3
37,object recognition,1,inverse design,3
38,image data synthesizing,1,closed loop,3
39,human-computer interaction,1,vision,3
40,automatic modulation recognition,1,reconstruction,3
41,semi-supervised,1,fmri,3
42,vision,1,image dehazing,3
43,reconstruction,1,feature learning,3
44,fmri,1,sparse coding,3
45,multi-scale,1,uav images,3
46,natural language texts,1,image denoising,3
47,representation learning,1,perceptual,3
48,convolutional neural network (cnn),1,neural networks,3
49,image dehazing,1,nanosats,3
50,feature learning,1,space-based imaging,3
51,sparse coding,1,motion deblurring,3
52,image de-raining,1,auto encoder,3
53,wasserstein conditional gan,1,joint loss,3
54,generalization,1,image,3
55,uav images,1,generative adversarial net,3
56,image denoising,1,vgan,3
57,perceptual,1,text,3
58,category sentence generation,1,cgan,3
59,facial attributes,1,adversarial autoencoder,3
60,conditional generative adversarial networks (cgans),1,drug discovery,3
61,convolutional,1,neural machine translation,3
62,coupled gan,1,prior knowledge,3
63,image transformation,1,deeplearning,3
64,captcha,1,uyghur,3
65,deep convolutional network,1,super-resolution,3
66,generative adversarial nets,1,face hallucination,3
67,semisupervised learning,1,identity guidance,3
68,neural networks,1,image synthesis,3
69,gans,1,stable gan,3
70,top-n recommendation,1,image inversion,3
71,collaborative filtering,1,computational photography,3
72,phase reconstruction,1,scene analysis,3
73,deep neural networks,1,adversarial training,3
74,query keyword matching,1,information-theoretic learning,3
75,online,1,autoencoder,3
76,image generating,1,face completion,2
77,wasserstein distance,1,multi-context,2
78,dnn attack,1,photovoltaic power forecasting,2
79,completion,1,weather classification,2
80,semantically,1,contour detection,2
81,global,1,data augmentation,2
82,adversarial,1,probabilistic model,2
83,perceptual network,1,generative adversarial learning,2
84,convolutional neural networks (cnn),1,object recognition,2
85,decentralized learning,1,image data synthesizing,2
86,urban modeling,1,human-computer interaction,2
87,global urbanization,1,automatic modulation recognition,2
88,typhoon cloud prediction,1,semi-supervised,2
89,synthetic aperture radar (sar),1,multi-scale,2
90,artificial neural network,1,natural language texts,2
91,feed forward,1,representation learning,2
92,nanosats,1,convolutional neural network (cnn),2
93,space-based imaging,1,image de-raining,2
94,motion deblurring,1,wasserstein conditional gan,2
95,face aging,1,generalization,2
96,boundary equilibrium,1,facial attributes,2
97,source separation,1,coupled gan,2
98,cbct images,1,image transformation,2
99,ring artifacts,1,captcha,2
100,generative adversarial network (gan),1,deep convolutional network,2
101,blind bandwidth extension,1,generative adversarial nets,2
102,artificial bandwidth extension,1,semisupervised learning,2
103,voice conversion,1,gans,2
104,cycle-consistent adversarial network,1,top-n recommendation,2
105,automatic speech recognition,1,collaborative filtering,2
106,robust speech recognition,1,phase reconstruction,2
107,emotion recognition,1,deep neural networks,2
108,conditional adversarial training,1,query keyword matching,2
109,auto encoder,1,online,2
