,Keyword_1,frequency,Keyword_2,degreee
0,spinal cord injury,15,spinal cord injury,43
1,spinal cord,11,spinal cord,40
2,locomotion,8,locomotion,28
3,arrays,8,epidural stimulation,20
4,epidural stimulation,8,electrodes,17
5,array,7,neural,15
6,neural,5,bioelectronics,12
7,electrodes,5,arrays,12
8,flexible electronics,4,flexible electronics,11
9,bioelectronics,4,electrode,11
10,electrical stimulation,4,elasticity,11
11,neural recording,3,neural recording,10
12,peripheral nerve,3,functional,10
13,stretchable electronics,3,peripheral nerve,9
14,spinal cord stimulation,3,ecog,9
15,neural prostheses,3,cns,9
16,intraspinal microstimulation,3,stretchable electronics,9
17,neuroprosthetics,3,spinal cord stimulation,9
18,functional electrical stimulation,3,neural prostheses,9
19,functional,3,neuroprosthetics,9
20,human,3,electrical stimulation,9
21,electrode,3,animal models,8
22,elasticity,3,array,8
23,stretchable,2,3d,8
24,scaffolds,2,neuromodulation,8
25,axonal regeneration,2,functional electrical stimulation,8
26,silicon,2,human,8
27,cpg,2,stiffness,8
28,animal models,2,hippocampus,8
29,ecog,2,silicon,7
30,cns,2,cpg,7
31,neural stimulation,2,tissue engineering,7
32,flexible devices,2,mechanical properties,7
33,liquid metal,2,drug delivery,7
34,hydrogel,2,conducting polymers,7
35,spinal,2,decoding,7
36,brain-computer interface,2,carbon nanotubes,7
37,tissue engineering,2,motor cortex,7
38,mechanical properties,2,brain,7
39,drug delivery,2,biomechanics,7
40,rehabilitation,2,stretchable,6
41,neurorehabilitation,2,flexible devices,6
42,3d,2,liquid metal,6
43,conducting polymers,2,hydrogel,6
44,rheology,2,intraspinal microstimulation,6
45,decoding,2,soft materials,6
46,soft materials,2,bioinformatics,6
47,carbon nanotubes,2,muscle,6
48,bioinformatics,2,fpga,6
49,neuromodulation,2,silicon neuron,6
50,muscle,2,motor control,6
51,fpga,2,posture,6
52,silicon neuron,2,afm,5
53,computational model,2,mri,5
54,motor cortex,2,nanomechanics,5
55,motor control,2,reduced graphene oxide,5
56,brain,2,scaffold,5
57,stiffness,2,scaffolds,5
58,constitutive modeling,2,axonal regeneration,5
59,posture,2,sci,5
60,hippocampus,2,nonhuman primates,5
61,biomechanics,2,ssep,5
62,nerve regeneration,1,mep,5
63,evaluation method,1,spinal,5
64,neurological deficiency,1,rehabilitation,5
65,wearable glucose sensor system,1,neurorehabilitation,5
66,single-wall carbon nanotubes,1,rheology,5
67,glucose,1,migration,5
68,e-skins,1,mechanotaxis,5
69,kirigami,1,foreign body reaction,5
70,soft robotics,1,random walk,5
71,cellular substrate,1,lps,5
72,finite deformation,1,gliosis,5
73,negative poisson's ratios,1,implant,5
74,afm,1,fbr,5
75,mri,1,astrocyte,5
76,nanomechanics,1,microglia,5
77,reduced graphene oxide,1,grasping,5
78,scaffold,1,self-paced,5
79,tubulin isotype,1,classification,5
80,electrical impedance tomography,1,bci,5
81,motor coordination,1,bmi,5
82,nb-3,1,constitutive modeling,5
83,serotonergic raphespinal,1,e-skins,4
84,auditory brainstem implant (abi),1,kirigami,4
85,history,1,soft robotics,4
86,cochlear implant,1,biosensor,4
87,biosensor,1,cortisol,4
88,cortisol,1,electrophysiology,4
89,electrophysiology,1,bioimplant,4
90,bioimplant,1,stress,4
91,stress,1,cardiac,4
92,cardiac,1,nanowire,4
93,nanowire,1,modulation,4
94,modulation,1,optical,4
95,optical,1,snake robot,4
96,snake robot,1,biomimetic,4
97,biomimetic,1,spiking neural network,4
98,spiking neural network,1,glassy carbon,4
99,sci,1,pyrolysis,4
100,nonhuman primates,1,neural implants,4
101,ssep,1,conformability,4
102,mep,1,long-term neural implant,4
103,electrically evoked spinal motor potentials,1,pns,4
104,epidural electrical,1,immune,4
105,electrophysiological assessment,1,egain,4
106,transcutaneous electrical spinal cord,1,silver inks,4
107,glassy carbon,1,hydroprinted electronics,4
108,pyrolysis,1,anisotropic,4
109,neural implants,1,rodent,4
110,conformability,1,primate,4
111,implantable neural probes,1,behavior,4
112,brain-machine interface,1,corticostriatal plasticity,4
113,multi-channel,1,nmda,4
114,microelectrode arrays,1,brain-computer interface,4
115,neural stem cell,1,photoreceptors,4
116,treadmill training,1,retinas,4
117,insulin-like,1,stem cells,4
118,long-term neural implant,1,elastomer,4
119,pns,1,composite,4
120,immune,1,network,4
121,neural depth probes,1,polymer,4
122,poly vinyl alcohol (pva),1,upper-limb,4
123,color filters,1,extreme learning machines,4
124,interferences,1,emg,4
125,stretchable devices,1,reliability,4
126,egain,1,iee,4
127,silver inks,1,animal model,4
128,hydroprinted electronics,1,plasticity,4
129,anisotropic,1,recovery,4
130,soft conductive hydrogel microelectrode,1,rehabilitative training,4
131,electrophysiological recording,1,pillar electrodes,4
132,modeling by a reaction method,1,cardiomyocytes,4
133,none-equilibrium molecular,1,drug screening,4
134,regenerated silk fibroin,1,local field,4
135,conductive biopolymer,1,neural interfaces,4
136,in situ chemical,1,hydrogels,4
137,electrode array,1,molecular sutures,4
138,conformable,1,stitching polymers,4
139,soft electrodes,1,tissues,4
140,bacterial cellulose,1,topological,4
141,spike detection,1,subdural,4
142,neural signals,1,computer,4
143,upper limb prosthetics,1,force,4
144,rodent,1,fatigue,4
145,primate,1,optogenetics,4
146,behavior,1,neural interface,4
147,corticostriatal plasticity,1,optic fiber,4
148,nmda,1,peripheral,4
149,biomedical electrodes,1,autonomic,4
150,micro electrodes,1,cardiovascular,4
151,neural engineering,1,neurological injury,4
152,surgical,1,swine,4
153,functional liquid metal,1,computational model,4
154,hybrid flexible electronics,1,kinematics,4
155,ni-gain amalgam,1,muscle synergies,4
156,conductive polymers,1,neural ensemble,4
157,cyborganics,1,robotics,4
158,flexible bioelectronics,1,balance,4
159,fan-out wafer-level packaging (fowlp),1,bipedal locomotion,4
160,flexible hybrid electronics,1,rat,4
161,intrathecal delivery,1,sensorimotor cortex,4
162,spinal canal,1,impedance,4
163,charge balancing,1,magnetic insertion,4
164,neural stimulator,1,tissue,4
165,proportional-integral (pi),1,gray matter,4
166,nanostructured materials,1,white matter,4
167,patch clamp,1,indentation,4
168,cholesterol,1,viscoelasticity,4
169,synaptic release,1,biomaterials,4
170,functional electrical,1,graphene,4
171,electroencephalography,1,nanowires,4
172,blind source,1,stretchable circuits,4
173,photoreceptors,1,thermoplastic circuits,4
174,retinas,1,2.5d,4
175,stem cells,1,thermoforming,4
176,elastomer,1,alginate,4
177,composite,1,electroactive polymer,4
178,network,1,growth factor,4
179,polymer,1,interface,4
180,polymer mechanochemistry,1,mems,4
181,neurons,1,motoneuron,4
182,upper-limb,1,corticospinal,4
183,extreme learning machines,1,reticulospinal,4
184,emg,1,tract,4
185,reliability,1,brain tissue,4
186,iee,1,heterogeneity,4
187,bioelectrodes,1,mechanical,4
188,galinstan,1,viscosity,4
189,liquid metals,1,retina,4
190,magnetoactive fluids,1,motor coordination,3
