,Keyword_1,frequency,Keyword_2,degreee
0,microfluidics,62,microfluidics,201
1,lab-on-a-chip,9,lab-on-a-chip,32
2,droplet,8,droplet,31
3,digital microfluidics,6,digital microfluidics,16
4,drug delivery,4,drug delivery,15
5,lab on a chip,4,biomems,12
6,microfabrication,3,microfabrication,11
7,biomems,3,lab on a chip,11
8,droplet microfluidics,3,applications,9
9,process intensification,2,imaging,9
10,microchannels,2,polymers,8
11,polymers,2,nanofluidics,8
12,nanofluidics,2,flexible,8
13,digital,2,high-throughput,8
14,applications,2,droplet microfluidics,8
15,separation,2,droplets,8
16,immunoassays,2,process intensification,6
17,nanoparticles,2,microchannels,6
18,high-throughput screening,2,separation,6
19,flexible,2,nanoparticles,6
20,imaging,2,optofluidics,6
21,high-throughput,2,immunoassays,5
22,droplets,2,high-throughput screening,5
23,optofluidics,2,detection,5
24,microreactor,1,cell,5
25,graphene,1,nucleic,5
26,biochemical detection,1,ce,5
27,sensors,1,hplc,5
28,devices,1,single cells,5
29,clean rooms,1,computer vision,5
30,low-cost,1,drops,5
31,biotechnology,1,molecular,5
32,plug-and-play,1,graphene,4
33,sensor integration,1,biochemical detection,4
34,inertial microfluidics,1,sensors,4
35,dean vortex,1,devices,4
36,particle manipulation,1,clean rooms,4
37,antibodies,1,low-cost,4
38,healthcare,1,lab-on-chip,4
39,lab-on-chip,1,micro,4
40,micro,1,quantitative biology,4
41,quantitative biology,1,synthetic,4
42,synthetic,1,digital,4
43,nanotechnology,1,modular,4
44,nanomedicine,1,3d-printing,4
45,protein biophysics,1,lego (r),4
46,rnicrofluidics,1,3d microfluidics,4
47,surface-tension-confined,1,building block,4
48,micropatterning,1,membranes,4
49,protein therapy,1,manufacturing methods,4
50,biofabrication,1,mass,4
51,controlled release,1,fabrication,4
52,nucleation,1,rapid prototyping,4
53,modelling,1,pdms,4
54,microcirculation,1,dna extraction,4
55,continuous microfluidics,1,microparticles,4
56,micromixers,1,monodisperse,4
57,cell separation,1,emulsion,4
58,biological research,1,gecko adhesive,4
59,dripping,1,mems underwater,4
60,jetting,1,bonding,4
61,microfluidics paper-based analytical devices,1,fractal design,4
62,urology,1,model,4
63,prostatic neoplasms,1,application,4
64,urinary bladder neoplasms,1,rfid,4
65,wearable technology,1,inkjet-printing,4
66,body fluid testing,1,low-cost electronics,4
67,modular,1,two-phase-flow,4
68,3d-printing,1,manipulation,4
69,lego (r),1,gene delivery,4
70,3d microfluidics,1,gene therapy,4
71,building block,1,antibiotics,4
72,membranes,1,cell growth,4
73,manufacturing methods,1,evolution,4
74,mass,1,microbial chemostat,4
75,polymer membranes,1,flocking,4
76,fabrication,1,flock fibers,4
77,rapid prototyping,1,capillary flow,4
