,Keyword_1,frequency,Keyword_2,degreee
0,natural language processing,46,natural language processing,100
1,natural language,12,natural language,31
2,natural,4,natural,11
3,semantic web,4,semantic web,11
4,computational linguistics,3,computational linguistics,8
5,language,3,language,8
6,database,3,semantics,8
7,semantics,3,database,7
8,ontology,2,affect,7
9,machine translation,2,ontology,6
10,natural language generation,2,machine translation,6
11,formal languages,2,formal languages,6
12,sentiment analysis,2,text,6
13,text,2,query,6
14,nlp,2,tagging,6
15,text retrieval,2,sentiment analysis,5
16,query,2,nlp,5
17,documentation,2,natural language generation,4
18,natural language understanding,2,svo,4
19,tagging,2,sov,4
20,description logic,2,smt,4
21,affect,2,standard arabic language,4
22,universal networking language,1,hpsg,4
23,punjabi analysis grammar,1,software platform,4
24,punjabi,1,text parsing,4
25,kurdish blark,1,documentation,4
26,language tools,1,natural language understanding,4
27,natural language interface,1,attitudes,4
28,arabic natural,1,corpus annotation,4
29,neural networks,1,emotion,4
30,document representation,1,kurdish blark,3
31,decoding,1,language tools,3
32,computer-generated texts,1,natural language interface,3
33,computational,1,arabic natural,3
34,svo,1,computer vision,3
35,sov,1,robotics,3
36,smt,1,language and,3
37,uml diagrams,1,computer linguistics,3
38,software engineering,1,language theory,3
39,computer vision,1,question-answer,3
40,robotics,1,sarcasm,3
41,language and,1,machine learning,3
42,computer linguistics,1,component,3
43,language theory,1,urdu word processor,3
44,question-answer,1,language processing tools,3
45,facts extraction,1,unicode,3
46,polish natural language,1,automata,3
47,sarcasm,1,finite slate automata,3
48,machine learning,1,shallow parsing,3
49,word sense disambiguation,1,morphological ambiguity,3
50,arabic word,1,ambiguous texts,3
51,hidden markov model,1,dialogue system,3
52,arabic natural language processing,1,user interface,3
53,part-of-speech,1,editorials,3
54,component,1,electronic health records,3
55,standard arabic language,1,image representation,3
56,hpsg,1,primal sketch theory,3
57,software platform,1,american sign language,3
58,text parsing,1,sign language,3
59,urdu word processor,1,simple sentence,3
60,language processing tools,1,chinese romanization,3
61,unicode,1,pinyin,3
62,structure query language,1,chinese characters,3
63,discourse,1,part of speech,3
64,natural language processing(nlp),1,arabic language,3
65,natural language generation (nlg),1,video processing,3
66,web,1,video annotation,3
67,route natural language processing,1,natural language description,3
68,route natural language corpus,1,video,3
69,route,1,nlidb,3
70,data validation,1,computational paninian grammar,3
71,e-learning,1,karaka relations,3
72,automata,1,lexical resource,3
73,finite slate automata,1,fuzzy query,3
74,shallow parsing,1,computing with words,3
75,morphological ambiguity,1,fuzzy sets,3
76,ambiguous texts,1,natural query,3
77,dialogue system,1,text processing,3
78,user interface,1,text mining,3
79,editorials,1,plagiarism,3
80,electronic health records,1,dynamical systems,3
81,pplied language management system,1,chaos,3
82,intelligent,1,web 2.0,3
83,composition and decomposition,1,query processing,3
84,morphological decomposition,1,local grammars,3
85,l2,1,korean natural language query,3
86,image representation,1,language description,3
87,primal sketch theory,1,graphic representation,3
88,natural language system evaluation,1,visual information,3
89,american sign language,1,parsing,3
90,sign language,1,syntax parsing,3
91,simple sentence,1,rule,3
92,clinical decision support,1,syntactic,3
93,nlp-based,1,affect recognition,3
94,mixing of natural language and modeling language,1,affect lexicon,3
95,anti patterns,1,av controller,3
96,abstractive summarization,1,dialog,3
97,markov decision,1,lexicon,3
98,semantic structure tree,1,hownet,3
