,Keyword_1,frequency,Keyword_2,degreee
0,human,12,human,39
1,software assurance,10,software,27
2,quality assurance,8,software assurance,26
3,software,8,motor unit,25
4,motor unit,7,quality assurance,24
5,software quality,6,software quality,16
6,software quality assurance,5,quality,16
7,assurance case,5,development,14
8,balance,5,assurance case,14
9,quality,4,balance,14
10,rehabilitation,4,afterhyperpolarization,12
11,development,3,assurance cases,10
12,assurance cases,3,software quality assurance,10
13,software security,3,muscle fatigue,9
14,stroke,3,safety,8
15,electromyography,3,certification,8
16,afterhyperpolarization,3,stroke,8
17,h-reflex,3,electromyography,8
18,muscle fatigue,3,rehabilitation,8
19,static analysis,2,motoneurone,8
20,assurance,2,h-reflex,8
21,measurement,2,assurance,7
22,safety,2,measurement,7
23,testing,2,testing,7
24,software assurance case,2,reliability,7
25,argument pattern,2,motoneuron,7
26,certification,2,software security,6
27,model quality,2,applications,6
28,muscle strength,2,mobile,6
29,motoneurone,2,practice,6
30,posture,2,process,6
31,reliability,2,product,6
32,motoneuron,2,model quality,6
33,self-adaptive software systems,1,muscle strength,6
34,software engineering methodology,1,posture,6
35,cybersecurity,1,static analysis,5
36,software defect prediction,1,software assurance case,5
37,industrial application,1,argument pattern,5
38,quality management,1,quality management,4
39,tools,1,tools,4
40,software requirements specification,1,engineer,4
41,open source software,1,control,4
42,oss community,1,dynamic systems,4
43,software failure,1,formal methods,4
44,management model,1,semantics,4
45,population density estimation,1,automata,4
46,random walk sampling,1,process creation,4
47,network,1,oss,4
48,engineer,1,open source,4
49,control,1,open source development model,4
50,implementation,1,ossd,4
51,software development,1,safety-critical systems,4
52,continuous assurance,1,safescrum,4
53,agile software development,1,radiation therapy,4
54,agile transition,1,guidelines,4
55,dynamic systems,1,software safety,4
56,formal methods,1,safety cases,4
57,semantics,1,do178c,4
58,automata,1,software engineering,4
59,process creation,1,security,4
60,systems engineering,1,walking,4
61,process assessment,1,systematic review,4
62,safety assurance,1,knee,4
63,assurance model,1,muscular strength,4
64,safety pattern,1,osteoarthritis,4
65,model transformation,1,prehabilitation,4
66,safety critical,1,resistance,4
67,agile,1,control charts,4
68,security assurance case,1,process control,4
69,software testing,1,monitoring,4
70,internet of things,1,discharge rate,4
71,data,1,coherence,4
72,security risk,1,common drive,4
73,software assurance education,1,muscle mass,4
74,industry/university collaboration,1,muscle power,4
75,secure,1,genetics,4
76,applications,1,gender,4
77,mobile,1,contraction speed,4
78,practice,1,ischemia,4
79,process,1,postural control,4
80,product,1,emg,4
81,component-based software systems (cbss),1,anticipatory postural adjustment,4
82,qam,1,standing,4
83,software architecture,1,rate coding,4
84,software quality challenges,1,skeletal muscle,4
85,oss,1,contractile properties,4
86,open source,1,aging,4
87,open source development model,1,menopause,4
88,ossd,1,vo(2)max,4
89,safety-critical systems,1,body composition,4
90,safescrum,1,lipoprotein lipids,4
91,malware detection,1,bone mineral,4
92,computer security,1,cybersecurity,3
93,automation,1,agile software development,3
94,radiation therapy,1,agile transition,3
95,guidelines,1,systems engineering,3
96,computer software,1,process assessment,3
97,image analysis,1,safety assurance,3
98,image scanners,1,assurance model,3
99,computed tomography,1,safety pattern,3
100,risk,1,model transformation,3
101,security-critical systems,1,safety critical,3
102,safety-critical,1,software testing,3
103,iso 26262,1,internet of things,3
104,safety case,1,data,3
105,information system,1,security risk,3
106,control process,1,software quality challenges,3
107,assurance process,1,malware detection,3
108,educational software quality assurance,1,computer security,3
109,data flow diagram,1,automation,3
110,experimental,1,computer software,3
111,software safety,1,image analysis,3
112,safety cases,1,image scanners,3
113,do178c,1,computed tomography,3
114,codac,1,risk,3
115,sqa,1,security-critical systems,3
116,modeling,1,safety-critical,3
117,model-based software development,1,information system,3
118,software engineering,1,control process,3
119,security,1,assurance process,3
120,experimental evaluation,1,data flow diagram,3
121,documentation based inspection,1,experimental,3
122,dependability,1,modeling,3
123,risk management,1,model-based software development,3
124,ict supply chain risk management,1,end-stage renal disease (esrd),3
125,walking,1,metabolism,3
126,systematic review,1,muscle,3
127,end-stage renal disease (esrd),1,secure coding,3
128,metabolism,1,information assurance,3
129,muscle,1,computer,3
130,knee,1,product assurance,3
131,muscular strength,1,engineering economics,3
132,osteoarthritis,1,engineering practice,3
133,prehabilitation,1,life cycle,3
134,resistance,1,governance,3
135,secure coding,1,pacemaker challenge,3
136,information assurance,1,model-driven development,3
137,computer,1,real-time,3
138,unit testing,1,force,3
139,software metrics,1,movement,3
140,change risk,1,spine,3
141,software engineering education,1,coactivation,3
142,dynamic distributed systems,1,muscle activation patterns,3
143,atomic register,1,peak force,3
144,distributed shared memory,1,age,3
145,"osteoarthritis, knee",1,former professional athletes,3
146,control charts,1,cvd risk factors,3
147,process control,1,physical activity,3
148,monitoring,1,quality of life,3
149,product assurance,1,launch vehicle,3
150,engineering economics,1,simulation,3
151,engineering practice,1,fatigue,3
152,life cycle,1,composite evaluation,3
153,governance,1,common criteria,3
154,pacemaker challenge,1,high assurance,3
155,model-driven development,1,smart cards,3
156,real-time,1,spike-triggered average,3
157,adaptive process management,1,endurance,3
158,semantic technology,1,submaximal contractions,3
159,force,1,submaximal contraction,3
160,movement,1,software defect prediction,2
161,spine,1,industrial application,2
162,coactivation,1,software requirements specification,2
163,muscle activation patterns,1,open source software,2
164,peak force,1,oss community,2
165,commercial development practices,1,software failure,2
166,software process improvement,1,management model,2
167,decision support,1,population density estimation,2
168,discharge rate,1,random walk sampling,2
169,age,1,network,2
170,former professional athletes,1,implementation,2
171,cvd risk factors,1,software development,2
172,physical activity,1,continuous assurance,2
173,quality of life,1,agile,2
174,coherence,1,security assurance case,2
175,common drive,1,software assurance education,2
176,launch vehicle,1,industry/university collaboration,2
177,simulation,1,secure,2
178,software quality assurance (sqa),1,component-based software systems (cbss),2
179,pareto,1,qam,2
180,principle,1,software architecture,2
181,mobile networks,1,iso 26262,2
182,ad hoc networks,1,safety case,2
183,dynamic distributed algorithms,1,experimental evaluation,2
184,muscle mass,1,dependability,2
185,muscle power,1,risk management,2
186,genetics,1,ict supply chain risk management,2
187,gender,1,unit testing,2
188,fatigue,1,software metrics,2
189,contraction speed,1,change risk,2
190,ischemia,1,software engineering education,2
191,postural control,1,dynamic distributed systems,2
192,emg,1,atomic register,2
193,anticipatory postural adjustment,1,distributed shared memory,2
194,standing,1,"osteoarthritis, knee",2
195,composite evaluation,1,adaptive process management,2
196,common criteria,1,semantic technology,2
197,high assurance,1,commercial development practices,2
198,smart cards,1,software process improvement,2
199,cerebrovascular accident,1,decision support,2
200,spike-triggered average,1,software quality assurance (sqa),2
201,endurance,1,pareto,2
202,submaximal contractions,1,principle,2
203,rate coding,1,mobile networks,2
204,skeletal muscle,1,ad hoc networks,2
205,contractile properties,1,dynamic distributed algorithms,2
206,aging,1,cerebrovascular accident,2
207,menopause,1,self-adaptive software systems,1
208,vo(2)max,1,software engineering methodology,1
209,body composition,1,educational software quality assurance,1
210,lipoprotein lipids,1,codac,1
211,bone mineral,1,sqa,1
212,submaximal contraction,1,documentation based inspection,1
