,Keyword_1,frequency,Keyword_2,degreee
0,aspect-oriented programming,12,languages,40
1,languages,10,aspect-oriented programming,30
2,measurement,5,measurement,20
3,performance,5,performance,20
4,scala,5,scala,17
5,design,5,design,16
6,reactive programming,4,theory,14
7,functional-reactive programming,3,java,11
8,aspects,3,advice,11
9,java,3,dynamic metrics,10
10,dynamic metrics,3,reactive programming,9
11,static analysis,3,aspects,9
12,theory,3,bisphenol a,9
13,empirical study,2,pregnancy,9
14,controlled experiment,2,experimentation,8
15,software,2,infant,8
16,code analysis,2,static analysis,8
17,experimentation,2,benchmarks,8
18,bisphenol a,2,country food,8
19,pregnancy,2,pcbs,8
20,infant,2,dependent classes,7
21,bytecode instrumentation,2,virtual classes,7
22,reflection,2,dynamic dispatch,7
23,benchmarks,2,code analysis,6
24,country food,2,reflection,6
25,methylmercury,2,diet,6
26,biomonitoring,2,food,6
27,dependent classes,2,exposure,6
28,virtual classes,2,contaminant,6
29,dynamic dispatch,2,triazine,6
30,separation of concerns,2,lc-ms/ms,6
31,advice,2,risk assessment,6
32,pcbs,2,scheme,6
33,modularity,2,aspect,6
34,cryptography,1,join point,6
35,code generation,1,pointcut,6
36,variability modeling,1,higher-order,6
37,library detection,1,ceks,6
38,repackage detection,1,empirical study,5
39,obfuscation,1,controlled experiment,5
40,cacn-1,1,software,5
41,somatic gonad,1,functional-reactive programming,5
42,sperm-oocyte switch,1,triclosan,5
43,spliceosome,1,urine,5
44,debugging,1,meconium,5
45,markov chain monte carlo (mcmc),1,object demographics,5
46,dynamic models,1,methylmercury,5
47,api-misuse detection,1,biomonitoring,5
48,bug detection,1,patterns,5
49,benchmark,1,pattern language,5
50,type systems,1,semiotics,5
51,formal specification,1,dioxins,5
52,declarative languages,1,dibenzofurans,5
53,first-order,1,tefs,5
54,algorithms,1,reevaluation,5
55,content assist,1,who,5
56,phthalates,1,aspectj,5
57,temporal variability,1,aboriginal,5
58,intraclass,1,indigenous,5
59,triclosan,1,arctic,5
60,urine,1,health,5
61,meconium,1,traditional diet,5
